Uranus X	Uranus Y
4.145022157281287E11	2.832591589590033E12
3.9004859786296893E11	2.8348921369747666E12
3.655663187999994E11	2.836984251907279E12
3.410571419463396E11	2.8388675251472847E12
3.1652283695293134E11	2.8405415624032993E12
2.919651796126272E11	2.8420059844507734E12
2.6738595176200195E11	2.8432604272479175E12
2.4278694117988675E11	2.844304542039864E12
2.1816994147783322E11	2.8451379954662734E12
1.9353675199546396E11	2.8457604696792197E12
1.6888917770451187E11	2.8461716624513193E12
1.442290291077703E11	2.8463712872641636E12
1.1955812212570963E11	2.8463590733965337E12
9.487827798308076E10	2.8461347660261665E12
7.019132310499419E10	2.8456981263286875E12
4.549908901214094E10	2.8450489315584023E12
2.0803412207085167E10	2.8441869751232773E12
-3.8938659417708445E9	2.8431120666628003E12
-2.859089931650803E10	2.841824032121898E12
-5.3285837169050644E10	2.840322713820489E12
-7.797682424268896E10	2.838607970521392E12
-1.0266200089357591E11	2.83667967749492E12
-1.2733950321373189E11	2.834537726573011E12
-1.5200746316318213E11	2.832182026196616E12
-1.7666400870835828E11	2.8296125014711533E12
-2.0130726395690482E11	2.8268290942254277E12
-2.259353492895688E11	2.823831763059722E12
-2.5054638149827563E11	2.820620483379444E12
-2.751384739365657E11	2.817195247428793E12
-2.9970973667475903E11	2.813556064336922E12
-3.2425827664931885E11	2.809702960164957E12
-3.487821978124247E11	2.805635977938879E12
-3.732796012920789E11	2.8013551776762847E12
-3.9774858555981494E11	2.796860636420276E12
-4.221872465990453E11	2.7921524482765317E12
-4.465936780756387E11	2.7872307244462295E12
-4.7096597151541614E11	2.7820955932578027E12
-4.95302216486374E11	2.7767472002033267E12
-5.196005007816839E11	2.7711857079720938E12
-5.438589106119103E11	2.765411296477023E12
-5.680755308121177E11	2.759424162892055E12
-5.922484450507904E11	2.753224521706416E12
-6.163757360345923E11	2.746812604776409E12
-6.404554857204155E11	2.740188661366859E12
-6.644857755444888E11	2.733352958198525E12
-6.884646866624227E11	2.726305779518388E12
-7.123903001858788E11	2.719047427184889E12
-7.362606974178301E11	2.7115782207497827E12
-7.600739600973429E11	2.703898497543623E12
-7.838281706513011E11	2.696008612778016E12
-8.07521412445565E11	2.6879089396636914E12
-8.31151770032126E11	2.679599869538994E12
-8.547173293906061E11	2.6710818120061904E12
-8.782161781630718E11	2.662355195074994E12
-9.016464058779581E11	2.653420465310902E12
-9.250061041614589E11	2.6442780879806904E12
-9.482933669400865E11	2.6349285471955454E12
-9.715062906312885E11	2.6253723460571914E12
-9.946429743128341E11	2.6156100067979424E12
-1.0177015198702644E12	2.605642070897659E12
-1.040680032132403E12	2.5954690991711523E12
-1.0635766190054971E12	2.585091671836591E12
-1.0863893916029413E12	2.5745103885746704E12
-1.1091164643597708E12	2.5637258685677603E12
-1.1317559551371624E12	2.552738750499033E12
-1.154305985336823E12	2.541549692519729E12
-1.176764680029567E12	2.530159372205112E12
-1.1991301680899275E12	2.5185684865016094E12
-1.2214005823348474E12	2.506777751657206E12
-1.2435740596728586E12	2.4947879031356406E12
-1.2656487412682495E12	2.4825996955233716E12
-1.2876227727174668E12	2.4702139024361265E12
-1.309494304233966E12	2.457631316421286E12
-1.331261490848108E12	2.4448527488591953E12
-1.3529224926208447E12	2.4318790298766084E12
-1.3744754748590728E12	2.4187110082684746E12
-1.3959186083315535E12	2.405349551415911E12
-1.4172500694936716E12	2.3917955452029307E12
-1.4384680407237686E12	2.3780498939421797E12
-1.4595707105668738E12	2.3641135203163135E12
-1.4805562739737234E12	2.349987365330066E12
-1.5014229325309055E12	2.335672388256017E12
-1.522168894694538E12	2.3211695665727437E12
-1.5427923760341392E12	2.306479895909958E12
-1.5632915994800017E12	2.291604390005914E12
-1.5836647955650308E12	2.2765440806707256E12
-1.6039102026574211E12	2.2613000177444023E12
-1.6240260671927817E12	2.245873269045249E12
-1.6440106439144954E12	2.2302649203207275E12
-1.663862196113672E12	2.214476075205971E12
-1.683578995862216E12	2.1985078551787407E12
-1.703159324245925E12	2.1823613995089812E12
-1.7226014715989963E12	2.1660378652095771E12
-1.741903737734239E12	2.149538426985737E12
-1.7610644321692258E12	2.1328642771769553E12
-1.780081874354285E12	2.1160166256923943E12
-1.7989543939076423E12	2.0989966999479033E12
-1.817680330850752E12	2.0818057448108142E12
-1.8362580358310098E12	2.0644450225408435E12
-1.8546858703366064E12	2.0469158127138105E12
-1.8729622069198962E12	2.029219412137018E12
-1.8910854294298953E12	2.0113571347716672E12
-1.9090539332419917E12	1.9933303116607732E12
-1.926866125478112E12	1.9751402908525098E12
-1.9445204252192302E12	1.9567884373111545E12
-1.9620152637209995E12	1.9382761328181184E12
-1.9793490846382266E12	1.9196047758744692E12
-1.9965203442501228E12	1.900775781609589E12
-2.0135275116763909E12	1.881790581686876E12
-2.0303690690870557E12	1.862650624199333E12
-2.0470435119132104E12	1.843357373558149E12
-2.0635493490605635E12	1.8239123103793308E12
-2.0798851031228127E12	1.8043169313703296E12
-2.0960493105907942E12	1.7845727492130837E12
-2.112040522060774E12	1.7646812924419365E12
-2.1278573024442644E12	1.7446441053210488E12
-2.1434982311725562E12	1.724462747721743E12
-2.1589619023912314E12	1.7041387949904604E12
-2.1742469251561038E12	1.6836738378055588E12
-2.1893519236389392E12	1.6630694820363232E12
-2.2042755373319683E12	1.642327348609306E12
-2.219016421239155E12	1.621449073371431E12
-2.233573246056602E12	1.6004363069396401E12
-2.2479446983553345E12	1.5792907145396838E12
-2.2621294807737534E12	1.5580139758461128E12
-2.276126312211848E12	1.5366077848301943E12
-2.2899339280124175E12	1.5150738496079143E12
-2.303551080129023E12	1.4934138922757437E12
-2.3169765372934526E12	1.4716296487359717E12
-2.3302090851876323E12	1.449722868520156E12
-2.343247526617376E12	1.4276953146143347E12
-2.3560906816815703E12	1.4055487632859597E12
-2.3687373879304224E12	1.383285003906465E12
-2.3811865005170254E12	1.3609058387645854E12
-2.393436892351176E12	1.3384130828747954E12
-2.405487454253074E12	1.3158085637873525E12
-2.41733709509911E12	1.2930941213957822E12
-2.428984741963894E12	1.2702716077380747E12
-2.440429340262744E12	1.2473428867966902E12
-2.451669853889585E12	1.2243098342989434E12
-2.4627052653457236E12	1.2011743375135642E12
-2.473534575861128E12	1.177938295039107E12
-2.484156805517364E12	1.1546036165853975E12
-2.494570993377619E12	1.1311722227569653E12
-2.5047761976137563E12	1.1076460448434902E12
-2.51477149561582E12	1.0840270246078945E12
-2.5245559840893545E12	1.0603171140604677E12
-2.5341287791580146E12	1.0365182752241353E12
-2.543489016474595E12	1.0126324799028967E12
-2.552635851330123E12	9.88661709455255E11
-2.5615684587524673E12	9.646079545676368E11
-2.5702860335925127E12	9.404732150207749E11
-2.578787790606217E12	9.162594994460587E11
-2.5870729645431055E12	8.919688250772444E11
-2.59514081024043E12	8.676032175057162E11
-2.602990602711245E12	8.431647104389695E11
