Callisto X	Callisto Y
-1.0494772063250073E11	7.582263784297179E11
-1.525753788785132E11	7.656362344353744E11
-2.1096382581584097E11	7.569966730770991E11
-2.592270921518174E11	7.350408792497137E11
-2.938496228961064E11	7.151128550934724E11
-3.293102183670525E11	7.088029733907395E11
-3.815413108651095E11	6.977930003944718E11
-4.314127084932271E11	6.692208042207568E11
-4.67422168655234E11	6.34993839033712E11
-4.9310602072843866E11	6.095460995746854E11
-5.289758090521603E11	5.945642743571078E11
-5.753942387539445E11	5.65913184564168E11
-6.126829213690549E11	5.2403642445316644E11
-6.357709850777919E11	4.8183042396248816E11
-6.527379428512968E11	4.519892914388412E11
-6.838779483183374E11	4.27098178924096E11
-7.191647059178035E11	3.8633798962682025E11
-7.42798463892451E11	3.3620033448936774E11
-7.528299434183439E11	2.8890677053188403E11
-7.59573814499509E11	2.5531649321101248E11
-7.810923002802711E11	2.2355841533181207E11
-8.035364639194928E11	1.7638246803505722E11
-8.136986158762526E11	1.220592433567688E11
-8.108337024906704E11	7.196143482354681E10
-8.051831046795349E11	3.5893012992340256E10
-8.1395987691709E11	2.1342559159793098E9
-8.236168564296125E11	-4.618288136559696E10
-8.212804243961724E11	-1.0098209556552827E11
-8.062014690688014E11	-1.5157019253551678E11
-7.868496929594233E11	-1.8846632891348926E11
-7.807614492100831E11	-2.1941214933840384E11
-7.785137124641768E11	-2.636036641421281E11
-7.654449373990481E11	-3.1510333434705414E11
-7.397509317482631E11	-3.635714244980879E11
-7.072901288171793E11	-3.996820096188912E11
-6.846012037684254E11	-4.2464438134828723E11
-6.712255353971124E11	-4.5916273932765265E11
-6.49896363551171E11	-5.0315609852580334E11
-6.162549534856527E11	-5.464042857275335E11
-5.734935588788711E11	-5.797709275623041E11
-5.342038383487933E11	-5.985506250882682E11
-5.08818552153439E11	-6.183863299710717E11
-4.8194137768620514E11	-6.498079070942493E11
-4.4404744576339844E11	-6.84112658500048E11
-3.955237931955751E11	-7.120728842716946E11
-3.4375354653595654E11	-7.260448326265186E11
-3.0372657228151685E11	-7.303133240451229E11
-2.724537375222562E11	-7.432209123010325E11
-2.3450281054088412E11	-7.638981748474802E11
-1.858599643033368E11	-7.829422915536414E11
-1.2933924338385437E11	-7.919789770383668E11
-7.577895284207343E10	-7.861794329338077E11
-3.64561186674951E10	-7.770121747464866E11
-1.3391896092469363E9	-7.773685176999691E11
4.085553558995489E10	-7.826200483397545E11
9.23293299388874E10	-7.845447237463022E11
1.49617845011997E11	-7.7530788034017E11
2.0087889382881387E11	-7.516511091550394E11
2.3728452558737717E11	-7.270308779434595E11
2.7016581592161096E11	-7.116895695362836E11
3.0915523106555804E11	-7.004698084225736E11
3.5602871659005035E11	-6.858275899556669E11
4.07561726180061E11	-6.60381296447952E11
4.521755015010981E11	-6.207993768816049E11
4.809778796293859E11	-5.805534501891075E11
5.051101379957699E11	-5.4973846365826306E11
5.337929158525608E11	-5.2359202687958606E11
5.689467451468065E11	-4.952279377589576E11
6.083297895568042E11	-4.579334352781073E11
6.423297502723969E11	-4.0695397289208136E11
6.594648199478228E11	-3.532207670680146E11
6.690688914074474E11	-3.0956256563522314E11
6.814297520952002E11	-2.723759868177206E11
6.990379585637418E11	-2.351848190620206E11
7.207051096789283E11	-1.9207879491348492E11
7.402863066365499E11	-1.3743432774238434E11
7.445658578568273E11	-7.557741201991545E10
7.362303311783291E11	-2.3201754352363476E10
7.283227893288666E11	1.953631085114566E10
7.249117645537854E11	5.918845584718887E10
7.256720268004307E11	1.0128789902366508E11
7.272838012870591E11	1.5102943886185135E11
7.199730559135553E11	2.10601055729698E11
6.955812303692485E11	2.6676512734693866E11
6.66555080431072E11	3.097130417484992E11
6.41462169231655E11	3.45317750531541E11
6.212529897287904E11	3.7966203639827386E11
6.041397369140728E11	4.176158628879752E11
5.848260085967965E11	4.6328502066193713E11
5.526056582991464E11	5.139300672445459E11
5.072580788755207E11	5.541209144741783E11
4.6266481415801215E11	5.813486939768323E11
4.2389318603476117E11	6.027698535414053E11
3.905189844522799E11	6.239442014631877E11
3.5968992515045605E11	6.493425969450273E11
