Sun X	Sun Y
-8.728855230189085E8	-7.258936157110417E8
-8.287306760187243E8	-7.487957059187115E8
-7.834557454413247E8	-7.687682848592451E8
-7.37479616001135E8	-7.855730970248971E8
-6.913124863290898E8	-7.992249497353007E8
-6.453206228990924E8	-8.099925520446559E8
-5.996053527490816E8	-8.181646742239417E8
-5.541414078421776E8	-8.239077360534716E8
-5.088580271064815E8	-8.272139545250881E8
-4.6382852522762996E8	-8.279452619043094E8
-4.192817809388661E8	-8.260203631969827E8
-3.754802278365988E8	-8.214805254425927E8
-3.326427254696843E8	-8.144890606379396E8
-2.908261868322594E8	-8.052113133469018E8
-2.5006107928195432E8	-7.936835709165919E8
-2.1046186609451258E8	-7.798771436710144E8
-1.7224906014563236E8	-7.637853573381692E8
-1.3573981414076853E8	-7.455454491233995E8
-1.0112127552334282E8	-7.254971076074284E8
-6.836060319056726E7	-7.039742472041001E8
-3.7274737894335546E7	-6.811577922465497E8
-7683917.881814597	-6.569994938008454E8
2.0379182600925177E7	-6.312831304549245E8
4.66298122573309E7	-6.039002118716851E8
7.069491492388141E7	-5.749535164764212E8
9.227937146031371E7	-5.447893106031337E8
1.1133679895618929E8	-5.138634879848051E8
1.2805985871214344E8	-4.825075927916182E8
1.426746866310805E8	-4.508485619985511E8
1.5535885006782335E8	-4.188595159702669E8
1.6611814018120858E8	-3.864220412015449E8
1.7479294300450328E8	-3.535003386381879E8
1.811925031834672E8	-3.2022137075808436E8
1.8520321119780877E8	-2.86808818838147E8
1.8681416045706254E8	-2.5354655649041337E8
1.861499621111288E8	-2.206461099590947E8
1.8332977935603967E8	-1.8819746887106714E8
1.7839305795382077E8	-1.562443376294713E8
1.7131387086936074E8	-1.248725213771435E8
1.6205416570977166E8	-9.424034794349447E7
1.506633761641107E8	-6.460654519243431E7
1.3734491545368585E8	-3.6155667740050256E7
1.2231323382028566E8	-8917303.690026678
1.0567872393069185E8	1.718303980606299E7
8.740771434554778E7	4.221483150662864E7
6.734374960495706E7	6.614264908038466E7
4.534020616547191E7	8.870133268088906E7
2.1455253044109423E7	1.0951882888219161E8
-4052721.5401513265	1.2827816142802233E8
-3.0805205322248586E7	1.4483396838082334E8
-5.84412536527434E7	1.5925100885086045E8
-8.676536312341142E7	1.7175647014418775E8
-1.158243675434012E8	1.8253217935106727E8
