Charon X	Charon Y
1.613149520613231E12	-4.740162731276361E12
1.6321367427594062E12	-4.737865688665593E12
1.6510183188354214E12	-4.735614623368992E12
1.6698923216056526E12	-4.733260406535329E12
1.6887759009672952E12	-4.730816886402811E12
1.7076548979957197E12	-4.728277602017202E12
1.7264735098415269E12	-4.725673006628988E12
1.74517867706782E12	-4.723123328041549E12
1.7640041929556782E12	-4.720456271126819E12
1.7828063876166355E12	-4.717602483170841E12
1.8014131083826768E12	-4.71489889039803E12
1.8202311522408652E12	-4.711954157247103E12
1.8388178107726946E12	-4.709015030313832E12
1.8575395287162E12	-4.706040589388744E12
1.8761205583159944E12	-4.702916488660224E12
1.8947675609834685E12	-4.699849028539194E12
1.9132892456942393E12	-4.696604154936288E12
1.9319159137830151E12	-4.693383431990668E12
1.950330626732138E12	-4.690082952752096E12
1.9689691542286892E12	-4.686648127912214E12
1.9872986867215056E12	-4.683325773751042E12
2.0058909232966394E12	-4.679666988691125E12
2.0242358360269202E12	-4.676251288978833E12
2.0426252071915002E12	-4.672519096917889E12
2.0610813561577852E12	-4.668862087698674E12
2.079276772733492E12	-4.665222670839584E12
2.097736173992748E12	-4.661246484112311E12
2.1159911006133513E12	-4.657509375337671E12
2.13414361327718E12	-4.653586154926734E12
2.152546377855649E12	-4.649485934476448E12
2.1706676972548599E12	-4.645588687146124E12
2.1887834598591355E12	-4.641424705875942E12
2.2070914409352505E12	-4.637186848809311E12
2.2251185054874897E12	-4.633112520523101E12
2.243151128625124E12	-4.62876943983543E12
2.261380603123385E12	-4.62434345418686E12
2.279339117517613E12	-4.620089642094961E12
2.2972454994993013E12	-4.615623969798995E12
2.315402630263212E12	-4.610967566476096E12
2.3333202986303574E12	-4.606521233094588E12
2.3511011701280483E12	-4.601966354829876E12
2.3691295437099297E12	-4.597090815009704E12
2.3870425673537383E12	-4.592412595888931E12
2.4047476022678037E12	-4.587746121101134E12
2.422535227669828E12	-4.58277788965105E12
2.4404694495800015E12	-4.577788316165932E12
2.458157605825593E12	-4.572951109949671E12
2.475733159450109E12	-4.56799344080793E12
2.4935409763276875E12	-4.562719403226567E12
2.5112734411425537E12	-4.557616888510487E12
2.528793673867877E12	-4.552563092775008E12
2.546280642159522E12	-4.547308255749011E12
2.5640155947114126E12	-4.541827235220514E12
2.5815780075601157E12	-4.536545762164786E12
2.598958938943421E12	-4.531265623511517E12
2.616347597598722E12	-4.52575359726422E12
2.63396495555921E12	-4.520070742834428E12
2.6513912631201543E12	-4.514578848892089E12
2.6686470487991123E12	-4.509079746418747E12
2.6859016111887646E12	-4.503362215380555E12
2.703389230998256E12	-4.497451069933015E12
2.7207066814700405E12	-4.491728845558973E12
2.7378486234371323E12	-4.486018302366391E12
2.7549445584826436E12	-4.480138643829245E12
2.772272746376672E12	-4.473991843336347E12
2.7895078493762544E12	-4.468012805991118E12
2.8065516021396973E12	-4.462088225520909E12
2.823498509113492E12	-4.456061764385418E12
2.8405937991177075E12	-4.44973996635218E12
2.857767426403784E12	-4.443457130028246E12
2.87473600951889E12	-4.437300244677268E12
2.891566503208655E12	-4.4311090451591045E12
2.908391577319099E12	-4.424719253308225E12
2.92544278529586E12	-4.418112994834335E12
2.9423694791372407E12	-4.411678566283817E12
2.959119339851569E12	-4.405287505920405E12
2.975768750097455E12	-4.398812702110742E12
2.992506180256595E12	-4.392075856140963E12
3.009400683826553E12	-4.3852759920526143E12
3.026110807781038E12	-4.3786313668247676E12
3.042668194494199E12	-4.371992013205866E12
3.0591489350579697E12	-4.365242567458895E12
3.0757668002432495E12	-4.358216494432821E12
3.092476532677784E12	-4.351206981620707E12
3.108997735571862E12	-4.3443276664751406E12
3.125377329487765E12	-4.337441482866554E12
3.1416868313066357E12	-4.3304420930913096E12
3.158133271691759E12	-4.3231712549469985E12
3.1746698830015474E12	-4.315916221322375E12
3.1910228880746245E12	-4.308790144599032E12
3.2072350205189995E12	-4.3016625397394707E12
3.22336799879637E12	-4.29443884822001E12
3.2395936430665366E12	-4.28696444984643E12
3.2559662445386177E12	-4.279431142223394E12
3.272170428735542E12	-4.27204552042185E12
3.2882260116963223E12	-4.2646785024743164E12
3.3041856933233105E12	-4.2572444787839434E12
3.3201609189771357E12	-4.2496156338595137E12
3.3363392556119937E12	-4.241795580841206E12
3.3524165535281353E12	-4.2341258155855767E12
3.3683302355325337E12	-4.2265131601442925E12
3.3841292803331787E12	-4.218867747756089E12
3.399875947599213E12	-4.2111010514146294E12
3.415762255097399E12	-4.203077586988813E12
3.4317265040864507E12	-4.1950759347242617E12
3.447519910851019E12	-4.187196957349322E12
3.46317659876938E12	-4.1793271657232056E12
3.478740774066597E12	-4.171395525417723E12
