Moon X	Moon Y
-2.9911766703098953E10	1.4514554867429697E11
-1.1981429331609439E11	8.77077711330132E10
-1.4854850994232547E11	-1.395441007066834E10
-1.0370130643652791E11	-1.0865327141107352E11
-9.352120190221798E9	-1.5185341089452234E11
8.896451831153748E10	-1.2399263442256664E11
1.4669331452108215E11	-3.7221325210798676E10
1.362810695174497E11	6.62068551056199E10
5.8035186077621666E10	1.3770056561714218E11
-4.777704839370728E10	1.4266025163620294E11
-1.3097547087832808E11	7.452607761439934E10
-1.4950394398013034E11	-2.829217712576658E10
-9.818718781459221E10	-1.194458377562716E11
-2.3303116721319017E9	-1.5739305407599802E11
9.497415595083192E10	-1.2915794549538377E11
1.5484203767731274E11	-4.9132898901000275E10
1.5517011874258914E11	5.033061125701908E10
9.583062765482823E10	1.3087283640456357E11
-1.3235205035256126E9	1.601075853085833E11
-9.785748967547752E10	1.2370337266905705E11
-1.522409242932924E11	3.452671767628463E10
-1.397131796388273E11	-6.941522167029385E10
-6.638289327838065E10	-1.4282930557467813E11
3.483371596256904E10	-1.561047454473139E11
1.222561612991273E11	-1.0680456453362173E11
1.6298988228203812E11	-1.6293392703413576E10
1.42608989750956E11	8.071388909291336E10
6.823933050783397E10	1.4757537464780112E11
-3.2894553816293934E10	1.571203849199469E11
-1.2071104363634514E11	1.0281705326723418E11
-1.5749679102134625E11	5.227690630370216E9
-1.2680218488609724E11	-9.43650208689746E10
-4.276458744963732E10	-1.539889000832434E11
5.84836697691844E10	-1.51201053015969E11
1.3715987019049643E11	-9.002360670741167E10
1.6489523751775244E11	4.747362104307878E9
1.321779111539579E11	9.800162809483525E10
5.023957000308017E10	1.5509429653029822E11
-5.12361301838334E10	1.5268409817921716E11
-1.3233239202134663E11	8.899407959565958E10
-1.586016853066076E11	-1.164891384600116E10
-1.1856503760442366E11	-1.0739101365068138E11
-3.0078232387960552E10	-1.5911854568554654E11
7.008216606174992E10	-1.4843370303873685E11
1.4392475135420834E11	-8.22502541051866E10
1.656794106110703E11	1.3646909937668755E10
1.2809178031578192E11	1.0468916404293257E11
4.379598039087966E10	1.577069592219506E11
-5.721775323422443E10	1.512228450036414E11
-1.3589646786837833E11	8.505662852566179E10
-1.594360265619672E11	-1.589835734281089E10
-1.1777090876407744E11	-1.1054045966506508E11
-2.9039190323502968E10	-1.6112742622933386E11
7.075291508618863E10	-1.5016633459595776E11
1.4464410304814142E11	-8.452788938754434E10
1.674539910245537E11	1.077168476709377E10
1.3176272888917212E11	1.0216475013800949E11
4.927174638267041E10	1.5717902528975964E11
-5.143838774587906E10	1.5419068661237222E11
-1.3247112503007672E11	9.168799114287921E10
-1.6089577278452402E11	-7.582385754259989E9
-1.2478268414003685E11	-1.0416258672121948E11
-3.9594765804790596E10	-1.6016334877989706E11
6.057587780785313E10	-1.5617031135554147E11
1.390894348870699E11	-9.641822425165077E10
