Neptune X	Neptune Y
3.404244285556148E12	2.8776416113605747E12
3.3914595581481875E12	2.892677758119575E12
3.378609586789527E12	2.9076578741228726E12
3.365694239098015E12	2.9225813892620312E12
3.3527136114334844E12	2.937447972020324E12
3.3396678724425464E12	2.952257317914167E12
3.326557202374675E12	2.967009117651673E12
3.3133817525460312E12	2.9817030485507744E12
3.3001415691133306E12	2.996338793914481E12
3.286836612248085E12	3.0109164118408843E12
3.273468107011493E12	3.0254365588278936E12
3.260036748592057E12	3.0398982604902153E12
3.2465423742755776E12	3.0543008237182817E12
3.232985062414118E12	3.0686439073188457E12
3.2193649872797905E12	3.0829272165551045E12
3.20568234625784E12	3.097150456757123E12
3.191937323915132E12	3.111313322425049E12
3.17813004121637E12	3.1254154977415063E12
3.164260459960454E12	3.139456779815188E12
3.150329094755811E12	3.1534377735100273E12
3.136337319889495E12	3.1673582484289023E12
3.122285087462038E12	3.1812172110529326E12
3.108172395464056E12	3.1950142482126943E12
3.093999402882027E12	3.208749067058628E12
3.0797663160137417E12	3.222421387495443E12
3.0654733466099653E12	3.236030923633236E12
3.051120679246484E12	3.249577377455664E12
3.03670840659323E12	3.263060452853204E12
3.0222365029994814E12	3.2764801395382075E12
3.00770602243739E12	3.289837132499835E12
2.9931178719967505E12	3.303130643831387E12
2.978471922532274E12	3.316359931961349E12
2.963768259330346E12	3.3295246636849907E12
2.9490070769387656E12	3.3426245676326978E12
2.9341886010079136E12	3.355659377277426E12
2.919313056359918E12	3.3686288190444897E12
2.904380635478581E12	3.3815326076123345E12
2.8893914301112085E12	3.394370467634831E12
2.874345459732173E12	3.4071424802590425E12
2.859243918406671E12	3.419849288578653E12
2.844087546334294E12	3.432490016325627E12
2.8288762404883E12	3.4450640090416333E12
2.813610117429152E12	3.4575709599892725E12
2.7982893904125127E12	3.4700106137631655E12
2.782914300851521E12	3.482382718839721E12
2.76748508986703E12	3.4946870171555713E12
2.7520019705961426E12	3.506923239515692E12
2.7364650689636685E12	3.519091119593679E12
2.720874395595277E12	3.531190653212987E12
2.705230955970745E12	3.543222531568376E12
2.689535717448042E12	3.555186065230923E12
2.67378859544212E12	3.5670805275213115E12
2.657989696784417E12	3.578905606566217E12
2.6421392403041953E12	3.590661058525738E12
2.6262374791820884E12	3.6023466469583965E12
2.6102846715869067E12	3.6139621307860576E12
2.594281058131954E12	3.6255072592240747E12
2.5782268204137437E12	3.636981773922021E12
2.562121999788409E12	3.648385512577925E12
2.5459670642773496E12	3.659719023716223E12
2.5297634021492573E12	3.6709822632114326E12
2.51351110626599E12	3.6821743056367437E12
2.497210216165984E12	3.6932947684685044E12
2.4808609348679595E12	3.704343410000453E12
2.464463519180325E12	3.7153200080600176E12
