Mercury X	Mercury Y
-6.018553201861381E10	-4.627095446334204E9
3.63472534468098E10	-5.581647861387116E10
-4.151568990168619E10	3.4189618251330265E10
-3.0905958334478827E9	-7.470729880120201E10
2.788257399778599E10	4.250071694498699E10
-5.319565786834122E10	-5.330404502469523E10
5.6120433939283646E10	-3.4761156630610855E10
-5.677477571175798E10	2.276569157048924E10
-6.785656752463794E9	-8.112171400869414E10
4.944525250549067E10	2.6786740633354115E10
-7.024747336871323E10	-2.71251929350456E10
2.672293488957361E10	-7.631805595877443E10
1.5846388339052563E10	5.234734777416612E10
-6.52544585916883E10	-5.1330268576768425E10
4.054179109724726E10	-7.007015950444958E10
1.683389337762671E9	5.629627693511897E10
-6.579794992511882E10	-5.653391540225132E10
3.9040758536544624E10	-7.484438898150174E10
1.5046008746796385E10	5.52837350721846E10
-7.425683837393689E10	-4.537564551331482E10
2.2223362548054413E10	-8.8271617127687E10
4.904749564114309E10	3.591809064759694E10
-8.078193771517096E10	-1.3472756293067844E10
-1.1640897096701447E10	-9.73233870975224E10
7.089811875215883E10	-1.735187092347122E10
-5.771967475987089E10	3.8556268710855644E10
-5.6297476024416E10	-8.262553583729817E10
4.739767069907338E10	-7.814886759427803E10
2.8422931049539536E10	5.394548638806406E10
-8.60096311225528E10	-2.5673496110055065E10
-1.4801260354560324E10	-1.038741186789173E11
7.269487620892401E10	-3.5691522922800354E10
-3.427412312377628E10	5.682690999447714E10
-7.877620387984045E10	-6.431928861018032E10
1.348116592306471E10	-1.0458281044142554E11
7.441323513337509E10	-3.4318553712270427E9
-6.2669131305165695E10	4.009890782652507E10
-7.149412680543048E10	-8.097208162204237E10
2.4840763033231304E10	-1.0389352749233707E11
7.342127784621877E10	6.340455420193866E9
-6.821641519755589E10	3.649170335711211E10
-7.366216647000346E10	-8.329418520237067E10
2.063990495732717E10	-1.0906342149461716E11
7.824546790615764E10	-7.105672619361591E9
-5.542931464662807E10	4.936216687918602E10
-8.480156999402522E10	-7.174789737392345E10
1.1501513551771312E9	-1.1729918645950993E11
7.957751045343585E10	-4.171376878995911E10
-1.393257039484162E10	6.601054080953988E10
-9.691817746564143E10	-4.090656804244093E10
-3.272097276128144E10	-1.1826143005510902E11
6.140854086765187E10	-8.656359776912251E10
5.3658541304754944E10	4.4212980523782326E10
-8.887711297386038E10	1.4211109459211927E10
-7.403568902817691E10	-9.70133471872305E10
1.6914578738084991E10	-1.2073751938678801E11
8.473106498060057E10	-3.3633377531832726E10
-1.785302882555513E10	6.744923806099408E10
-1.0153862688176122E11	-3.848087535338813E10
-4.531263303556778E10	-1.2101835785508806E11
4.840931670219634E10	-1.0747411579649393E11
8.044568973337666E10	8.93508350263243E9
-6.072504574726773E10	5.110056073337696E10
-9.824368926809137E10	-6.7099702065198204E10
-2.740142617748126E10	-1.2997072823338843E11
6.298913745083744E10	-9.740678756036887E10
7.236446243348186E10	2.8072407547837093E10
-7.484302901282478E10	4.051823677667007E10
-9.713941863410532E10	-7.677207261068874E10
-2.402461795379254E10	-1.3388612587270114E11
6.482249194543302E10	-9.94024598183754E10
7.616329820475755E10	2.4779797769032177E10
-7.027698655191032E10	4.6496950003029434E10
-1.0215341924958624E11	-7.043763216111844E10
-3.5164012825406006E10	-1.3486690058508351E11
5.452919873448804E10	-1.135459220098558E11
8.889325007001027E10	-1.1874965757684584E9
-4.285020786355239E10	6.492930646488663E10
-1.0929408022262796E11	-4.62276789990484E10
-5.893827077524431E10	-1.2835958611425873E11
2.9484503876493248E10	-1.3272672457846808E11
9.317552363162907E10	-4.8243334795089775E10
1.813749006659118E10	7.091182001420616E10
-1.0508959917813289E11	-2.6588367807352173E8
-8.968352310362553E10	-1.0501289818766655E11
-1.1434467699650772E10	-1.4442170242197867E11
7.22115378629872E10	-1.0237411847497913E11
8.416965899517746E10	1.95090274048812E10
-5.878317260128111E10	5.96009597033952E10
-1.1291154489536813E11	-5.3355552421383575E10
-6.303729285650202E10	-1.33017495346286E11
2.257776252704443E10	-1.417276478016295E11
9.214116905975089E10	-6.927669153203944E10
5.134221918340177E10	5.875299544678018E10
-9.272470253516684E10	3.01462129259676E10
-1.0828340774665076E11	-8.229629127247972E10
-4.5316966358986176E10	-1.448674669044451E11
4.0525509431706375E10	-1.366439214165598E11
9.85547954257668E10	-4.959371141698978E10
2.928964875756899E10	7.130026668743846E10
-1.0371094143726074E11	1.5658822650228836E10
-1.0655192203808348E11	-9.304038601719255E10
-4.0858271674225426E10	-1.496525286166116E11
4.390742574073374E10	-1.3779508401547092E11
1.0018456246534892E11	-5.008326735676987E10
3.2760701035846992E10	7.118746245521358E10
-1.0285190244885936E11	2.0728995855525593E10
-1.1148070690819467E11	-8.866789025907506E10
-5.011428935293385E10	-1.499651017054619E11
3.348462540882653E10	-1.4654445052307248E11
9.754257254536807E10	-7.074465048494043E10
6.03909684213361E10	5.628266027648009E10
-8.693510066741331E10	4.4244177909995125E10
-1.2038877345993347E11	-6.7686086709115974E10
-7.144797530736635E10	-1.4267181405365808E11
8.75102738645336E9	-1.579074321211358E11
8.368257603572014E10	-1.0547691727945125E11
9.411545146888943E10	1.3301549542151539E10
-4.033528431365806E10	7.508460229417422E10
-1.2342640340716747E11	-2.592575174396548E10
-1.0011101630501445E11	-1.2037646207063133E11
-2.9788276564914185E10	-1.6228948251441095E11
5.155031593041622E10	-1.424622099280415E11
1.0434664561909518E11	-5.477614937213896E10
4.590148301920458E10	6.810782942172911E10
-9.716581876841502E10	3.723729738545954E10
-1.2467350914258864E11	-7.299080469285399E10
-7.729470459837949E10	-1.46950153532387E11
5.2994032060354695E7	-1.6599024380702228E11
7.622708916952002E10	-1.23218767099452E11
1.050405661180672E11	-1.5647581041184462E10
-8.71388068331749E8	8.215186240041676E10
-1.1787115264042601E11	6.564179305149035E9
-1.2003891169649808E11	-9.77953753094954E10
-6.341702768293173E10	-1.5928547964778708E11
1.5281133319314917E10	-1.663811172760723E11
8.683882539353026E10	-1.1282727071831503E11
1.0192295961893114E11	1.6804751545889242E9
-2.0193721980707283E10	8.22090218324674E10
-1.2409931546206943E11	-4.710434455434585E9
-1.1966369635733922E11	-1.0585498566609605E11
-6.180570910476796E10	-1.6406727449975525E11
1.6177201826015347E10	-1.6969868173694693E11
8.709928115795392E10	-1.1687917632869646E11
1.0507809571268695E11	-4.563150088229897E9
-1.0349822399374552E10	8.356723005463583E10
-1.2234048405171066E11	3.9742291506160293E9
-1.2547125744255429E11	-9.909902139972966E10
-7.255693701057825E10	-1.6259836740815845E11
3.19742242566839E9	-1.7624422976017856E11
7.694489262498367E10	-1.3456577669765709E11
1.1143983058939513E11	-3.3751873959436337E10
2.85184977277714E10	7.861503174148816E10
-1.0750848608748009E11	3.1944823528895008E10
-1.3411790767061507E11	-7.54116935604814E10
-9.366344402105437E10	-1.514300916211073E11
-2.327654894457886E10	-1.8119725269854364E11
5.3373923170215996E10	-1.5949639304558835E11
1.084242085457398E11	-8.104313945038626E10
8.311002047707065E10	4.250961745065423E10
-6.233974675437447E10	7.134681155846602E10
-1.3551675747336716E11	-3.032197890520548E10
-1.197956714449182E11	-1.2350476450496744E11
-6.12491812343704E10	-1.7590278449784512E11
1.414107096016767E10	-1.8109279316699136E11
8.45555882988524E10	-1.3418136536401976E11
1.1486659287282791E11	-3.190122180505718E10
3.1241221684506798E10	7.951020460898259E10
-1.0616123213318054E11	3.6870951982314445E10
-1.3881444197015802E11	-6.959496479349498E10
-1.0458811578182378E11	-1.4898746850184012E11
-3.8994695304986725E10	-1.8613996007671967E11
