Voyager 2 X	Voyager 2 Y
4.801145146486166E12	-1.319286459361146E13
4.816413480947098E12	-1.3226734541046777E13
4.831680257009793E12	-1.3260600208835832E13
4.846945484174817E12	-1.3294461625655215E13
4.862209171857278E12	-1.3328318819898596E13
4.877471329387776E12	-1.3362171819680432E13
4.892731966013394E12	-1.3396020652839508E13
4.907991090898738E12	-1.3429865346942434E13
4.923248713126888E12	-1.3463705929287195E13
4.938504841700368E12	-1.3497542426906621E13
4.953759485542051E12	-1.353137486657176E13
4.969012653496125E12	-1.356520327479509E13
4.984264354328999E12	-1.3599027677833918E13
4.999514596730153E12	-1.3632848101693564E13
5.014763389313068E12	-1.366666457213061E13
5.030010740616079E12	-1.370047711465589E13
5.04525665910322E12	-1.3734285754537752E13
5.060501153165023E12	-1.3768090516804898E13
5.075744231119445E12	-1.3801891426249584E13
5.090985901212529E12	-1.3835688507430314E13
5.106226171619363E12	-1.386948178467498E13
5.12146505044471E12	-1.3903271282083547E13
5.136702545723911E12	-1.3937057023530871E13
5.151938665423573E12	-1.397083903266959E13
5.167173417442311E12	-1.4004617332932678E13
5.182406809611562E12	-1.4038391947536225E13
5.197638849696224E12	-1.4072162899482068E13
5.212869545395454E12	-1.4105930211560371E13
5.228098904343334E12	-1.4139693906352113E13
5.243326934109631E12	-1.4173454006231666E13
5.258553642200419E12	-1.4207210533369309E13
5.273779036058816E12	-1.4240963509733613E13
5.289003123065661E12	-1.42747129570938E13
5.304225910540176E12	-1.4308458897022162E13
5.319447405740647E12	-1.4342201350896408E13
5.334667615865108E12	-1.4375940339901967E13
5.349886548051926E12	-1.440967588503409E13
5.365104209380549E12	-1.4443408007100334E13
5.380320606872057E12	-1.4477136726722502E13
5.395535747489873E12	-1.4510862064339004E13
5.41074963814033E12	-1.4544584040206852E13
5.425962285673306E12	-1.4578302674403852E13
5.441173696882928E12	-1.4612017986830576E13
5.456383878508058E12	-1.4645729997212525E13
5.471592837232942E12	-1.4679438725102115E13
5.486800579687844E12	-1.4713144189880506E13
5.50200711244961E12	-1.4746846410759729E13
5.517212442042229E12	-1.4780545406784623E13
5.5324165749374E12	-1.4814241196834754E13
5.547619517555141E12	-1.4847933799626104E13
5.562821276264337E12	-1.488162323371311E13
5.578021857383246E12	-1.4915309517490467E13
5.593221267180095E12	-1.4948992669194895E13
5.608419511873551E12	-1.4982672706906982E13
5.623616597633321E12	-1.5016349648552799E13
5.63881253058062E12	-1.5050023511905844E13
5.654007316788703E12	-1.5083694314588637E13
5.669200962283343E12	-1.511736207407443E13
5.684393473043311E12	-1.5151026807688828E13
5.699584855000937E12	-1.5184688532611377E13
5.714775114042502E12	-1.5218347265877455E13
5.729964256008735E12	-1.5252003024379643E13
5.745152286695289E12	-1.5285655824869367E13
5.760339211853227E12	-1.5319305683958396E13
5.775525037189397E12	-1.5352952618120479E13
5.790709768366933E12	-1.5386596643692807E13
5.805893411005712E12	-1.5420237776877479E13
5.82107597068265E12	-1.545387603374301E13
5.836257452932303E12	-1.5487511430225822E13
5.851437863247186E12	-1.5521143982131613E13
5.866617207078175E12	-1.5554773705136793E13
5.8817954898350205E12	-1.5588400614789918E13
5.896972716886597E12	-1.5622024726512984E13
5.912148893561416E12	-1.5655646055602875E13
5.927324025147957E12	-1.568926461723259E13
5.942498116895142E12	-1.572288042645269E13
5.957671174012597E12	-1.575649349819249E13
5.972843201671125E12	-1.5790103847261416E13
5.988014205003042E12	-1.58237114883503E13
6.003184189102565E12	-1.5857316436032482E13
6.01835315902617E12	-1.5890918704765172E13
6.03352111979295E12	-1.5924518308890744E13
6.048688076384997E12	-1.5958115262637678E13
6.063854033747751E12	-1.5991709580121947E13
6.079018996790361E12	-1.6025301275348145E13
6.0941829703859795E12	-1.6058890362210607E13
6.109345959372189E12	-1.609247685449462E13
6.124507968551256E12	-1.6126060765877463E13
6.139669002690575E12	-1.6159642109929557E13
6.154829066522928E12	-1.6193220900115598E13
6.16998816474686E12	-1.6226797149795535E13
6.185146302026961E12	-1.6260370872225686E13
6.200303482994238E12	-1.6293942080559857E13
6.21545971224641E12	-1.6327510787850324E13
6.230614994348224E12	-1.6361077007048877E13
6.245769333831797E12	-1.6394640751007826E13
6.260922735196965E12	-1.6428202032480943E13
6.276075202911469E12	-1.64617608641246E13
6.291226741411375E12	-1.6495317258498572E13
6.306377355101327E12	-1.6528871228067209E13
6.321527048354875E12	-1.6562422785200143E13
6.336675825514739E12	-1.6595971942173518E13
6.351823690893129E12	-1.662951871117063E13
6.366970648772013E12	-1.6663063104283072E13
6.38211670340342E12	-1.669660513351154E13
6.397261859009738E12	-1.6730144810766691E13
6.412406119783965E12	-1.6763682147870193E13
6.427549489889946E12	-1.679721715655546E13
6.442691973462782E12	-1.683074984846849E13
6.457833574608924E12	-1.6864280235168953E13
6.472974297406586E12	-1.6897808328130717E13
6.488114145905907E12	-1.693133413874294E13
6.503253124129255E12	-1.6964857678310822E13
6.51839123607149E12	-1.6998378958056428E13
6.533528485700168E12	-1.7031897989119365E13
6.548664876955842E12	-1.7065414782557824E13
6.563800413752284E12	-1.7098929349349135E13
6.578935099976729E12	-1.7132441700390777E13
6.59406893949004E12	-1.7165951846500943E13
6.60920193612711E12	-1.7199459798419367E13
6.624334093696919E12	-1.723296556680823E13
6.639465415982853E12	-1.726646916225267E13
6.654595906742921E12	-1.7299970595261693E13
6.669725569709913E12	-1.7333469876268795E13
6.68485440859175E12	-1.736696701563269E13
6.699982427071541E12	-1.7400462023638092E13
6.715109628807898E12	-1.7433954910496355E13
6.730236017435149E12	-1.7467445686346193E13
6.745361596563452E12	-1.7500934361254367E13
6.760486369779113E12	-1.7534420945216348E13
6.775610340644701E12	-1.7567905448156975E13
6.790733512699339E12	-1.7601387879931113E13
6.805855889458803E12	-1.7634868250324383E13
6.820977474415754E12	-1.7668346569053668E13
6.836098271040022E12	-1.770182284576786E13
6.851218282778662E12	-1.7735297090048445E13
6.866337513056229E12	-1.7768769311410133E13
6.881455965274961E12	-1.7802239519301496E13
6.896573642814941E12	-1.7835707723105426E13
6.911690549034275E12	-1.786917393214003E13
6.926806687269379E12	-1.7902638155659E13
6.941922060835044E12	-1.7936100402852016E13
6.957036673024684E12	-1.7969560682845797E13
6.972150527110489E12	-1.8003019004704316E13
6.987263626343628E12	-1.8036475377429617E13
7.002375973954457E12	-1.8069929809962043E13
7.01748757315264E12	-1.8103382311181152E13
7.032598427127356E12	-1.8136832889905777E13
7.0477085390474795E12	-1.8170281554895223E13
7.062817912061743E12	-1.8203728314849254E13
7.07792654929896E12	-1.8237173178408848E13
7.09303445386811E12	-1.827061615415673E13
7.108141628858596E12	-1.8304057250617812E13
7.123248077340344E12	-1.8337496476259617E13
7.138353802364016E12	-1.83709338394932E13
7.153458806961158E12	-1.840436934867323E13
7.168563094144362E12	-1.8437803012098473E13
7.183666666907437E12	-1.8471234838012684E13
7.198769528225532E12	-1.8504664834604508E13
7.213871681055329E12	-1.853809301000862E13
7.228973128335229E12	-1.85715193723057E13
7.244073872985397E12	-1.860494392952312E13
7.25917391790803E12	-1.863836668963529E13
7.274273265987427E12	-1.8671787660564293E13
7.289371920090184E12	-1.8705206850180316E13
7.304469883065294E12	-1.8738624266301953E13
7.319567157744326E12	-1.8772039916696645E13
7.334663746941538E12	-1.8805453809081258E13
7.349759653454049E12	-1.883886595112263E13
7.364854880061946E12	-1.887227635043751E13
7.37994942952844E12	-1.8905685014593617E13
7.39504330459999E12	-1.8939091951109895E13
7.410136508006422E12	-1.897249716745639E13
7.42522904246105E12	-1.9005900671055348E13
7.440320910660867E12	-1.90393024692814E13
7.455412115286605E12	-1.9072702569461836E13
7.470502659002887E12	-1.910610097887703E13
7.485592544458377E12	-1.9139497704761098E13
7.500681774285856E12	-1.9172892754301957E13
7.515770351102384E12	-1.9206286134641895E13
7.530858277509408E12	-1.9239677852877996E13
7.545945556092876E12	-1.92730679160623E13
7.561032189423376E12	-1.9306456331202395E13
7.57611818005621E12	-1.9339843105261754E13
7.591203530531543E12	-1.9373228245159973E13
