Phobos X	Phobos Y
-2.3774200505770728E11	-5.38125232947858E10
-2.0081581875299255E11	-1.1977100930077188E11
-1.3733088950907202E11	-1.694711468722679E11
-5.188607367142449E10	-1.910849408270827E11
4.378237057206306E10	-1.7098524956433887E11
1.2472449307363933E11	-9.976074260502115E10
1.553145184093219E11	1.0226790008244019E10
1.1919627170990063E11	1.1679470933803429E11
3.8854015217073395E10	1.8306529659754675E11
-5.3156490798995346E10	2.0196001085825137E11
-1.3589348650342194E11	1.824031144053532E11
-1.9898031993203757E11	1.3585468400172054E11
-2.3759480245090143E11	7.244801374384108E10
-2.495116607723867E11	9.277805776961955E8
-2.338340710382601E11	-7.055020392834549E10
-1.9073345538787274E11	-1.3346582564686775E11
-1.2207535047802994E11	-1.7792816115283865E11
-3.342513605244527E10	-1.9186432505151083E11
6.154371030998993E10	-1.6194755139572665E11
1.3538227933757939E11	-8.145582679309445E10
1.536399002723379E11	3.132826304675483E10
1.0741312614050882E11	1.3238191807381444E11
2.3308754071951996E10	1.903652154260622E11
-6.800202943251444E10	2.0240450131385846E11
-1.480348122624216E11	1.7825611464459772E11
-2.077639573638722E11	1.2903102024148563E11
-2.4298144141753552E11	6.439693025574054E10
-2.5173686411769797E11	-7.252130486039781E9
-2.3327388523475394E11	-7.798872335029594E10
-1.8787346984769144E11	-1.39428759772375E11
-1.1755104450556335E11	-1.8176145713865417E11
-2.813889450013549E10	-1.9300915746055194E11
6.625425866666591E10	-1.6015862339346658E11
1.3787049588682147E11	-7.742601251170168E10
1.5316554850101813E11	3.561520170847208E10
1.0512241753816643E11	1.3526649688402496E11
2.0722321192120163E10	1.9180912296416196E11
-7.018851515690302E10	2.0312587186922675E11
-1.497921396573398E11	1.789204328091226E11
-2.0938351757392075E11	1.3005085402014813E11
-2.448889194860534E11	6.5935410812716446E10
-2.5440753909811798E11	-5.26305847769689E9
-2.3718128591182724E11	-7.586032964566345E10
-1.9342175786142834E11	-1.3776837216529507E11
-1.2492692567291124E11	-1.8156433936369693E11
-3.695987070652165E10	-1.9573013171352667E11
5.765339132691358E10	-1.6744431368586157E11
1.3306558137023726E11	-8.962144158166083E10
1.5566622741651364E11	2.1841069382102474E10
1.142443585322252E11	1.2503159065903094E11
3.2835727270250015E10	1.874790647191413E11
-5.819808099096289E10	2.0446736636364987E11
-1.3984353911812445E11	1.8485113745070282E11
-2.026465658058949E11	1.393826008255733E11
-2.4215733130894412E11	7.749854570523592E10
-2.5628201822512653E11	7.312123063442807E9
-2.4412073777935495E11	-6.3672519287471306E10
-2.0567533464487354E11	-1.2772143791386446E11
-1.4227730659982254E11	-1.759794360985237E11
-5.807862407180945E10	-1.9764886566161484E11
3.652674136224622E10	-1.8017292883327673E11
1.1945587358242772E11	-1.1404792980584972E11
1.576096167969959E11	-7.80877665560533E9
1.3140849002808804E11	1.0148258747983737E11
5.752595127128036E10	1.7600525839882825E11
-3.2996642097767937E10	2.0479809367820084E11
-1.1827916900417336E11	1.9456445674487466E11
-1.8698711290976706E11	1.55889347177544E11
-2.337319755437676E11	9.843063033650458E10
-2.559650330953861E11	3.0418435181130814E10
-2.5251396138543127E11	-4.075189411529171E10
-2.2307770324398575E11	-1.0773330235087181E11
-1.6839459615947363E11	-1.6238548855578128E11
-9.124658791532475E10	-1.9491812781024585E11
1.0288935252431164E9	-1.9348752311098795E11
9.174645614565509E10	-1.4648772104856668E11
