Deimos X	Deimos Y
-2.3595588436438123E11	-6.036361864496625E10
-1.9762952487087207E11	-1.326688478664721E11
-1.3405928413349066E11	-1.8778712712724142E11
-5.204459761898508E10	-2.1673266643125024E11
3.775363835268853E10	-2.1257358348042923E11
1.2115527270184763E11	-1.729765136736233E11
1.8305151848720987E11	-1.0262588683275912E11
2.1185061710092554E11	-1.3483459390914843E10
2.0335249641057816E11	7.83868908314424E10
1.613651497236774E11	1.5778784716618533E11
9.513316396034702E10	2.14011298586469E11
1.5920271001517046E10	2.417652406215884E11
-6.542081871340769E10	2.402883714829138E11
-1.3957767130803348E11	2.1199116761175565E11
-1.9906727786463348E11	1.6135375925475128E11
-2.381833023119197E11	9.424764733618718E10
-2.5291817257978574E11	1.760136871577749E10
-2.4103202679036646E11	-6.073419021348984E10
-2.0236421499413205E11	-1.3208799744700552E11
-1.394255624580516E11	-1.8725628878191385E11
-5.818495388652373E10	-2.172812258204248E11
3.1329449130567158E10	-2.1505963710040524E11
1.1544744808546423E11	-1.7782144618314975E11
1.792709516342275E11	-1.0958245108155986E11
2.109719938132488E11	-2.161277668983091E10
2.0574621510659756E11	7.043474819358919E10
1.6672044298012036E11	1.513526209393378E11
1.0263755291957582E11	2.1011316254314404E11
2.4507942375458572E10	2.409967313593674E11
-5.688077074189254E10	2.428387434524277E11
-1.321755956091177E11	2.1771088465040805E11
-1.9380135132108075E11	1.698076603888334E11
-2.3592765431837314E11	1.0474126403293483E11
-2.5438342849888718E11	2.9182984425479443E10
-2.4669644586285455E11	-4.9283568117218376E10
-2.1235648266277667E11	-1.2225256426221016E11
-1.5334814065619525E11	-1.8072704415494452E11
-7.489915432912617E10	-2.1576933295849603E11
1.3856939446804268E10	-2.199029427176358E11
1.0002538645061316E11	-1.8939638225206198E11
1.6888094182002002E11	-1.2678042648040872E11
2.0779939641755075E11	-4.184724550604443E10
2.1042521183484665E11	5.049754454252689E10
1.7829564251757385E11	1.3478813923219034E11
1.191092135062812E11	1.9908072877206677E11
4.347202051124018E10	2.3659889440114285E11
-3.780003546574993E10	2.4528273685703644E11
