Halley's Comet X	Halley's Comet Y
-1.8993679872886973E12	3.5355167021703696E12
-1.8899526100251067E12	3.5266179928796777E12
-1.8804916992983528E12	3.5176343038721396E12
-1.870985054271764E12	3.5085650486944653E12
-1.861432470929238E12	3.499409630962853E12
-1.851833742011097E12	3.4901674441348203E12
-1.8421886569460168E12	3.4808378712738833E12
-1.8324970017793325E12	3.4714202848041846E12
-1.8227585591000757E12	3.461914046254886E12
-1.8129731079674517E12	3.452318505996344E12
-1.8031404238357117E12	3.442633002968757E12
-1.7932602784759792E12	3.4328568644022627E12
-1.7833324398944976E12	3.4229894055262944E12
-1.7733566722486953E12	3.4130299292670254E12
-1.7633327357624253E12	3.402977725934132E12
-1.7532603866393171E12	3.392832072897689E12
-1.7431393769731409E12	3.382592234253482E12
-1.732969454656162E12	3.372257460475583E12
-1.7227503632859985E12	3.3618269880568926E12
-1.7124818420701157E12	3.3513000391372334E12
-1.7021636257277007E12	3.3406758211172715E12
-1.6917954443899922E12	3.3299535262574385E12
-1.6813770235004478E12	3.3191323312624995E12
-1.6709080837144194E12	3.308211396853449E12
-1.6603883407959856E12	3.2971898673255737E12
-1.6498175055112761E12	3.2860668700888687E12
-1.6391952835213557E12	3.274841515189375E12
-1.6285213752771062E12	3.2635128948142905E12
-1.61779547591454E12	3.252080082783195E12
-1.607017275147993E12	3.240542134023553E12
-1.596186457160836E12	3.228898084027456E12
-1.5853027004950981E12	3.217146948287899E12
-1.5743656779424146E12	3.205287721715618E12
-1.5633750564365754E12	3.1933193780394287E12
-1.552330496944464E12	3.181240869190792E12
-1.541231654352717E12	3.1690511246690684E12
-1.5300781773508994E12	3.1567490508844614E12
-1.5188697083127815E12	3.1443335304796216E12
-1.5076058831745198E12	3.1318034216315776E12
-1.4962863313065337E12	3.119157557333271E12
-1.4849106753764534E12	3.106394744651944E12
-1.4734785312016917E12	3.093513763961111E12
-1.4619895075911733E12	3.080513368144363E12
-1.4504432061737517E12	3.067392281769354E12
-1.4388392212104016E12	3.054149200227116E12
-1.4271771393904272E12	3.040782788831241E12
-1.4154565396129973E12	3.027291681875611E12
-1.403676992751489E12	3.013674481648475E12
-1.3918380613977559E12	2.9999297573954697E12
-1.3799392995879817E12	2.9860560442233574E12
-1.3679802525146428E12	2.972051841940683E12
-1.3559604562271633E12	2.957915613834337E12
-1.3438794373224343E12	2.9436457853807456E12
-1.331736712623738E12	2.9292407428882837E12
-1.3195317888475376E12	2.914698832063332E12
-1.3072641622626594E12	2.9000183564937227E12
-1.2949333183476992E12	2.885197576050402E12
-1.28253873144719E12	2.8702347052101396E12
-1.2700798644229211E12	2.8551279112977534E12
-1.257556168296516E12	2.8398753126408022E12
-1.2449670818836477E12	2.8244749766281924E12
-1.232312031423699E12	2.808924917668544E12
-1.2195904302067676E12	2.7932230950491875E12
-1.2068016781931775E12	2.77736741069475E12
-1.193945161619063E12	2.7613557068150854E12
-1.1810202525881443E12	2.7451857634306304E12
-1.1680263086518657E12	2.728855295769245E12
-1.1549626723757964E12	2.712361951528857E12
-1.1418286708890208E12	2.6957033079958257E12
-1.128623615415555E12	2.6788768690070083E12
-1.1153468007876428E12	2.6618800617455044E12
-1.1019975049390022E12	2.6447102333594834E12
-1.088574988374512E12	2.6273646473897974E12
-1.075078493615069E12	2.609840479989523E12
-1.061507244617195E12	2.5921348159181826E12
-1.0478604461694421E12	2.5742446442945225E12
-1.0341372832658479E12	2.5561668540948984E12
-1.0203369204507305E12	2.537898229379762E12
-1.0064585011287941E12	2.5194354442217827E12
-9.925011468393752E11	2.500775057304818E12
-9.784639564983654E11	2.4819135061654067E12
-9.643460056129657E11	2.462847101053392E12
-9.501463454679596E11	2.443572018391069E12
-9.358640022716318E11	2.424084293798501E12
