Venus X	Venus Y
1.5872668873784882E10	-1.0687215979795963E11
1.0507402264547197E11	-2.9127569442258026E10
7.046389560954526E10	8.426830090206639E10
-4.750857100028795E10	9.875804319522835E10
-1.0890348128831458E11	-3.2674255472927446E9
-4.179390181311814E10	-1.0084016899541507E11
7.427107464874991E10	-8.09677610333128E10
1.0602406872867944E11	3.2524321787725708E10
1.7047459190500566E10	1.1020429797322113E11
-9.155980950465314E10	6.287369551984531E10
-9.583133243199867E10	-5.538942550128779E10
7.873334046946033E9	-1.106092123545881E11
1.0314446919022636E11	-4.2432213958097984E10
8.526909822759872E10	7.356869514220367E10
-2.6652954169412148E10	1.0991000077179042E11
-1.0965794082970851E11	2.6052247281912148E10
-7.291612965614465E10	-8.561041107916763E10
4.232375801385969E10	-1.0421831367882417E11
1.1251864869600198E11	-1.1100955561646599E10
6.342014907389596E10	9.494338457374417E10
-5.3615846123748344E10	1.0135822769259381E11
-1.1445563732300311E11	9.027918349567692E8
-5.5375712879500015E10	-9.989683418538882E10
6.0671897839526566E10	-9.653814212433841E10
1.1428911813693822E11	6.401434960214315E9
5.075670529507961E10	1.0383334113219016E11
-6.566957367898831E10	9.587412922227673E10
-1.158368882948929E11	-9.70222487827522E9
-4.930888165447353E10	-1.0502407831751158E11
6.579189314176759E10	-9.503978053266325E10
1.1539520162362383E11	9.27499209971942E9
5.066135140010832E10	1.0522978116100783E11
-6.524298603066682E10	9.788025997058176E10
-1.178350916151356E11	-5.910297788085538E9
-5.600208878097633E10	-1.0376364188025009E11
5.899384769002733E10	-1.0139712416325146E11
1.1705245716495923E11	-2.1988968849985003E9
6.308532750171344E10	9.952906109847664E10
-5.2213095797989815E10	1.0674127239908759E11
-1.1892418665168938E11	1.2057339349734722E10
-7.401574298515297E10	-9.420549182769122E10
3.906742621388648E10	-1.1267666099924625E11
1.153601505261301E11	-2.746560843723884E10
8.507064760925256E10	8.300033599975246E10
-2.4570433927911793E10	1.1722274730985487E11
-1.1279602120992831E11	4.306603662470582E10
-9.851763554477057E10	-7.108492492507896E10
4.120834864519185E9	-1.2128389189010808E11
1.0229609753891243E11	-6.363240768883026E10
1.0912827978970259E11	5.010245575289985E10
1.8237279804757416E10	1.192089804653824E11
-9.002914812973534E10	8.168026514816776E10
-1.191608654944362E11	-2.9241591488276585E10
-4.411700535429062E10	-1.15123126069483E11
6.852176902899019E10	-1.0180674187233989E11
1.2180409376244653E11	-1.7567999536998801E9
7.018266180825098E10	9.935202208210428E10
-4.264895809372131E10	1.1452094574635016E11
-1.195816088305582E11	3.0145136596537094E10
-9.464579712732707E10	-8.099536987316354E10
9.827374533346243E9	-1.2450401970241742E11
1.057016067979535E11	-6.5030580740357155E10
1.1374751185407628E11	4.758586642253007E10
2.700608264691162E10	1.2017373208447954E11
-8.288596445222731E10	9.18789559645842E10
-1.242331263135126E11	-1.3965276543466547E10
-6.328982651002559E10	-1.0925974814531058E11
4.894674140576351E10	-1.165385354212726E11
1.217110648512703E11	-3.0972008024587063E10
9.691431007770625E10	7.87121326658143E10
-6.052952706036035E9	1.2450676885388959E11
-1.0451087408437906E11	6.894544533234372E10
-1.1898175475824141E11	-4.315565503285066E10
-3.8681217633944885E10	-1.218126418300351E11
7.202691257135857E10	-1.0570128509273463E11
1.2691068012777887E11	-8.259518777764066E9
8.350216713012724E10	9.497592831987642E10
-2.503310560837564E10	1.2363274523597765E11
-1.1411908632824947E11	5.479368768886042E10
-1.1420398925148589E11	-5.765879159461647E10
-2.6131006725188984E10	-1.2651788116573602E11
8.201707209672736E10	-1.0007870904699803E11
1.288154772545263E11	9.52535370449469E8
7.9134104811871E10	1.0078846698953757E11
-3.0201159263910378E10	1.2406911669129095E11
-1.1660967335778313E11	5.2667633516680305E10
-1.1477476079731064E11	-5.9240753881802986E10
-2.699591384130652E10	-1.2761059005094475E11
8.098706335718489E10	-1.0272678095440538E11
1.3039058442231071E11	-3.5054885214003267E9
8.526653583625594E10	9.79415006809014E10
-2.205123120817604E10	1.274340184471136E11
-1.1304387262550319E11	6.282496497419664E10
-1.2096440897740732E11	-4.836702680556112E10
-4.089845759315244E10	-1.2500600732422368E11
6.875274625486922E10	-1.1280893981568321E11
1.3026030571990224E11	-2.123745453038778E10
1.0032299180181288E11	8.513587484234259E10
-4.649551347612794E8	1.3107399719020747E11
-1.0079803236007727E11	8.340164731870619E10
-1.291969482026593E11	-2.398048316231939E10
-6.622804083942702E10	-1.1478612737513174E11
4.308838330500408E10	-1.2610370957291942E11
1.231976643278852E11	-5.105244663516011E10
1.1946166346960947E11	5.883652704613767E10
3.399359083629299E10	1.2840127216768964E11
-7.487104768073311E10	1.092887753728653E11
-1.3188055963835255E11	1.4423161486899769E10
-9.813510815061295E10	-9.055007273896184E10
