Triton X	Triton Y
4.2902754835985894E12	-1.2845994331799404E12
4.2965243907612583E12	-1.2664720173223262E12
4.3007467022760254E12	-1.2475942114583967E12
4.305856334654646E12	-1.228471960372402E12
4.3110662927040815E12	-1.2099650320526636E12
4.3169306921503257E12	-1.1913595199650554E12
4.323411294840755E12	-1.1714124065339336E12
4.327607607014212E12	-1.1508570924392334E12
4.3307658847698027E12	-1.134237844693043E12
4.3379843924115317E12	-1.114602129531465E12
4.3408745767360674E12	-1.0941201068190747E12
4.3459718584637026E12	-1.077467639459267E12
4.351556565426769E12	-1.0552932654410302E12
4.3542845297558647E12	-1.0393844507024252E12
4.3608017796430845E12	-1.0170646314038074E12
4.362881652111805E12	-1.0011513343381284E12
4.368970511208398E12	-9.785249918495095E11
4.371707155977917E12	-9.627993848464056E11
4.3757726005082534E12	-9.403404114096947E11
4.380780309868234E12	-9.238635917008474E11
4.382061161552939E12	-9.035167798328936E11
4.389591088939863E12	-8.837907306300931E11
4.389879880202439E12	-8.665547386582848E11
4.3957847787891533E12	-8.434725076968221E11
4.39906858383981E12	-8.276509418758099E11
4.3998523670883955E12	-8.073477952630304E11
4.407395785813069E12	-7.86302326268448E11
4.407984326360649E12	-7.701114861308246E11
4.410116247866605E12	-7.480183647649995E11
4.4169499536887E12	-7.289569164778922E11
4.416776161427492E12	-7.120013004180751E11
4.419453378228929E12	-6.89319620160824E11
4.425752184918445E12	-6.708063617516184E11
4.42533738429283E12	-6.537443125010293E11
4.427369736673687E12	-6.312802256296917E11
4.433963056298132E12	-6.118842778739448E11
4.433648989710515E12	-5.953110480711676E11
4.434257326065311E12	-5.738726759688838E11
4.441097648150622E12	-5.522794368584305E11
4.441732865076915E12	-5.363576461630981E11
4.4409837165542295E12	-5.1665228830008124E11
4.445793769094699E12	-4.930788765693564E11
4.449339263090175E12	-4.764105798965914E11
4.448074036564539E12	-4.5875042609828723E11
4.44884499899148E12	-4.365608757812702E11
4.45520578547356E12	-4.1535982670063464E11
4.455334048889817E12	-3.993471374495776E11
4.453881040801017E12	-3.8011326098441895E11
4.456393914413749E12	-3.566760059143258E11
4.461499930591994E12	-3.379645446988989E11
4.460346274184384E12	-3.21398287281444E11
4.458911649340902E12	-3.0130596718138416E11
4.462213285176347E12	-2.7759817045637524E11
4.466184758895716E12	-2.5983477731578714E11
4.464524566520733E12	-2.430005502061669E11
4.462849422363339E12	-2.2276182979805118E11
4.465713024846581E12	-1.9904495474214026E11
4.469640507380967E12	-1.809736926397201E11
4.46785011242384E12	-1.6429392607764365E11
4.465652767362102E12	-1.4452369705395547E11
4.466983199866163E12	-1.2112242770915045E11
4.471678500301625E12	-1.0142501408453241E11
4.470281761857112E12	-8.51574791575468E10
4.467522678739738E12	-6.632867363592787E10
4.466781591898067E12	-4.402221216170654E10
4.471430645655219E12	-2.1548883874076355E10
4.471638659909605E12	-5.308119406242254E9
4.468650421793019E12	1.2282880802435413E10
4.466159941244863E12	3.2882656800807602E10
4.467694953367797E12	5.656580843038366E10
4.471198139001319E12	7.546905619964273E10
4.468963786868012E12	9.18437385463724E10
4.465497420794187E12	1.105289935686644E11
4.46349238684483E12	1.3228735953768138E11
4.466533712375483E12	1.5574967801919028E11
4.467757257476162E12	1.728017053997796E11
4.464510397168302E12	1.896423294069486E11
4.460763201180932E12	2.0891220518235025E11
4.458916900063985E12	2.311842591035629E11
4.462145608029304E12	2.541163930397903E11
4.462176072768117E12	2.7072431549595874E11
4.458409166619966E12	2.8772383027639886E11
4.454297582521961E12	3.0706808557173474E11
4.452010714476509E12	3.2927230916206476E11
4.45466697570873E12	3.5235186212635724E11
4.454668645242783E12	3.69143172125387E11
4.450655667137139E12	3.859566094893027E11
4.44607152651233E12	4.0492474950981244E11
4.4428324499297295E12	4.2654605483352435E11
4.444002287829656E12	4.501286157358351E11
4.445072038516814E12	4.680251057539148E11
4.441205103047659E12	4.844151018521674E11
4.436171312570829E12	5.0264841853111053E11
4.431800982736223E12	5.232579461062539E11
4.43042374147073E12	5.464900754402328E11
4.432691810569991E12	5.67196616765704E11
4.429882132877488E12	5.83311165344614E11
4.424667403832904E12	6.005646580807332E11
4.41932731187632E12	6.198770865792941E11
4.415472313045089E12	6.416507806443549E11
4.41592794282774E12	6.650517455376428E11
4.416051675671775E12	6.828226053326415E11
4.411434503470685E12	6.990775974399788E11
4.405558892302912E12	7.169422281259398E11
4.400022699785029E12	7.368867056283219E11
4.396513181382653E12	7.592703683223795E11
4.3975222962910767E12	7.818705777173431E11
4.395788440337745E12	7.985345650827164E11
4.3902763673616704E12	8.149693794578976E11
4.383908173364106E12	8.330627470999043E11
4.3780338181341787E12	8.531817438509336E11
4.3743205047236797E12	8.756533677494987E11
4.3749873319884067E12	8.9789393741954E11
4.3725272810080156E12	9.143528277780608E11
4.366521526293591E12	9.30724030559994E11
4.359683942143044E12	9.486756798509382E11
4.3532554673727837E12	9.685403508847393E11
4.3486977947627593E12	9.906470049898693E11
4.348451122456461E12	1.0133071204780587E12
4.3463265520759365E12	1.0301813230576907E12
4.3401658985540103E12	1.0462584518949532E12
4.332895878181064E12	1.0637455258188318E12
4.3257705009065776E12	1.0829901447124585E12
4.319959733414246E12	1.1043029058879048E12
4.317759622116495E12	1.1273420114202883E12
4.3168368372944424E12	1.1459093368743381E12
4.311106328739064E12	1.16163862487282E12
4.3035671821672085E12	1.1784073551808474E12
4.2957580572387524E12	1.1967497626216663E12
4.288648477618414E12	1.2169245478745269E12
4.2837644058198643E12	1.2391948043713086E12
4.282933526530934E12	1.2608492532958303E12
4.2789739894455103E12	1.2769905068193252E12
4.271628355019148E12	1.292911413135824E12
4.2633418285330483E12	1.3101526530855618E12
4.2551580947485938E12	1.3289856694804673E12
4.2480355939730703E12	1.3496790107761343E12
4.243840752992816E12	1.372264487186589E12
4.242498387142955E12	1.392024818271425E12
4.236687065230494E12	1.4075418878677024E12
4.2284476851020176E12	1.4235845213529534E12
4.219587757781613E12	1.4409716864564233E12
4.210977751084232E12	1.459919026262676E12
4.2035686871786997E12	1.480694704757309E12
4.1993053441163687E12	1.503165900576364E12
4.197198086049055E12	1.5221225971577666E12
4.1905411435155176E12	1.5374162309840054E12
4.1817098081274673E12	1.5533341374395251E12
4.172312592570851E12	1.570546382884233E12
4.163145900924272E12	1.589246704074826E12
4.1550756463984497E12	1.6096864414014167E12
4.149862693128648E12	1.631864703241495E12
4.1473975415579043E12	1.6512707742365562E12
4.140651179473226E12	1.6664526820703943E12
4.1314528645329077E12	1.682004076500056E12
4.121545169988348E12	1.6987529931821545E12
4.11171775549757E12	1.7168866524181392E12
4.102702685046103E12	1.7366206151073733E12
4.095848546277046E12	1.7581621711689377E12
4.092735039464717E12	1.7790066797249832E12
4.0868680750875835E12	1.7945677518046099E12
4.077648206690042E12	1.8095864846169744E12
4.06733319281125E12	1.8256305448109177E12
4.056837972069172E12	1.842937495597934E12
