Earth X	Earth Y
-3.023337025189916E10	1.4487048104315027E11
-1.198317145081435E11	8.724022029979427E10
-1.4859941605100024E11	-1.4473462633419247E10
-1.0411627861899506E11	-1.0897387644114316E11
-9.897286482960228E9	-1.5149098088525876E11
8.91297369418074E10	-1.2333628073310327E11
1.4695667773818204E11	-3.77187832114048E10
1.355342378674629E11	6.5998660645021706E10
5.8443967749823044E10	1.3800660038675833E11
-4.770204060349387E10	1.417457159452661E11
-1.300488923233948E11	7.489659214561235E10
-1.4844419282120016E11	-2.8654138933538765E10
-9.599678980585858E10	-1.183337324477127E11
8.128306157697129E8	-1.5311618895806644E11
9.723984116492184E10	-1.1827380570634853E11
1.4954978161484045E11	-2.9550577699865116E10
1.3268957726079285E11	7.312675676303377E10
5.263285460348829E10	1.4138392893488605E11
-5.32449460621918E10	1.4122509252206598E11
-1.3341042862474742E11	7.232350579358524E10
-1.4978786905263E11	-3.114833909407123E10
-9.669889228332265E10	-1.1998435440406601E11
-2.548845103310538E8	-1.5460341408255124E11
9.608442367185529E10	-1.2074967231117189E11
1.497399463563168E11	-3.3355407712763245E10
1.3572517912594257E11	6.92729299607662E10
5.854271980325994E10	1.4007265620616458E11
-4.681320982243701E10	1.447110722461781E11
-1.3034097574763919E11	8.048063164444899E10
-1.5314434909472226E11	-2.149448067153021E10
-1.066334274538833E11	-1.136699670103608E11
-1.3517875697154663E10	-1.5573621552079324E11
8.505194363752217E10	-1.306108585830895E11
1.4665234642535968E11	-4.9260499306411E10
1.437092428703064E11	5.36834063315639E10
7.570491401306024E10	1.3255391086589395E11
-2.7742310119778362E10	1.5035414017180078E11
-1.1888052107851587E11	9.810341223894963E10
-1.5588416111757214E11	5.463244237041073E8
-1.2365775261794682E11	-9.74424454709647E10
-3.838813180695932E10	-1.5344407137931046E11
6.2636608229050156E10	-1.4485428619888522E11
1.3698036433172946E11	-7.57430591087754E10
1.5278614089717914E11	2.5327669365133854E10
1.016277910033754E11	1.1521519890918695E11
4.480596325259156E9	1.533975300528344E11
-9.53041497459571E10	1.2166366917571637E11
-1.526124022714332E11	3.459315698924924E10
-1.4310161920337695E11	-6.81447366931389E10
-7.295759630202545E10	-1.4218885052699698E11
2.702311619059619E10	-1.576514779519808E11
1.1556355564467096E11	-1.0903179289691304E11
1.5622743481162616E11	-1.59649658150298E10
1.308834743330314E11	8.344743111706235E10
4.855809587887645E10	1.4643419866278494E11
-5.569036745401137E10	1.443429337330922E11
-1.3573887437148976E11	7.774468353831055E10
-1.5701254839190735E11	-2.333361465018461E10
-1.1220945430273714E11	-1.1510664149330954E11
-2.1745149887716156E10	-1.6026699154188947E11
