Mars X	Mars Y
-2.3567284288320975E11	-6.036712967142973E10
-1.9686681422964804E11	-1.320724128046157E11
-1.3315196023702408E11	-1.8679821955754654E11
-5.102080214537985E10	-2.1525656990835757E11
3.8795912579560684E10	-2.1023069822305463E11
1.2178881646548691E11	-1.6919674355954733E11
1.82286851827217E11	-9.695729886085492E10
2.0818305938951816E11	-6.115514143469136E9
1.952883889731272E11	8.621394045162733E10
1.4817211584213345E11	1.6389833496791638E11
7.730396468422675E10	2.159011671286887E11
-4.852987162550798E9	2.3729586819968024E11
-8.659269640167618E10	2.2816329025344223E11
-1.5818039141977765E11	1.9197249531020834E11
-2.1210254061057556E11	1.343047274111441E11
-2.4295485344885782E11	6.209007144057144E10
-2.473357263347556E11	-1.6764854116366693E10
-2.239319741039615E11	-9.354813454634915E10
-1.7388610223047867E11	-1.5892644191500784E11
-1.0144878184054688E11	-2.034133568350928E11
-1.4734704642174067E10	-2.184765262046221E11
7.39869765030848E10	-1.985880254572442E11
1.4949996051292627E11	-1.439776844788241E11
1.9716691194397968E11	-6.2634154151737946E10
2.078046858935144E11	3.066676704723419E10
1.8082674149402115E11	1.1880405087109332E11
1.2344235734784625E11	1.8752425238287222E11
4.7121643885599754E10	2.282922389964043E11
-3.592706201318529E10	2.3828766617152707E11
-1.148323636784529E11	2.1898680538850015E11
-1.8081119968575638E11	1.7465951807214407E11
-2.272254553668386E11	1.1131454514207977E11
-2.494436356253826E11	3.611391440014038E10
-2.4478586358056213E11	-4.289728717429326E10
-2.1269143009744913E11	-1.1693404455597336E11
-1.5517040052340714E11	-1.7670389848520898E11
-7.75016431311556E10	-2.1301430143945087E11
1.108827526533783E10	-2.18106204983849E11
9.745576577963306E10	-1.8791755281571915E11
1.6633097775577155E11	-1.2475592686035942E11
2.0433001377401486E11	-3.863054967334743E10
2.0457702988511844E11	5.472663126809849E10
1.6880229787173392E11	1.3875715061769913E11
1.0559898162992987E11	2.0076254453557452E11
2.6733968432071404E10	2.3387682267161163E11
-5.597903020617556E10	2.365408551674873E11
-1.3232119431792348E11	2.1100176616198767E11
-1.9416963053455026E11	1.6193378584956662E11
-2.3546584806089276E11	9.553222103463008E10
-2.5207841515690408E11	1.9034034238520416E10
-2.4178716785105475E11	-5.949644329935024E10
-2.0450180814646545E11	-1.3130084943868752E11
-1.427585798080762E11	-1.8719681721365012E11
-6.242942241688895E10	-2.1827504951559235E11
2.6675988531561924E10	-2.1736004707164615E11
1.1106555282950023E11	-1.8135475417057138E11
1.756872546962586E11	-1.1377194671399069E11
2.0810855366448337E11	-2.5598943439228428E10
2.0282491479408582E11	6.719845723238871E10
1.6272071811324176E11	1.486382141567932E11
9.692342135210901E10	2.0698143407212784E11
1.7169877291994118E10	2.3623870430323605E11
-6.505431369037057E10	2.3544084846404626E11
-1.399365310190878E11	2.0715054957428638E11
-1.9972914267511774E11	1.5616834002390863E11
-2.3868640035662622E11	8.870426283170567E10
-2.529310432622118E11	1.1948990845068283E10
-2.40453089725216E11	-6.611514956681122E10
-2.0134295595019382E11	-1.3684089852374968E11
-1.3829528734569464E11	-1.9119271664937222E11
-5.7309693209615616E10	-2.2045942624839978E11
3.17401812950427E10	-2.177270229410314E11
1.154203710605763E11	-1.8020373028721182E11
1.789074944561335E11	-1.1166811464829926E11
2.101306574618788E11	-2.320406710532575E10
2.039279858991123E11	6.93634635595361E10
1.6334929466812952E11	1.503483433855872E11
9.74784363069932E10	2.0830040381294443E11
1.788297265954061E10	2.374051751232627E11
-6.4147806742568306E10	2.367417494943374E11
-1.3896705906503644E11	2.0882970317976126E11
-1.9894424859490646E11	1.583728966213467E11
-2.3840238372438812E11	9.145451731167032E10
-2.5348672376450705E11	1.5117812589112087E10
-2.4215867146711655E11	-6.281959070331841E10
-2.0441238504011124E11	-1.3388574908178407E11
-1.4275189056784296E11	-1.8920895029934488E11
-6.286710250112131E10	-2.2017586752935132E11
2.5786384952930504E10	-2.1980715792993552E11
1.1019707061456425E11	-1.8497061792310342E11
1.7574554946400067E11	-1.1880866175631467E11
2.1012398267109055E11	-3.167349420854394E10
2.075098523864144E11	6.107899651080276E10
1.7017440427338748E11	1.4375779140949402E11
1.0662524592514713E11	2.0453581477687268E11
2.8157063870560577E10	2.3709401597748166E11
