Phobos X	Phobos Y
-2.3565477130776337E11	-6.035229404581993E10
-1.968431319651794E11	-1.3206198246747807E11
-1.330927700442938E11	-1.8673998489667245E11
-5.0958405372817406E10	-2.151499810663017E11
3.8881298068465866E10	-2.1002620581212888E11
1.2182238252140173E11	-1.688133197551723E11
1.8216565956809372E11	-9.639096539272177E10
2.0773147711471683E11	-5.348245548044574E9
1.9431606565795868E11	8.698896480904349E10
1.466104771795764E11	1.644320041285706E11
7.517306272750958E10	2.1587442695232056E11
-7.31015268827039E9	2.363873779272647E11
-8.906394259591266E10	2.262021519718269E11
-1.6022909952484268E11	1.8884708531535226E11
-2.1324494876129947E11	1.3012860489480318E11
-2.4275286652040134E11	5.710439570142611E10
-2.4532983886017065E11	-2.210091445737307E10
-2.198689577493856E11	-9.856300794385895E10
-1.6767888929950754E11	-1.6277547495896408E11
-9.340909473604819E10	-2.0504872460451874E11
-5.717155166174791E9	-2.1694217829233188E11
8.257476174160632E10	-1.9319201266248172E11
1.5574942204819586E11	-1.3483801109801865E11
1.9930797712962582E11	-5.089769172607232E10
2.0475607651681677E11	4.300268855789658E10
1.7265387818916513E11	1.2937353331362297E11
1.1122345437362378E11	1.9439067826821564E11
3.253633107358208E10	2.3012031650667566E11
-5.09076211213948E10	2.3452077375577438E11
-1.2829716962122255E11	2.0971950976496948E11
-1.9091145180651804E11	1.604978111248026E11
-2.3236848251040048E11	9.343121683800896E10
-2.4829935014477386E11	1.609681502062997E10
-2.3641676525013037E11	-6.289871701709244E10
-1.9684161684571332E11	-1.3431660162212163E11
-1.3244237336719992E11	-1.884600952484856E11
-4.9904250163678696E10	-2.1605101392711014E11
3.996168585079054E10	-2.099915946039904E11
1.2251972644296782E11	-1.6785155124889377E11
1.8202936316381177E11	-9.475131059453676E10
2.06551457132985E11	-3.496758158521044E9
1.920878677597265E11	8.857629273289316E10
1.4358078881966928E11	1.653128472364457E11
7.17206932792553E10	2.1585481635801532E11
-1.085124733960331E10	2.353901312947045E11
-9.234134841902678E10	2.2430222989302463E11
-1.6302611516940924E11	1.8619671969345563E11
-2.1535686716994867E11	1.2688579754511673E11
-2.4405107693063986E11	5.352833328938797E10
-2.4575672929693857E11	-2.580102399963518E10
-2.1939381896545175E11	-1.0208379549918149E11
-1.664141445151493E11	-1.6583726343298724E11
-9.151545110035675E10	-2.0738393463152756E11
-3.537901022427873E9	-2.1830066576880765E11
8.46162327402577E10	-1.9353859491317926E11
1.571969616762786E11	-1.3428106167355037E11
1.9979301515018137E11	-4.983943765338971E10
2.0420585909420572E11	4.407183554049467E10
1.7117909810398154E11	1.300039921479539E11
1.0916631819189644E11	1.9425238456188855E11
3.024817227189717E10	2.2911706905812357E11
-5.309128181720433E10	2.3263206291081384E11
-1.3006650045552707E11	2.070879494472702E11
-1.9208529136575302E11	1.5728179026723538E11
-2.3275943531540707E11	8.98444670719534E10
-2.4784533075726035E11	1.2394759680402296E10
-2.3507643174787653E11	-6.649325052079839E10
-1.9464895167420117E11	-1.3748894861258435E11
