Earth X	Earth Y
-3.022154509847987E10	1.4481982260605707E11
-1.197416365179386E11	8.711116571586426E10
-1.4822822970109583E11	-1.47021194850632E10
-1.031740227198255E11	-1.0903878012354045E11
-8.327435265243416E9	-1.5072260966125195E11
9.055614644021982E10	-1.2091295426774371E11
1.466439294256112E11	-3.360666559537543E10
1.318926608037917E11	7.018165393624663E10
5.155455029033249E10	1.3926990578307507E11
-5.505226851988644E10	1.376021006901304E11
-1.333922416669817E11	6.559628972928592E10
-1.443264726152826E11	-3.932033472443615E10
-8.433039307472743E10	-1.2463738642101967E11
1.5937151325344555E10	-1.5006229802766962E11
1.0859723313483005E11	-1.0435922958207233E11
1.4951308947084283E11	-8.807904468853424E9
1.1753813453199753E11	9.130411573453091E10
2.6485895013540874E10	1.4590806151840414E11
-7.831730071575592E10	1.261432796207759E11
-1.4323805140073077E11	4.200088225849262E10
-1.3641573818086496E11	-6.2996863359191025E10
-6.3257176185334206E10	-1.3702162044531715E11
3.973011375642218E10	-1.4555427223933997E11
1.2366042179806546E11	-8.518202559695958E10
1.482100590785039E11	1.6060012709181833E10
9.978475331922403E10	1.0960499112653293E11
6.357012953982075E8	1.4806379794750433E11
-9.925371757540222E10	1.1075621017798048E11
-1.489176631747619E11	1.701451526727854E10
-1.2465293640254562E11	-8.511329569806258E10
-4.0418631403929184E10	-1.4587200142359567E11
6.25340044198602E10	-1.3733991665236903E11
1.3543780598307442E11	-6.3869273324025566E10
1.4285674205512128E11	4.028759829416226E10
7.923915159000363E10	1.245551571182946E11
-2.5097756416605465E10	1.456700062236431E11
-1.1714402215283588E11	9.19538672379823E10
-1.5017506692180698E11	-8.613097101639153E9
-1.0928975412118279E11	-1.0502611373649953E11
-1.6301792675325779E10	-1.5092198784171835E11
8.383302998303815E10	-1.2556326484486902E11
1.437027486728487E11	-4.091248606618426E10
1.3364041118559912E11	6.326753603711638E10
5.657136638372381E10	1.3578607007758824E11
-4.990689306450212E10	1.3886963929949673E11
-1.3140807030860913E11	7.039522786620563E10
-1.469688973158705E11	-3.406273418354783E10
-9.072715384030057E10	-1.2208148633840953E11
8.448027418998873E9	-1.5195244013967682E11
1.0306744161270638E11	-1.1042167796811536E11
1.482184497059736E11	-1.6854857692358892E10
1.2081631454392714E11	8.4456057091764E10
3.2451068589655567E10	1.4304642961913547E11
-7.30538234952568E10	1.2799675382032439E11
-1.416406869801725E11	4.682508983431148E10
-1.3943449198028705E11	-5.8486559114489334E10
-6.94887823649434E10	-1.3572643063268373E11
3.314176437687709E10	-1.48810096533799E11
1.197055857758941E11	-9.218846747613438E10
1.4878514225931027E11	7.788597172522031E9
1.046976650307225E11	1.0335530980016937E11
7.525647554867652E9	1.4622616535256015E11
-9.388133550002458E10	1.1350212277005238E11
-1.476432548026282E11	2.205965409375355E10
-1.2787344004429802E11	-8.109015167606375E10
-4.6254410998816086E10	-1.4551911701297702E11
5.7055571382404526E10	-1.4147849480176657E11
1.3318796060385551E11	-7.12648113446386E10
1.452614110158708E11	3.2430428586131737E10
8.560511450608447E10	1.1945629983588489E11
-1.7584899354593624E10	1.452905171002355E11
-1.1190206457979263E11	9.584918920491545E10
-1.4938795572185587E11	-3.1391224598288302E9
-1.1274162032979135E11	-1.0126153236358113E11
-2.17769990064586E10	-1.511863393480605E11
7.943495276290585E10	-1.3016500234512817E11
1.4299697887140747E11	-4.82141015816936E10
1.3761727189343695E11	5.632983162462573E10
6.396454758416428E10	1.3224626345445447E11
-4.222225165279394E10	1.402244513045344E11
-1.2671945004783934E11	7.553920130372382E10
-1.4694238998615253E11	-2.8090070619231243E10
-9.459221585402446E10	-1.1850019379136884E11
3.203585346209506E9	-1.526235424756189E11
9.956899359829395E10	-1.1521387956907932E11
1.487661971824268E11	-2.369212132680131E10
1.2593700847980968E11	7.874691972682144E10
4.032000945804879E10	1.412975531614246E11
-6.5743525340123604E10	1.3111656651203703E11
-1.379826544558346E11	5.315552793035129E10
-1.4049200618161255E11	-5.213820209212735E10
-7.402871522493753E10	-1.3238165217996777E11
