Deimos X	Deimos Y
-2.356795804642087E11	-6.03666033544967E10
-1.9682128110375928E11	-1.320348518602496E11
-1.3310310018445053E11	-1.8677080720137186E11
-5.0961485698474884E10	-2.1512896726616046E11
3.889542522442813E10	-2.1002606146493887E11
1.218048443151761E11	-1.688340022903915E11
1.821761742617728E11	-9.635745578560829E10
2.0773262514119586E11	-5.382497555449134E9
1.9430637573008774E11	8.700997746419221E10
1.466232321353121E11	1.6443412313814923E11
7.516443192408192E10	2.1585228913343414E11
-7.312304753168704E9	2.3641965449638556E11
-8.905121031583698E10	2.2617140845060736E11
-1.602448604291139E11	1.8886502422736618E11
-2.132331618657768E11	1.3013062973725108E11
-2.4275510459172516E11	5.7086464119094925E10
-2.4534045743173157E11	-2.2075971384243763E10
-2.198483878242738E11	-9.858635637784016E10
-1.6769985604917786E11	-1.6276162545094174E11
-9.339538662994676E10	-2.050476338755187E11
-5.718473893025202E9	-2.169548280293186E11
8.256113330350076E10	-1.931750614129479E11
1.5577474208932797E11	-1.3485303192793295E11
1.99281661733067E11	-5.0890233479024216E10
2.0477403517270895E11	4.300663354132235E10
1.7265061324522205E11	1.2936221337063962E11
1.1120923476443268E11	1.9440162504970358E11
3.2564372839512615E10	2.301149107539384E11
-5.093733946683872E10	2.3451765474255963E11
-1.2827676810750479E11	2.097315038515537E11
-1.9091574286862244E11	1.60483715532003E11
-2.3238235852479507E11	9.343796173714331E10
-2.482717886648701E11	1.6101476906541992E10
-2.364453055615014E11	-6.291422706031114E10
-1.9682312026874527E11	-1.3429435710931685E11
-1.3244525340145905E11	-1.8847905919052478E11
-4.991732850803895E10	-2.1604652743931345E11
3.9985476168127495E10	-2.099786826372189E11
1.224973795360158E11	-1.678778194002321E11
1.8204084854333734E11	-9.47200781948988E10
2.0655346026020496E11	-3.520136658376412E9
1.920749431701619E11	8.857940712836995E10
1.435983064125838E11	1.6533140606977487E11
7.170914445746576E10	2.1582210834234018E11
-1.0851521337558128E10	2.3542521548799554E11
-9.23315545328991E10	2.24278447237153E11
-1.6303914287156442E11	1.8619791311350964E11
-2.1534729767004465E11	1.269060857888514E11
-2.4405001978869254E11	5.3496463930829155E10
-2.457693392271909E11	-2.5769621041214355E10
-2.1937674253866403E11	-1.0210369175321571E11
-1.664271522146923E11	-1.6583710528231802E11
-9.151207063294E10	-2.0736707783027597E11
-3.5280682225313563E9	-2.1832525254344382E11
8.459541995492247E10	-1.9351552013061954E11
1.5721943131242477E11	-1.3429551472160449E11
1.9977808647496585E11	-4.983947896050287E10
2.0420819744023743E11	4.408380612735417E10
1.7119176865266187E11	1.2998762956880208E11
1.0914133402555861E11	1.942664140157069E11
3.0275323714523445E10	2.291097487340254E11
-5.31101956697165E10	2.3262867315102225E11
-1.3006199937160883E11	2.070988550489134E11
-1.9207273145670663E11	1.5727106663591403E11
-2.3278628007884152E11	8.9849151020081E10
-2.4781536564868716E11	1.2397950075316475E10
-2.3509777876198483E11	-6.650493371330367E10
-1.9464309643381604E11	-1.3747465142602194E11
-1.2953560827038173E11	-1.9097324858048526E11
