Moon X	Moon Y
-3.034347996689009E10	1.4515526292356754E11
-1.1956387027454434E11	8.674824226268617E10
-1.4844968928983405E11	-1.4406773597736694E10
-1.0290445604909084E11	-1.0933810067283536E11
-8.642973429023117E9	-1.5053390671274255E11
9.090474806724895E10	-1.2111601090303487E11
1.4629316151246976E11	-3.3513845073720917E10
1.3227973712276532E11	7.009573488584521E10
5.118002933282619E10	1.3923965640097675E11
-5.46541536361069E10	1.376245875468657E11
-1.3372767508128368E11	6.54428453304008E10
-1.4396156845483865E11	-3.9169854519286575E10
-8.461615440719559E10	-1.2487747359230432E11
1.6239563574753716E10	-1.4981816940233353E11
1.0841132935395624E11	-1.0469455774786093E11
1.4972993840695438E11	-8.4800031017009115E9
1.1746363034437628E11	9.093340625725375E10
2.657886718735319E10	1.4628023156792688E11
-7.828411526471039E10	1.2575692856035214E11
-1.432438280623189E11	4.2384433028599464E10
-1.3625155981312428E11	-6.335073205090088E10
-6.33940127328139E10	-1.3666236832303456E11
3.998266661405078E10	-1.4584825717340573E11
1.2342498014612099E11	-8.489488770127213E10
1.4855009729307135E11	1.5855507038245636E10
9.947477971771544E10	1.0981798705444237E11
1.0205295013214439E9	1.4797614301082492E11
-9.961589834969928E10	1.1083902384228181E11
-1.4852081657027838E11	1.7034180838337708E10
-1.2501531736031989E11	-8.513350919681705E10
-4.004470463923915E10	-1.4572311902018198E11
6.218944316357527E10	-1.3748039326357462E11
1.3575247389415567E11	-6.362097396773238E10
1.425950710565922E11	4.00357895267559E10
7.947064392137279E10	1.2488768667146729E11
-2.528616194375191E10	1.4536099170154202E11
-1.170245906479105E11	9.234043750871115E10
-1.5023966956671802E11	-8.976857491501984E9
-1.0928038312261095E11	-1.046217159171474E11
-1.6245169770133621E10	-1.5127442014676877E11
8.371509222558656E10	-1.2517594512004767E11
1.43860033934242E11	-4.124059100874949E10
1.334178809937642E11	6.360213664525449E10
5.68453186720993E10	1.355413784225545E11
-5.021839558774758E10	1.391270665139995E11
-1.3108427337404953E11	7.024111385262659E10
-1.4734072732986374E11	-3.3916017006313663E10
-9.035751153412671E10	-1.2212620245070854E11
8.049569304658343E9	-1.519127584655253E11
1.0342552462549617E11	-1.1032816484546106E11
1.4782847592139355E11	-1.6944679311993282E10
1.2113593219675859E11	8.46402009045641E10
3.2110633236509315E10	1.4285086189194806E11
-7.280791364456862E10	1.282882669330111E11
-1.4191507893467117E11	4.653890846927661E10
-1.392964954906644E11	-5.8139190173769966E10
-6.964842371434404E10	-1.3608058895679771E11
3.3177715119472263E10	-1.4843107793406296E11
1.196507684178267E11	-9.256783849272731E10
1.4868290096606622E11	8.162395169280242E9
1.0476786810127269E11	1.0297406516350853E11
7.324635829452336E9	1.4655167962243246E11
-9.369601855958003E10	1.1317527370029965E11
-1.4793971639743637E11	2.2318160548846924E10
-1.2760560498226521E11	-8.135833701392593E10
-4.6619729150448906E10	-1.4537164401541818E11
5.740127399191599E10	-1.416317756232122E11
1.3279565381631021E11	-7.122221290198993E10
1.4562510469784055E11	3.2390078426055527E10
8.521229819143625E10	1.193711223840639E11
-1.7216672740374027E10	1.4535788263874683E11
-1.1224948269494499E11	9.565451570700214E10
-1.4907802058291345E11	-2.944250055062538E9
-1.1302295142565799E11	-1.01548219230531E11
-2.1535983693885597E10	-1.5091843478746646E11
