Neptune X	Neptune Y
2.889375494912836E12	3.3943590345995625E12
2.874330355662166E12	3.407131583775729E12
2.859229417137424E12	3.419837993532795E12
2.844072976828887E12	3.4324780128813853E12
2.828861328594812E12	3.4450513896194165E12
2.8135947629039507E12	3.4575578725873877E12
2.798273568326803E12	3.4699972140130044E12
2.782898033867676E12	3.482369171307735E12
2.767468451507368E12	3.4946735078262E12
2.7519851182613477E12	3.5069099923665107E12
2.736448337169958E12	3.519078397530482E12
2.720858416927947E12	3.531178497392123E12
2.705215670246437E12	3.54321006512626E12
2.689520411406164E12	3.5551728712674673E12
2.67377295369299E12	3.567066683082187E12
2.657973607420473E12	3.5788912652096895E12
2.6421226790665156E12	3.5906463813829883E12
2.626220471745776E12	3.602331796755275E12
2.610267286880907E12	3.613947280201404E12
2.594263426622056E12	3.625492605973889E12
2.578209196356149E12	3.6369675542521816E12
2.562104906605081E12	3.648371910421199E12
2.5459508737735205E12	3.6597054632721216E12
2.5297474195238965E12	3.6709680026233374E12
2.5134948689479844E12	3.6821593170354443E12
2.497193548054438E12	3.6932791922650894E12
2.480843781273592E12	3.704327410880342E12
2.4644458896628325E12	3.7153037531343213E12
2.4480001902921357E12	3.726207998846499E12
2.431506996962642E12	3.7370399297783926E12
2.4149666220652534E12	3.747799331869528E12
2.3983793790819204E12	3.75848599672469E12
2.381745585044383E12	3.7690997219353755E12
2.365065562263019E12	3.7796403101344683E12
2.348339638828271E12	3.79010756703873E12
2.3315681477369043E12	3.800501299035548E12
2.314751424896298E12	3.810821310997727E12
2.2978898065702783E12	3.821067404932886E12
2.2809836269754204E12	3.8312393798340547E12
2.264033216680379E12	3.841337032759995E12
2.2470389022323706E12	3.8513601608468535E12
2.2300010071115566E12	3.861308563710481E12
2.212919853758936E12	3.8711820455876567E12
2.1957957661295007E12	3.8809804166303086E12
2.1786290720693918E12	3.8907034929860405E12
2.161420104844931E12	3.900351095628473E12
2.1441692033850752E12	3.9099230482640566E12
2.1268767111693235E12	3.9194191749075317E12
2.109542974079322E12	3.9288392978101943E12
