Charon X	Charon Y
1.613173953965345E12	-4.740119467346124E12
1.6320869897922705E12	-4.737908010374924E12
1.6510185092366978E12	-4.735576967180574E12
1.6698858559140095E12	-4.733235875644956E12
1.6887728550462688E12	-4.73077588115832E12
1.7075937531409883E12	-4.72830582542898E12
1.7264353654654387E12	-4.725717696927575E12
1.7452090693327588E12	-4.723119351704634E12
1.7640044382431172E12	-4.720403909505298E12
1.782730215878718E12	-4.71767795387037E12
1.8014784948238787E12	-4.714836021006058E12
1.820155627712636E12	-4.711983138490011E12
1.8388559803642957E12	-4.709015540416543E12
1.857483763320762E12	-4.706036419098766E12
1.876135363730483E12	-4.702943983422607E12
1.8947131047156313E12	-4.699839316037098E12
1.9133151374672617E12	-4.69662287226957E12
1.93184215738396E12	-4.693393356330889E12
1.9503938177159153E12	-4.690053735653014E12
1.9688694501728215E12	-4.68670007357578E12
1.9873699440824534E12	-4.68323810861016E12
2.0057935351273223E12	-4.67976100782563E12
2.0242420794398098E12	-4.676177532401247E12
2.042612987255698E12	-4.672577705447629E12
2.0610088096680732E12	-4.668873554347656E12
2.0793264042434448E12	-4.665151718929165E12
2.0976687433412605E12	-4.661327727609866E12
2.1159324061119832E12	-4.657484606615414E12
2.1342205113712676E12	-4.653541610888478E12
2.1524296348548499E12	-4.649577932357516E12
2.1706627666409805E12	-4.645516768047947E12
2.1888167540667803E12	-4.641433265096987E12
2.2069941836346523E12	-4.637254767661866E12
2.22509244858812E12	-4.633052178369642E12
2.243213458101899E12	-4.62875718250749E12
2.2612554241859272E12	-4.624436249778096E12
2.279319306755241E12	-4.620025589025147E12
2.297304407278823E12	-4.615587060426186E12
2.3153104670229995E12	-4.611061566768177E12
2.333238144718927E12	-4.606506194375551E12
2.3511856968515044E12	-4.601866697870371E12
2.369055403614525E12	-4.597195238122048E12
2.386943774550609E12	-4.592442566553282E12
2.4047549712057764E12	-4.587655780108599E12
2.4225834986796787E12	-4.582790758679384E12
2.440335654760634E12	-4.577889410303526E12
2.458103687955873E12	-4.572912861357123E12
2.4757962815031304E12	-4.56789771982315E12
2.493503181186292E12	-4.562810462605233E12
2.5111356985473657E12	-4.557682300614535E12
2.528780837195727E12	-4.552485151069952E12
2.546352772837687E12	-4.547244745179255E12
2.563935534762885E12	-4.54193851578636E12
2.5814463910809053E12	-4.536586646352084E12
2.5989661725453965E12	-4.531172145967744E12
2.61641545967251E12	-4.525709597096153E12
2.6338716689936123E12	-4.520187630840146E12
2.6512589046149224E12	-4.514615190332682E12
2.668650962249847E12	-4.508986559489884E12
2.685975671410465E12	-4.503305018788012E12
2.7033030100393467E12	-4.497570520716062E12
2.7205647249479062E12	-4.491780674854651E12
2.737826789537376E12	-4.485941102908482E12
2.755025049373421E12	-4.480043750444246E12
2.7722212972222554E12	-4.474099893920473E12
2.7893556479474272E12	-4.468095836856358E12
2.8064855487198335E12	-4.46204848094446E12
2.8235555428831484E12	-4.455938524641523E12
