Mimas X	Mimas Y
8.3343299472043295E9	-1.5043943999895625E12
4.1240665779597206E10	-1.5038963885953E12
7.413648223724744E10	-1.5026547692569275E12
1.0700001646558498E11	-1.500672644653825E12
1.3980456887029813E11	-1.4979518200798977E12
1.7252820527139264E11	-1.4944903282234006E12
2.0515022286171472E11	-1.4902879696247214E12
2.376478346131911E11	-1.4853394709503167E12
2.7000425844373688E11	-1.4796402023222285E12
3.0220221252740796E11	-1.473188981376011E12
3.342281972378833E11	-1.465981417494391E12
3.660729280680421E11	-1.4580165806893674E12
3.9772399695880255E11	-1.4492949091117588E12
4.2917247275524023E11	-1.4398187970131387E12
4.6040944122990436E11	-1.4295956020988447E12
4.914250740144965E11	-1.4186318166062144E12
5.222089048013465E11	-1.4069369375242168E12
5.527453442600824E11	-1.394521862795319E12
5.830198666005438E11	-1.3813981719662493E12
6.130149202257183E11	-1.3675792348513923E12
6.427100628647952E11	-1.3530737068943015E12
6.720851971026862E11	-1.3378915815067908E12
7.011152301825839E11	-1.322042216971958E12
7.297790652384055E11	-1.3055304987975579E12
7.580567156379054E11	-1.2883628202811182E12
7.85925185255423E11	-1.270540835204774E12
8.133675676846603E11	-1.2520661074640974E12
8.403671210847535E11	-1.2329434066786396E12
8.669103006603113E11	-1.21317355186722E12
8.929881896600074E11	-1.1927602399147861E12
9.185892613196688E11	-1.171708963600236E12
9.437061280027415E11	-1.1500266728242146E12
9.683324486683086E11	-1.1277250876284028E12
9.924608991151295E11	-1.104815198476299E12
1.0160841332322197E12	-1.0813113464049202E12
1.0391903517591991E12	-1.0572301522411365E12
1.0617691324651595E12	-1.0325888244283857E12
1.0838072461681383E12	-1.007406801952094E12
1.105287718409413E12	-9.816994689228334E11
1.1261941222949727E12	-9.554838093651604E11
1.1465050605789207E12	-9.287768405562129E11
1.166202211800526E12	-9.015905179238577E11
1.1852681959837793E12	-8.739381464473517E11
1.2036817681452095E12	-8.458287438932343E11
1.2214277705278162E12	-8.172704382255272E11
1.2384917351005286E12	-7.882742025468068E11
1.254861627940293E12	-7.588463562237095E11
1.2705303738131917E12	-7.289954714222821E11
1.285488898236024E12	-6.987321773628401E11
1.2997328789414392E12	-6.680678324692113E11
1.313259951010516E12	-6.370181800760023E11
1.326066806903543E12	-6.055983456568646E11
1.3381509222615957E12	-5.738270179021304E11
1.349506198530373E12	-5.4172580540310846E11
1.3601282967697239E12	-5.0931672391791205E11
1.3700104194781562E12	-4.7662441903237274E11
1.3791414586413208E12	-4.4367025742543414E11
1.387511241166005E12	-4.1047742729142834E11
1.395104839777983E12	-3.770697368809097E11
1.4019094477445935E12	-3.4346549824485596E11
1.407913073882003E12	-3.096843054824411E11
1.4130992316487515E12	-2.757420447805677E11
1.417457432294921E12	-2.4165286701198898E11
1.420978301274339E12	-2.074333001080772E11
1.423654032163889E12	-1.7309467912893472E11
1.425482069085011E12	-1.3864989578181622E11
1.4264585551996033E12	-1.0411400347145E11
1.4265848237220142E12	-6.950188189011998E10
1.4258650098300754E12	-3.483221801048858E10
1.4243023780722773E12	-1.2315628040515876E8
1.421901923661141E12	3.460359765311621E10
1.4186661046962004E12	6.932302504785112E10
1.414599454756826E12	1.0401006156493245E11
1.4097045258028887E12	1.3863668687275842E11
1.403979240607662E12	1.7317737242714505E11
1.3974229939115002E12	2.0760473053997385E11
1.3900307232919763E12	2.418902792515603E11
1.3817984588736387E12	2.7601139400254266E11
1.372723003216437E12	3.099442256784822E11
1.3627961573214553E12	3.4366806419722723E11
1.3520155050360623E12	3.771648859143575E11
1.3403799967371116E12	4.104148684265503E11
1.3278891414348901E12	4.43403893450548E11
1.3145479008630022E12	4.761170627630649E11
1.3003606063264355E12	5.085374965603787E11
1.285336983274649E12	5.406496203285013E11
1.2694901723940017E12	5.724348149329325E11
1.2528325494034902E12	6.038750768043314E11
1.2353791685883396E12	6.349491399906742E11
1.217143578975943E12	6.656323923961993E11
1.198141614796467E12	6.959007055395734E11
1.1783876156960227E12	7.25726826378891E11
1.1578911637768633E12	7.550853200020466E11
1.1366638508934187E12	7.839490699890603E11
1.1147131097160518E12	8.122895892602766E11
1.0920463282825194E12	8.400845269898229E11
1.0686715713159807E12	8.673104008658104E11
1.0445915099880745E12	8.939463611679639E11
1.0198140723940627E12	9.19975302433E11
9.943485391287445E11	9.453789984211436E11
9.682035629644961E11	9.701453225926051E11
9.413932118610624E11	9.942623006512225E11
9.13931405248945E11	1.0177163751947958E12
8.858372370757803E11	1.0404965942508452E12
8.57133528273693E11	1.0625898893744824E12
8.278422891193312E11	1.0839839670396395E12
7.979889775267313E11	1.1046638720972234E12
7.675983925040862E11	1.1246115606110605E12
7.36697519596699E11	1.1438101383322588E12
7.053122626566826E11	1.1622395181042576E12
6.73463667888626E11	1.1798808226622727E12
6.411751595026951E11	1.1967138967342563E12
6.08466126275421E11	1.212716989235864E12
5.753545841173375E11	1.227874617036228E12
5.418590331981151E11	1.2421702267203347E12
5.079920801086084E11	1.255589361155089E12
4.7377070183502576E11	1.2681223183655425E12
4.3921281118714307E11	1.2797588738660667E12
4.0433424368232214E11	1.2904950852916533E12
3.691559065351162E11	1.3003280373440027E12
3.336986769912302E11	1.309253715132043E12
2.979878710311573E11	1.317271942872058E12
2.6205240378880963E11	1.3243812865580122E12
2.25920139126586E11	1.3305812108402458E12
1.8962284628379517E11	1.3358692082022556E12
1.5319211840208936E11	1.3402400319118975E12
1.1666132545706584E11	1.34369012800852E12
8.006299197200977E10	1.3462126235295745E12
4.34246690547372E10	1.347801174692081E12
6.776417593835469E9	1.3484485046047031E12
-2.9855803873904175E10	1.3481454169472686E12
-6.644888707521704E10	1.3468886941053948E12
-1.0297953683118498E11	1.344673885508595E12
-1.394308701594816E11	1.3414978956306807E12
-1.757829082930502E11	1.337363059135896E12
-2.120154270584067E11	1.3322714465904138E12
-2.4811186539540054E11	1.3262311082521333E12
-2.8405121389963116E11	1.319251757146479E12
-3.1981263788549695E11	1.3113422859619197E12
-3.553720222056417E11	1.3025162873861567E12
-3.907020467521492E11	1.2927866629671106E12
-4.257768040045109E11	1.2821670423978167E12
-4.60566241584877E11	1.2706696678861443E12
-4.950401925490875E11	1.258304233522259E12
-5.2916734132669604E11	1.2450823350002207E12
-5.629169047312423E11	1.2310118720842053E12
-5.962630714089707E11	1.2161003744264968E12
-6.291774733409615E11	1.2003546049903286E12
-6.616358662894626E11	1.183778741688289E12
-6.936181995874155E11	1.166382163046504E12
-7.251043641570852E11	1.1481725073752324E12
-7.560810266467405E11	1.1291576986233374E12
-7.865330842560056E11	1.109351319502121E12
-8.164458620294419E11	1.0887664730277698E12
-8.458097542285228E11	1.0674214188771342E12
-8.746112919385383E11	1.0453363493907522E12
-9.028373774208834E11	1.0225306618093477E12
-9.304728758925525E11	9.990288711503837E11
-9.574998178765499E11	9.748549794340901E11
-9.839018110383297E11	9.500333272893384E11
-1.0096580870134908E12	9.245872945623722E11
-1.034747451936388E12	8.985377483771818E11
-1.0591480278047812E12	8.719073639147708E11
-1.0828379019299766E12	8.447145986045199E11
-1.1057997310978516E12	8.169765383590579E11
-1.1280134181116575E12	7.887095329150344E11
-1.1494627281668308E12	7.599265113705476E11
-1.1701365131325156E12	7.30644450994555E11
-1.1900233033923167E12	7.008779415783427E11
-1.209118335176723E12	6.706406537427515E11
-1.2274162521981003E12	6.399517988222822E11
-1.2449125006348887E12	6.088296189867362E11
-1.261608534518604E12	5.772963703671847E11
-1.2775023595496746E12	5.453763856719578E11
-1.2925923663899673E12	5.130930975477422E11
-1.3068760527256816E12	4.804751984240776E11
-1.3203482379798242E12	4.4755092996122815E11
-1.3330051846925996E12	4.143484281291519E11
-1.344838450664093E12	3.808954036086911E11
-1.3558387242228755E12	3.472171138496681E11
-1.3659962586386912E12	3.1334045164197296E11
-1.3753003223382375E12	2.792877080708399E11
-1.3837439886672764E12	2.4507897279480383E11
-1.3913172009054375E12	2.1073376042691495E11
-1.3980131387609238E12	1.7626735457944632E11
-1.4038304867804204E12	1.416978904499631E11
-1.4087669454353013E12	1.0704061542976485E11
-1.4128264861871304E12	7.230874949442395E10
-1.4160134231434097E12	3.752085250670036E10
-1.4183329559302666E12	2.6939570641508827E9
-1.419796811650667E12	-3.2152071943230263E10
-1.420413499797011E12	-6.699509105372702E10
-1.420191888371462E12	-1.0181387916417883E11
-1.4191409778236477E12	-1.3658193637382796E11
-1.4172671060238745E12	-1.7127311898099356E11
-1.4145777540735337E12	-2.0586163254607776E11
-1.411075439612192E12	-2.403214014737415E11
-1.4067613892077046E12	-2.7462856672281458E11
-1.4016364977646787E12	-3.0875772412237396E11
-1.39569959447768E12	-3.426881700165428E11
-1.3889523812298757E12	-3.76401900700087E11
-1.3813930769388337E12	-4.0988112027187274E11
-1.3730223603254226E12	-4.4311284882666266E11
-1.3638464862837356E12	-4.7608237459838696E11
-1.3538699136604658E12	-5.087780809198333E11
-1.3431027615679783E12	-5.411912264895629E11
-1.3315563916453545E12	-5.733079792359376E11
-1.3192429412093535E12	-6.051164842966569E11
-1.3061813276250833E12	-6.366031550651587E11
-1.2923875510960825E12	-6.677517763425259E11
-1.277877972933325E12	-6.985469677615625E11
-1.2626701561167402E12	-7.289680979788375E11
-1.2467789944540637E12	-7.589946515418109E11
-1.230220208949499E12	-7.886064915837198E11
-1.213004519949263E12	-8.177822578643016E11
-1.1951410439066775E12	-8.465024043285637E11
-1.1766386637621597E12	-8.74745803882638E11
-1.1575030393305264E12	-9.02495756492648E11
-1.137741755475795E12	-9.297384259386124E11
-1.1173586696527156E12	-9.564596097380614E11
-1.0963591609571345E12	-9.826503216580181E11
-1.0747540057200403E12	-1.0083007852349878E12
-1.0525512606104883E12	-1.0334042630754948E12
-1.0297639192317035E12	-1.0579575662280156E12
-1.0064070295126862E12	-1.081952712958605E12
-9.82496151939966E11	-1.1053841517504246E12
-9.580536435602384E11	-1.128245635552802E12
-9.33099308855328E11	-1.1505279158807004E12
-9.076534339169357E11	-1.1722225209479858E12
-8.817385528344683E11	-1.1933159370483862E12
-8.553745729772665E11	-1.2137945317628022E12
-8.285820191316395E11	-1.2336449479418857E12
-8.013766707865802E11	-1.2528516654638008E12
-7.737725868590896E11	-1.2714005663027954E12
-7.457837288178921E11	-1.2892759009385186E12
-7.174198479282493E11	-1.3064658665684387E12
-6.886917784023766E11	-1.3229614571896724E12
-6.596066055298295E11	-1.3387526827395425E12
-6.301720181045242E11	-1.3538350373838943E12
-6.004007407497324E11	-1.36820408323525E12
-5.703019649622257E11	-1.3818581343060918E12
-5.398890933856137E11	-1.3947995962228647E12
-5.0917837136633844E11	-1.4070265283530713E12
-4.7818618576465826E11	-1.418539813420788E12
-4.469355772100446E11	-1.4293406426641382E12
-4.1544756948580145E11	-1.4394268566444365E12
-3.837438523939467E11	-1.4487970808030127E12
-3.5184939853860223E11	-1.4574452990375781E12
-3.1978664507457605E11	-1.4653651264240925E12
-2.8757854206740985E11	-1.4725503215764365E12
-2.5524386636910086E11	-1.4789915518227314E12
-2.227996945244892E11	-1.4846805238485159E12
-1.9026317776469702E11	-1.4896072797085298E12
-1.576463973594355E11	-1.4937650968742148E12
-1.2496185832468298E11	-1.4971498524860513E12
-9.221846400130511E10	-1.4997558078497788E12
-5.942474224976484E10	-1.5015828638538513E12
-2.6593773835308815E10	-1.5026317147881821E12
6.265653306864204E9	-1.502905347934826E12
3.914127713522573E10	-1.5024113092282502E12
7.201731668278531E10	-1.5011533596168647E12
1.0487836492940797E11	-1.4991384603991543E12
1.377026760544112E11	-1.4963748180678604E12
1.7046992435320078E11	-1.4928670244367734E12
2.031588699073686E11	-1.4886206040995894E12
2.357441034097188E11	-1.4836370360388591E12
2.682026382035226E11	-1.477917207113728E12
3.0051095455366614E11	-1.4714619908290027E12
3.326489307846502E11	-1.4642684223069268E12
3.645980104679879E11	-1.4563342744360793E12
3.963393990370944E11	-1.447655645024553E12
4.278600388927132E11	-1.4382310274244905E12
4.5914697200487933E11	-1.4280611933411765E12
4.9019054653075006E11	-1.4171447451135178E12
5.209824989596668E11	-1.405485954720597E12
5.515106565555436E11	-1.3930904834065728E12
5.817677595486698E11	-1.3799656726673438E12
6.117438653197322E11	-1.3661238081568784E12
6.414250173422987E11	-1.3515741106959534E12
6.70798300152362E11	-1.3363292734202456E12
6.998449468817078E11	-1.320404114955706E12
7.285469515220262E11	-1.3038096912566204E12
7.568852507996218E11	-1.2865582527372642E12
7.848358767938557E11	-1.2686587966388506E12
8.12377188536472E11	-1.2501195161764644E12
8.394869253979036E11	-1.230948472462622E12
8.661452592115089E11	-1.2111493072964412E12
8.923337963510013E11	-1.1907262194169692E12
9.180337515710594E11	-1.1696817371349878E12
9.432325575785118E11	-1.1480198086742593E12
9.679181129989202E11	-1.1257463127992444E12
9.920812367991439E11	-1.1028644613940095E12
1.0157152283985413E12	-1.0793830270038751E12
1.0388101965965931E12	-1.0553126022816531E12
1.061361682062527E12	-1.0306647245693337E12
1.0833633864697285E12	-1.0054561899814164E12
