Mercury X	Mercury Y
-5.865107517550976E10	-6.945828511255404E9
4.2979500675254135E10	-4.4247198157205345E10
-5.415357214351844E10	1.1671628984897264E10
3.1001215733885315E10	-5.6478457337340614E10
-4.304996433585759E10	2.8893419345156822E10
1.6685293262616835E10	-6.442984013098883E10
-2.5485759759984436E10	4.179435912040467E10
1.226256704883107E9	-6.796234870667767E10
-3.342425500348546E9	4.714280402889735E10
-1.4322393054443909E10	-6.710666110690712E10
1.9417150862890835E10	4.2916514948738785E10
-2.899240191239075E10	-6.2010426776351006E10
3.810586889068881E10	2.9900940476993343E10
-4.1839551528476746E10	-5.292902764575612E10
4.9640035501691536E10	1.1372372419348959E10
-5.189959066742953E10	-4.0248679483588196E10
5.338853373079331E10	-8.878843615146996E9
-5.816101537887324E10	-2.4557051991920807E10
5.0338402511714455E10	-2.7967683586055412E10
-5.95648020983551E10	-6.753103525808245E9
4.203820089881482E10	-4.413884057334633E10
-5.508613574708098E10	1.176605690445575E10
3.0037505912707123E10	-5.646298196048782E10
-4.3989731603829895E10	2.8885101851498867E10
1.5712144997070436E10	-6.4512235851131615E10
-2.6421303039547882E10	4.1676796766784065E10
2.551801675337008E8	-6.814260157353156E10
-4.26574670950267E9	4.6913708003578865E10
-1.5280127669963434E10	-6.7384851259936134E10
1.8511138097059704E10	4.257371060695387E10
-2.9922006524614674E10	-6.238652508346804E10
3.722711588801215E10	2.944938708943818E10
-4.27273162842018E10	-5.340002290477442E10
4.879804178651938E10	1.0819265775123455E10
-5.273328056833073E10	-4.081059559330666E10
5.259639820775857E10	-9.524977451984587E9
-5.892676513445689E10	-2.5202612832299873E10
4.960655293615834E10	-2.8697387187001133E10
-6.0251935858131096E10	-7.476879080270241E9
4.137640461205466E10	-4.494463994538615E10
-5.5681851701217316E10	1.096776641848294E10
2.9458288356551144E10	-5.733401688093444E10
-4.4484889806338936E10	2.801785109286057E10
1.5225709881109463E10	-6.543501094297137E10
-2.680805338368131E10	4.07508324175195E10
-1.2995271860223258E8	-6.910482211764886E10
-4.542890967703172E9	4.593633465350376E10
-1.5557529149239462E10	-6.8373048128518E10
1.8341806780679916E10	4.155725212300781E10
-3.008777018039561E10	-6.33876506013242E10
3.7160242376004074E10	2.840938472084865E10
-4.277718297684161E10	-5.440153864972646E10
4.883374885811071E10	9.775351424618944E9
-5.266462917211354E10	-4.1798503226445625E10
5.2732259903480354E10	-1.0554275410798794E10
-5.874239127199635E10	-2.616529972974125E10
