Mars X	Mars Y
-2.356585047694652E11	-6.036239991722063E10
-1.9683593240419583E11	-1.3205248246326595E11
-1.3310129872734021E11	-1.8674734701625574E11
-5.094952110426055E10	-2.1514800887564102E11
3.887485118342665E10	-2.1001992819477017E11
1.2182491627001137E11	-1.6882437702110492E11
1.821656033892345E11	-9.637862619972307E10
2.0772889888244E11	-5.359234064036007E9
1.9432277429948444E11	8.69950770350281E10
1.4660152208464078E11	1.64433933044748E11
7.518166691745726E10	2.1586746963295615E11
-7.317343289588271E9	2.3639637181617407E11
-8.906051589033766E10	2.261923454010748E11
-1.6022546005050003E11	1.888556603848106E11
-2.132540567022264E11	1.3012441352458812E11
-2.4274185938909372E11	5.71054346178534E10
-2.4534031454379605E11	-2.209935703079555E10
-2.198618003249182E11	-9.856875091791231E10
-1.6767903557952878E11	-1.627658327994819E11
-9.341459918372043E10	-2.0505863380323105E11
-5.709202329017197E9	-2.169333340581166E11
8.256592938361014E10	-1.9319775673960278E11
1.5575784445737283E11	-1.3483911930830736E11
1.9930327182293103E11	-5.0889093196863785E10
2.0475733422280026E11	4.299083340509537E10
1.726548910287536E11	1.2938567974337724E11
1.1121935716032336E11	1.9438099103318634E11
3.2544353136180305E10	2.3012342249747964E11
-5.091643220249528E10	2.3452512740594742E11
-1.2828913254741724E11	2.0971144541795914E11
-1.909174194767833E11	1.6050728711977487E11
-2.3236750741219385E11	9.34213974061486E10
-2.4829313296172888E11	1.6103791278091139E10
-2.3642688415180795E11	-6.290139506455782E10
-1.9683058370628763E11	-1.3431662860433572E11
-1.3245194192375504E11	-1.884571102462693E11
-4.989946523618611E10	-2.1605862318026166E11
3.996420463477202E10	-2.0998164149246213E11
1.2251286487253256E11	-1.678610765713882E11
1.8203790064724594E11	-9.474340977483974E10
2.0654246602353854E11	-3.500367854901622E9
1.9209516188978226E11	8.857197307200423E10
1.4357778222696237E11	1.6532309187628265E11
7.172080924567198E10	2.158425666122883E11
-1.0849050001148043E10	2.3540170376546542E11
-9.23471243284143E10	2.2429446530572662E11
-1.6301744422009457E11	1.8619663748840607E11
-2.1536532923852298E11	1.2689202638547131E11
-2.440437728695871E11	5.351947316051012E10
-2.4576109156586813E11	-2.5791211604578278E10
-2.1939568971547443E11	-1.0209309243416692E11
-1.6640595280259723E11	-1.6583213971934418E11
-9.152620558167473E10	-2.0738531342051443E11
-3.5271283819258556E9	-2.1830180367328436E11
