Uranus X	Uranus Y
-6.163786972985436E11	2.7467817985833574E12
-6.404583257222408E11	2.740157440759472E12
-6.644884901458627E11	2.733321318547804E12
-6.884672716830737E11	2.726273716109879E12
-7.123927514050886E11	2.7190149352107627E12
-7.362630105922274E11	2.711545295307953E12
-7.600761309775801E11	2.703865133658516E12
-7.838301949886549E11	2.6959748054184067E12
-8.07523285999102E11	2.6878746837559473E12
-8.311534885757468E11	2.6795651599808013E12
-8.547188887239843E11	2.6710466436831167E12
-8.782175741195658E11	2.662319562888354E12
-9.016476343230897E11	2.653384364198123E12
-9.250071609975925E11	2.644241512932577E12
-9.482942481099747E11	2.6348914932901846E12
-9.715069921067045E11	2.625334808488532E12
-9.94643492079495E11	2.6155719808918105E12
-1.01770184991264E12	2.6056035521214155E12
-1.0406801704243843E12	2.5954300831423037E12
-1.0635765615018524E12	2.5850521543467676E12
-1.0863891342100413E12	2.574470365605934E12
-1.1091160029040403E12	2.5636853362785757E12
-1.131755285349647E12	2.5526977052113076E12
-1.154305102839768E12	2.541508130715651E12
-1.1767635803200586E12	2.530117290524777E12
-1.1991288465157993E12	2.518525881734561E12
-1.2213990340702124E12	2.506734620714305E12
-1.2435722797098394E12	2.4947442430227715E12
-1.2656467244111035E12	2.4825555033282407E12
-1.2876205135720564E12	2.470169175309158E12
-1.3094917972033992E12	2.4575860515563853E12
-1.3312587301280085E12	2.4448069434770483E12
-1.3529194721972285E12	2.4318326812062646E12
-1.3744721885081545E12	2.418664113533812E12
-1.3959150496176753E12	2.4053021078178857E12
-1.417246231776152E12	2.391747549904277E12
-1.4384639171658445E12	2.3780013440656104E12
-1.4595662941366965E12	2.3640644129415986E12
-1.480551557442977E12	2.3499376974857476E12
-1.5014179084751548E12	2.335622156906095E12
-1.5221635555044346E12	2.3211187686071343E12
-1.5427867139311655E12	2.306428528154118E12
-1.5632856065164768E12	2.291552449229734E12
-1.5836584636198003E12	2.27649156358312E12
-1.6039035234382397E12	2.261246920985929E12
-1.6240190322463667E12	2.2458195891856616E12
-1.644003244640239E12	2.230210653870505E12
-1.663854423763344E12	2.214421218628476E12
-1.683570841536002E12	2.1984524048863174E12
-1.7031507788992861E12	2.182305351863917E12
-1.7225925260465889E12	2.1659812165304968E12
-1.7418943826534854E12	2.149481173549963E12
-1.7610546581064531E12	2.1328064152279958E12
-1.7800716717270269E12	2.1159581514446604E12
-1.798943753012386E12	2.098937609594396E12
-1.8176692418639055E12	2.0817460345360537E12
-1.8362464888016396E12	2.0643846885188726E12
-1.854673855193657E12	2.0468548511059963E12
-1.8729497134829387E12	2.0291578191035825E12
-1.891072447414145E12	2.0112949064835835E12
-1.9090404522585376E12	1.9932674443117842E12
-1.9268521350246646E12	1.9750767806595881E12
