Pluto X	Pluto Y
1.613162768959351E12	-4.740134809712552E12
1.6320983790406086E12	-4.737892742491909E12
1.6510068696590933E12	-4.735592242957834E12
1.6698976873715906E12	-4.733220695344058E12
1.688760791715556E12	-4.730791049882225E12
1.707605995094822E12	-4.728290773374212E12
1.726422910321552E12	-4.725732718410446E12
1.745221688969828E12	-4.723104468207615E12
1.7639916242648926E12	-4.720418743939796E12
1.7827431793770227E12	-4.717663278780024E12
1.8014653559429976E12	-4.714850629066984E12
1.8201689003351372E12	-4.71196871108387E12
1.8388425513809465E12	-4.709029883364692E12
1.857497309509096E12	-4.706022277974209E12
1.876121680223025E12	-4.702958023205203E12
1.8947268881902136E12	-4.69982549900766E12
1.9133012356997825E12	-4.696636571618975E12
1.931856141243048E12	-4.693379900322863E12
1.9503797345455337E12	-4.690067058185347E12
1.9688835969943562E12	-4.686687014529499E12
1.987355716863039E12	-4.683251018919391E12
2.005807807070993E12	-4.679748380597906E12
2.0242277459259954E12	-4.676189996154263E12
2.042627346166601E12	-4.672565543720041E12
2.0609944079165188E12	-4.66888553837294E12
2.07934081175548E12	-4.665140055117348E12
2.0976543116120623E12	-4.661339199989609E12
2.1159468237518237E12	-4.657473471782074E12
2.134206088027228E12	-4.653552541042775E12
2.1524440241460715E12	-4.649567356132199E12
2.1706483900467815E12	-4.645527126816468E12
2.1888310766333687E12	-4.641423275597666E12
2.206979892055374E12	-4.63726452738514E12
2.225106666257193E12	-4.63304280213035E12
2.243199289601388E12	-4.62876631710173E12
2.2612694990900034E12	-4.624427511678542E12
2.2793052990946763E12	-4.620034074054038E12
2.29731830195568E12	-4.615578983631222E12
2.315296657560419E12	-4.611069379508472E12
2.333251822210613E12	-4.606498800275497E12
2.3511721224402065E12	-4.601873817379629E12
2.3690688275657656E12	-4.597188546275499E12
2.38693047144049E12	-4.592448973725546E12
2.4047681059574683E12	-4.587649808198637E12
2.4225705024184653E12	-4.582796436300891E12
2.4403484654439536E12	-4.577884174090837E12
2.45809103329277E12	-4.572917794154352E12
2.475808734130504E12	-4.567893233106914E12
2.4934909019754683E12	-4.56281463729226E12
2.511147760100082E12	-4.557678575199863E12
2.528768966304561E12	-4.552488556384505E12
2.5463644113497905E12	-4.547241790851298E12
2.5639241039826523E12	-4.54194114252112E12
2.58145757572272E12	-4.53658447085055E12
2.5989552125005576E12	-4.531173987003192E12
2.6164261608295356E12	-4.525708206097817E12
2.6338612090595024E12	-4.520188681162043E12
2.6512690939610884E12	-4.514614587442696E12
2.6686410304723135E12	-4.508986816203732E12
2.685985321981395E12	-4.503305205530737E12
2.7032936330537524E12	-4.49756998306191E12
2.720573811212316E12	-4.491781650667602E12
2.7378179924939736E12	-4.485939772265138E12
2.755033547295422E12	-4.480045512685187E12
2.772213103718647E12	-4.474097773799791E12
2.7893635350475854E12	-4.468098380811433E12
2.8064779807353267E12	-4.462045576983152E12
2.8235627982950815E12	-4.455941843539209E12
2.840611656463043E12	-4.449784770323965E12
2.857630379701977E12	-4.443577488487933E12
2.8746131825557363E12	-4.437316941386616E12
2.8915653405827227E12	-4.431006902265108E12
2.908481629209723E12	-4.424643676642623E12
2.925366760706794E12	-4.418231670316839E12
2.9422160849692993E12	-4.411766561321577E12
2.959033738096271E12	-4.405253376778648E12
2.9758156565144077E12	-4.398687179254874E12
2.992565388812248E12	-4.3920736043119565E12
3.009279468452198E12	-4.385407112709457E12
3.0259608467404326E12	-4.378693933943069E12
3.0426066630948335E12	-4.371927942222919E12
3.0592192633661855E12	-4.365115944889306E12
3.0757964002389956E12	-4.3582512464257637E12
3.092339807551949E12	-4.3513412143870703E12
3.108847856938075E12	-4.3443786018671436E12
3.1253216653043784E12	-4.3373713175105806E12
3.141760227272377E12	-4.330311582828138E12
3.1581640395470054E12	-4.323207826988496E12
3.174532722121053E12	-4.3160517611398286E12
3.1908661498853496E12	-4.3088523130188438E12
3.207164568928741E12	-4.301600705991224E12
3.2234272323780576E12	-4.294306343078337E12
3.239655011478234E12	-4.286959983741794E12
3.2558465393032383E12	-4.279571481734899E12
3.2720033096572563E12	-4.272131157726298E12
3.288123338930855E12	-4.26464929045009E12
3.304208739236542E12	-4.2571157880621597E12
3.320256915297888E12	-4.2495413273906606E12
3.336270591644567E12	-4.241915431455234E12
3.352246567986265E12	-4.2342491472310586E12
3.3681881737534663E12	-4.2265316410046274E12
3.38409161191088E12	-4.218774300963707E12
3.3999608076673286E12	-4.210965966011452E12
3.4157913771103774E12	-4.2031183357035933E12
3.431587830523778E12	-4.1952199517840654E12
3.447345208555082E12	-4.1872827945016294E12
3.4630685943067954E12	-4.1792951394539976E12
3.478752465961846E12	-4.171269216159494E12
3.4944024656702905E12	-4.1631930657913086E12
3.51001252362969E12	-4.1550791350517373E12
3.525588825782086E12	-4.146915263034104E12
3.5411247702864756E12	-4.1387140809584146E12
3.5566270701818276E12	-4.1304632587224863E12
3.57208860896112E12	-4.122175578908251E12
3.5875166086658164E12	-4.113838575554555E12
3.6029034568728804E12	-4.10546514904494E12
3.6182568651845786E12	-4.097042731257972E12
3.63356874534177E12	-4.0885843065084824E12
3.6488472777674062E12	-4.0800772384882866E12
3.664083919718441E12	-4.0715345613500903E12
3.6792872984569316E12	-4.06294360475515E12
3.6944484393262397E12	-4.054317418471046E12
3.709576393261306E12	-4.0456433323801445E12
3.7246617774154126E12	-4.036934377602678E12
3.739714042104865E12	-4.0281779184933037E12
3.7547234211084097E12	-4.019386933314561E12
3.769699738772075E12	-4.010548855056775E12
3.7846328713370938E12	-4.001676575056894E12
3.799532990830837E12	-3.992757628921411E12
3.814389642747404E12	-3.983804787223912E12
3.829213319522209E12	-3.974805721895256E12
3.8439932635722837E12	-3.9657730492296924E12
3.858740259610185E12	-3.956694610823868E12
3.873443275452082E12	-3.9475828355822007E12
3.88811335917776E12	-3.9384257676522593E12
3.9027392332098345E12	-3.92923561593355E12
3.917332179380824E12	-3.9200006594638877E12
3.9318807045794727E12	-3.91073285510011E12
3.94639629415587E12	-3.901420748475484E12
3.9608672699011978E12	-3.8920760130318833E12
3.9753052899072236E12	-3.8826874919863184E12
3.989698521798488E12	-3.873266544739197E12
4.004058765176975E12	-3.863802342278116E12
4.0183740648495273E12	-3.854305900165485E12
4.032656330326767E12	-3.844766746469312E12
4.046893515278996E12	-3.835195524027744E12
4.061097607238426E12	-3.825582146341696E12
4.0752565006727124E12	-3.8159368556282974E12
4.0893822290500957E12	-3.8062499781459478E12
4.1034626597348345E12	-3.796531328661173E12
4.117509839930155E12	-3.7867716724120024E12
4.131511642077587E12	-3.776980371021491E12
4.145480094888145E12	-3.767148653762853E12
4.159403108055123E12	-3.7572854046316675E12
4.1732926596254194E12	-3.7473823407562744E12
4.187136728626422E12	-3.7374478452935874E12
4.200947210411941E12	-3.72747414574915E12
4.2147121852481836E12	-3.7174691025677056E12
4.2284434339911714E12	-3.7074254747961606E12
4.242129169784468E12	-3.6973505796863457E12
4.255781027493383E12	-3.687237727574371E12
4.2693873844287393E12	-3.677093673488701E12
4.2829596983646357E12	-3.6669122973356562E12
4.296486541633867E12	-3.65669977438715E12
4.3099791642938145E12	-3.64645057088287E12
4.323426364039564E12	-3.6361702663493213E12
4.3368391531429346E12	-3.625853928562217E12
4.3502065844014165E12	-3.61550652690093E12
4.3635394028684775E12	-3.605123744273872E12
4.3768269455080273E12	-3.5947099271359014E12
4.3900796614379844E12	-3.584261385486424E12
4.403287200097002E12	-3.573781831737283E12
4.416459686739258E12	-3.5632682132636904E12
4.429587110756619E12	-3.5527235990024033E12
4.442679246478718E12	-3.542145582289562E12
4.455726449824276E12	-3.5315365808689844E12
4.468738118073038E12	-3.5208948408995244E12
4.48170499927035E12	-3.510222122943641E12
4.4946360885282295E12	-3.499517331104903E12
4.507522550577758E12	-3.488781564524528E12
4.520372954316138E12	-3.478014388619741E12
4.533178904611637E12	-3.467216238626797E12
4.54594852123763E12	-3.456387342881745E12
4.55867387148188E12	-3.4455274719993457E12
4.571362604283898E12	-3.4346375170709424E12
4.584007270400868E12	-3.4237165851421865E12
4.59661502748652E12	-3.4127662281243457E12
4.609178929532561E12	-3.4017848923137236E12
4.621705623766436E12	-3.3907747867446772E12
4.634188685840987E12	-3.379733701539626E12
4.646634234777168E12	-3.368664497406759E12
4.65903638492937E12	-3.357564314614558E12
4.671400710743769E12	-3.3464366583570347E12
4.683721880882436E12	-3.335278027099265E12
4.696004910299196E12	-3.3240925616132246E12
4.708245036098746E12	-3.312876128314925E12
4.720446700318123E12	-3.301633492953331E12
4.7326057211279E12	-3.2903599013317817E12
4.744725955751374E12	-3.279060731907288E12
4.75680381450241E12	-3.267730622956194E12
4.768842559455124E12	-3.2563755517400225E12
4.780839202570905E12	-3.2449895637107427E12
4.792796402025819E12	-3.233579219433319E12
4.804711779331876E12	-3.222137987813609E12
4.816587381629963E12	-3.210672995662209E12
4.828421446267482E12	-3.1991771531504556E12
4.840215403842542E12	-3.1876581347676045E12
4.851968112182814E12	-3.176108311247697E12
4.863680381482695E12	-3.1645358847273145E12
4.875351693045464E12	-3.1529327072368486E12
4.886982234457747E12	-3.141307487120955E12
4.898572111834908E12	-3.129651579819314E12
4.910120889611524E12	-3.1179741770942964E12
4.921629298392712E12	-3.1062661612267607E12
4.933096280582053E12	-3.094537183317105E12
4.944523189289453E12	-3.082777677179469E12
4.955908347668817E12	-3.0709977279445933E12
4.967253727695833E12	-3.0591873468437446E12
4.978557037710636E12	-3.0473570265726147E12
4.989820863271852E12	-3.0354963827879307E12
5.001042303981891E12	-3.02361628819762E12
5.012224552068259E12	-3.01170599094289E12
5.023364106100278E12	-2.999776715176711E12
5.034464756448637E12	-2.987817370563329E12
5.045522409958942E12	-2.9758395031961636E12
5.056541445028826E12	-2.963831714200995E12
5.067517187670657E12	-2.951805841248141E12
5.078454592633682E12	-2.939750207684691E12
5.089348417537911E12	-2.9276769116192646E12
5.100204180275252E12	-2.915574030119511E12
