Io X	Io Y
-5.3501182202108795E11	5.85536023689734E11
-5.701246290185638E11	5.545535190616896E11
-6.017575451104886E11	5.2227271001346765E11
-6.32998953608927E11	4.881163680356172E11
-6.605436147249584E11	4.518773489780394E11
-6.871268267429852E11	4.151521091608506E11
-7.106801083522224E11	3.756093554541053E11
-7.319064306541355E11	3.364097634723851E11
-7.514458262752317E11	2.946700501417443E11
-7.672384503751438E11	2.5284744455405347E11
-7.821064304501719E11	2.1013003011472952E11
-7.931369102504019E11	1.6595072450209665E11
-8.021692381650269E11	1.226539580309968E11
-8.090265968600525E11	7.75124259381423E10
-8.120598839685217E11	3.303190878889381E10
-8.140373451491615E11	-1.161021450595903E10
-8.121381174833885E11	-5.706935831183928E10
-8.082027472664451E11	-1.0094346886540706E11
-8.022277650526265E11	-1.4585523264173505E11
-7.924103958073054E11	-1.8968429901927682E11
-7.814340169587401E11	-2.3239254207138766E11
-7.673239801013452E11	-2.7567040516968823E11
-7.503276722140758E11	-3.166894275156452E11
-7.322143074494178E11	-3.5740991031537E11
-7.104014244629846E11	-3.974253038945914E11
-6.87067110169707E11	-4.349001194224607E11
-6.61825339114464E11	-4.7247582403721063E11
-6.333714867063308E11	-5.0744598236211554E11
-6.04397963484522E11	-5.4104079192808307E11
-5.720930963229824E11	-5.735483928953009E11
-5.386099253524624E11	-6.028591079481464E11
-5.0366724761973047E11	-6.317122125677513E11
-4.659519697181326E11	-6.574850812007534E11
-4.2827047170528296E11	-6.813393932739801E11
-3.8772553674020593E11	-7.035373171361782E11
-3.4690325653675934E11	-7.221517761656548E11
-3.045855077579954E11	-7.399107384533821E11
-2.6084958907150085E11	-7.536181586742227E11
-2.172026181676373E11	-7.66077868777745E11
-1.7141198305776028E11	-7.751215014692443E11
-1.2666499543293288E11	-7.818182880027007E11
-7.98431842577195E10	-7.859743743830822E11
-3.4374450112879105E10	-7.869236826380637E11
1.2771619251701168E10	-7.857251406167023E11
5.842010106936623E10	-7.809156594717174E11
1.0523127839952075E11	-7.743158393407394E11
1.5053242284401715E11	-7.637290702444073E11
1.9607034896321344E11	-7.518394682481865E11
2.404990118248138E11	-7.35590279893021E11
2.8388800825488947E11	-7.18248925658096E11
3.268818233875833E11	-6.967186188334686E11
3.674976078012861E11	-6.737002762321548E11
4.082351353026882E11	-6.475045927533453E11
4.4582234734154315E11	-6.187748991027202E11
4.8302908907911304E11	-5.884887195854913E11
5.176383889700121E11	-5.545355584110952E11
5.500373539215621E11	-5.199528492173922E11
5.812006790397454E11	-4.8204399686987695E11
6.085938891019905E11	-4.4285683645629803E11
6.351683724187667E11	-4.0192393200957855E11
6.577243716837832E11	-3.586751023748845E11
6.786938030142721E11	-3.151951758116248E11
6.96315451689553E11	-2.689091851393183E11
7.110504924113899E11	-2.2316278356401865E11
7.233456638971667E11	-1.749268747576153E11
7.316603668210522E11	-1.2729195160614001E11
7.382128892028391E11	-7.80642868677258E10
7.401848880464677E11	-2.923818205074083E10
7.406642906074299E11	2.0201984140900887E10
7.363749641528835E11	6.923774785062967E10
7.306301636550962E11	1.1796396923676378E11
7.201584228188058E11	1.6656671831222366E11
7.080994017197753E11	2.1370345444826193E11
6.917545448258223E11	2.6102583532020044E11
6.735516048160775E11	3.059677409642476E11
6.516852158357982E11	3.510720074954545E11
6.276880879229353E11	3.9311914627452527E11
6.007600223410052E11	4.351318971034314E11
5.711181837655516E11	4.736700169683926E11
5.3981809806055286E11	5.116530012062692E11
5.0498263874810364E11	5.465313074145858E11
4.6962067373645703E11	5.795071900509502E11
4.3074460552521185E11	6.104292211153977E11
3.9142648632858795E11	6.379082083162205E11
3.49730717715711E11	6.641752148173124E11
3.067067518297782E11	6.861431244675435E11
2.631130507485723E11	7.067722008426932E11
2.1717097601760266E11	7.236556512435814E11
1.71918648947571E11	7.378038374818899E11
1.2461740743756813E11	7.497824323972861E11
7.753421419359337E10	7.574826358065934E11
3.0430161056583576E10	7.637354900119482E11
-1.7912074417910206E10	7.660454796200642E11
-6.4672827081017746E10	7.655205394322832E11
-1.1247394406603593E11	7.629377505806066E11
-1.5932800476001602E11	7.560681555535409E11
-2.0520168845083188E11	7.47889972353828E11
-2.514940759896662E11	7.359792998298673E11
-2.953204854234893E11	7.215425474395997E11
-3.3942836587167145E11	7.052313388305049E11
-3.816151547103603E11	6.850069418583354E11
-4.222652938009503E11	6.638729939381652E11
-4.624744198451058E11	6.392740774698513E11
-4.995810456692027E11	6.127522295384199E11
-5.3630264728466547E11	5.847892853905687E11
-5.705537748578677E11	5.534559725659238E11
-6.024432842827766E11	5.216558156104841E11
-6.335378438145437E11	4.8728939978274146E11
-6.610625834768268E11	4.510249552912309E11
-6.872686933591115E11	4.1442346399735986E11
-7.113559698050162E11	3.7499563549554596E11
-7.319845898396489E11	3.3529450787889E11
