Saturn X	Saturn Y
8.479750560280134E9	-1.5045054494303674E12
4.1338593243850655E10	-1.5040421613928484E12
7.41751985745683E10	-1.502819140972341E12
1.0697482397137878E11	-1.5008374205856582E12
1.3971919922966635E11	-1.498098701763671E12
1.7239241042811255E11	-1.494602691725826E12
2.0497855707205573E11	-1.49035259994174E12
2.374594623027862E11	-1.4853494086292883E12
2.698204943320585E11	-1.4795950827403804E12
3.020439894724295E11	-1.4730934274664126E12
3.341134774547307E11	-1.4658455913398157E12
3.6601386593123047E11	-1.4578560430283098E12
3.9772694163300775E11	-1.4491279427376455E12
4.292380256831057E11	-1.4396642146340002E12
4.6053035864229016E11	-1.4294705665782148E12
4.915870412970356E11	-1.418549824488056E12
5.2239372276514954E11	-1.406907516213608E12
5.529325624299011E11	-1.3945490250936418E12
5.831887406342599E11	-1.3814783621845828E12
6.131466265580502E11	-1.3677029042230247E12
6.427891476172139E11	-1.3532273994785889E12
6.721025916053704E11	-1.3380583412882422E12
7.010699215596128E11	-1.3222033192094377E12
7.296761777867397E11	-1.305667668284823E12
7.579069858183137E11	-1.2884602313244114E12
7.857454480905505E11	-1.270587922523635E12
8.131783575128088E11	-1.2520582435121865E12
8.401898463126307E11	-1.2328809185830652E12
8.667648769023204E11	-1.2130629101767712E12
8.928903084178326E11	-1.1926143587476094E12
9.185497757654133E11	-1.1715445019497705E12
9.437304058471327E11	-1.149861954397503E12
9.684177335881838E11	-1.127578380119895E12
9.925967684442281E11	-1.1047026107144292E12
1.0162554711677866E12	-1.0812458944962804E12
1.0393783844939004E12	-1.0572197713879526E12
1.0619528655389742E12	-1.0326340729157848E12
1.0839660134836948E12	-1.0075020957134633E12
1.1054031565864736E12	-9.818346968789833E11
1.1262532347525886E12	-9.556440846107378E11
1.1465021213209841E12	-9.289439580841814E11
1.1661374484114236E12	-9.017455207197231E11
1.1851479936527026E12	-8.740633985137479E11
1.203519814098932E12	-8.459105853499431E11
1.2212427475700244E12	-8.173002136495928E11
1.2383044050306018E12	-7.882479318641141E11
1.2546928731745132E12	-7.587665177636505E11
1.2703986515105803E12	-7.288716752832794E11
1.2854090092146848E12	-6.985785723554512E11
1.2997146508470845E12	-6.679013241768285E11
1.3133052578869426E12	-6.368572551015574E11
1.3261696691284248E12	-6.054609079185591E11
1.3383000895176465E12	-5.737288693444866E11
1.3496855062427134E12	-5.416784048834096E11
1.3603175357269055E12	-5.093247248905067E11
1.3701881657117263E12	-4.766865053024166E11
1.3792873897623823E12	-4.437801787610424E11
1.3876090766003599E12	-4.106230776480968E11
1.3951444156976511E12	-3.77234360092014E11
1.4018860802453389E12	-3.436304588818155E11
1.4078285009851235E12	-3.098310532548499E11
1.4129633095755571E12	-2.758544839890865E11
1.4172860101858748E12	-2.417187461886254E11
1.4207904156638657E12	-2.0744456458424878E11
1.4234705100777446E12	-1.730496967207512E11
1.4253232176393943E12	-1.385544816604118E11
1.4263423328381157E12	-1.039790511766969E11
1.4265250132246719E12	-6.934201928012216E10
1.425868019171495E12	-3.466525260020964E10
1.4243670017475005E12	3.2130045406000823E7
1.4220213664554329E12	3.4729447116513405E10
1.4188275875430474E12	6.9405043172423E10
1.414784562809817E12	1.040397150471506E11
1.4098922061341606E12	1.3861094599092462E11
1.4041482696867625E12	1.7309832367526547E11
1.3975545939472344E12	2.0748110551891907E11
1.3901107889773052E12	2.417365283979744E11
1.381817658118692E12	2.7584484788458185E11
1.3726783503997556E12	3.097834210301663E11
1.3626931915642808E12	3.435307451533299E11
1.3518664041598396E12	3.770662642798395E11
1.340201080045518E12	4.103666535331517E11
1.3277001660400833E12	4.434117281866312E11
1.3143700113432146E12	4.761792426129993E11
1.3002139736520347E12	5.0864696049534705E11
1.2852386188188513E12	5.4079473854357574E11
1.269450718048055E12	5.725993328390658E11
1.2528556509515637E12	6.040403051675519E11
1.2354628330604539E12	6.350963045230356E11
1.2172790392351416E12	6.657448717749126E11
1.1983131649175588E12	6.959664990479303E11
1.1785756864393984E12	7.257387193487548E11
1.158074720740621E12	7.550411394191764E11
1.1368225394655322E12	7.838537567981532E11
1.1148295883969778E12	8.121545349580211E11
1.0921071035048827E12	8.399248416324465E11
1.0686691146575234E12	8.671436877426019E11
1.0445267476079504E12	8.937911484270945E11
1.0196948663076768E12	9.198489714758958E11
9.941876612330939E11	9.452962835178416E11
9.680187319635098E11	9.701156046092778E11
9.412053441012615E11	9.942880827461248E11
9.137618154424294E11	1.0177948058854199E12
8.857053040380149E11	1.0406196192543522E12
8.570536078149977E11	1.0627435936578014E12
8.278227023769453E11	1.0841507282108003E12
7.980326299684882E11	1.1048248845131218E12
7.677009414907454E11	1.1247488044960056E12
7.368467708403881E11	1.143908725049348E12
7.054911662633568E11	1.1622884187996155E12
6.73652449957075E11	1.1798737451060608E12
6.41352874549109E11	1.1966517414936917E12
6.08613079344561E11	1.2126074978797454E12
5.754538449340529E11	1.2277298882197446E12
5.418989085554276E11	1.2420060566995122E12
5.0796883256323065E11	1.2554241507215923E12
4.736874458915745E11	1.2679747107822583E12
4.390781215922958E11	1.279645862257415E12
4.04162950576541E11	1.2904293171130405E12
3.6896763099777686E11	1.3003161159691738E12
3.335147485343064E11	1.3092971472105066E12
2.9782904745344E11	1.3173666358427017E12
2.6193607059961346E11	1.3245163571931829E12
2.2585887503433328E11	1.3307410219636309E12
1.896242795803931E11	1.3360359043249048E12
1.5325654140146002E11	1.3403950771461394E12
1.1678067224133894E11	1.3438164867153896E12
8.022363863457648E10	1.346296034816996E12
4.3609106775283264E10	1.347831554085691E12
6.964128281603166E9	1.3484226773617578E12
-2.9685864661846996E10	1.3480670520391948E12
-6.631619202761427E10	1.3467662501301511E12
-1.0289934014456302E11	1.3445205854019487E12
-1.394114112718022E11	1.3413310974640479E12
-1.758259891692811E11	1.3372016871572825E12
-2.1211709751197302E11	1.3321338656450347E12
-2.4826091086826285E11	1.3261326247154277E12
-2.842303070185654E11	1.3192027511895847E12
-3.200015630342655E11	1.3113485334974868E12
-3.5554968360587714E11	1.302577850577923E12
-3.908488832548337E11	1.292896223240526E12
-4.258766210562522E11	1.2823117768201172E12
-4.6060709069450385E11	1.2708335984438992E12
-4.9501718390975946E11	1.258469214047452E12
-5.290839768992119E11	1.2452300261760461E12
-5.627826663517238E11	1.2311255364481558E12
-5.960923299462865E11	1.2161666704468967E12
-6.28989314263529E11	1.2003664242376804E12
-6.614515971120817E11	1.183735483505895E12
