Ceres X	Ceres Y
-2.1498486721201276E11	3.174692025549387E11
-2.660479596871945E11	2.716478021216734E11
-3.090486995557687E11	2.176332395647217E11
-3.426067481620524E11	1.5700244348826608E11
-3.656798656759017E11	9.159602800281198E10
-3.776191395522499E11	2.342660447981625E10
-3.781945657859276E11	-4.54248726414351E10
-3.675892267607286E11	-1.1291305587286348E11
-3.463652825936847E11	-1.7712147552475198E11
-3.1540864898573376E11	-2.3633703591751755E11
-2.7586110534149164E11	-2.8910160509315546E11
-2.2904847448738422E11	-3.342404588190819E11
-1.764119506223627E11	-3.708702830602885E11
-1.1944731222027887E11	-3.983911298738797E11
-5.9654535571524864E10	-4.164672871380343E11
1.5016130281249316E9	-4.250015849563543E11
6.26207257926506E10	-4.2410695904432556E11
1.2238700431691745E11	-4.14078128018706E11
1.7958227975621295E11	-3.9536524456817993E11
2.3309353946808304E11	-3.6855050765625195E11
2.819166468228887E11	-3.343281810707235E11
3.251577145725652E11	-2.934880452825829E11
3.620333639555839E11	-2.4690201751147937E11
3.918708664785361E11	-1.9551351962881796E11
4.14108950540872E11	-1.40329077804818E11
4.282998190261761E11	-8.24115327615761E10
4.3411281364975604E11	-2.2874145135277245E10
4.313400612769311E11	3.71251477566862E10
4.199042694696958E11	9.639014767889993E10
3.998686859924294E11	1.536944246590988E11
3.7144906369598236E11	2.0779200267235672E11
3.350271553373864E11	2.5743182514496097E11
2.9116491149011505E11	3.0137723033742926E11
2.4061809655624847E11	3.384316019671061E11
1.8434739007592322E11	3.674711562737615E11
1.2352438763846237E11	3.8748538694524896E11
5.9529315762807785E10	3.9762485621236774E11
-6.063194851474042E9	3.972546492837316E11
-7.151391334431544E10	3.8601022876145105E11
-1.3496707406311739E11	3.6385051403512634E11
-1.9451757367146826E11	3.311011536092058E11
-2.4829524690893375E11	2.884800256939243E11
-2.9456054984101215E11	2.3709752453964832E11
-3.318024507670276E11	1.7842661751108334E11
-3.588270891146487E11	1.1424183842925601E11
-3.7482584632976337E11	4.653173726568203E10
-3.794140678842289E11	-2.260588664904493E10
-3.726364779953003E11	-9.107368530817017E10
-3.549408342696567E11	-1.5687688090315173E11
-3.2712614620726447E11	-2.1820778382734955E11
-2.9027458040652246E11	-2.7350675409889713E11
-2.456766976784377E11	-3.2149816281131537E11
-1.9475832943797388E11	-3.612035512872439E11
-1.390149699653129E11	-3.9193648460123267E11
-7.995697300801056E10	-4.1328448231628174E11
-1.9066613681489292E10	-4.2508321290292163E11
4.223352858528842E10	-4.273872219196597E11
1.0260240743888034E11	-4.2044038826760126E11
1.607944745086633E11	-4.0464826732465625E11
2.156677262153814E11	-3.805535003850702E11
2.6618765772270044E11	-3.488147800276987E11
3.114287068490172E11	-3.101894744296234E11
3.505744193015692E11	-2.6551967050482135E11
3.8291734523916736E11	-2.1572115419245734E11
4.0785947254510046E11	-1.617748052086208E11
4.249137842775312E11	-1.0471977998696487E11
4.337074016515623E11	-4.564779989722364E10
4.339866687320265E11	1.4302183076753916E10
4.2562439307668384E11	7.394973177906638E10
4.086293131125223E11	1.3207999683417601E11
3.8315772401258527E11	1.8745310402006247E11
3.49526880299216E11	2.3881697803390826E11
3.0822951454701355E11	2.8492483592223975E11
2.5994835746725217E11	3.245585827383458E11
2.0556895536956226E11	3.565592098095924E11
1.4618835628546777E11	3.798649320831811E11
8.311660333120323E10	3.935571491506416E11
1.7867400786341125E10	3.969131122113232E11
-4.786587378669695E10	3.894625789105319E11
-1.1225209769617322E11	3.710438011031377E11
-1.7338400229529007E11	3.4185224733244525E11
-2.2935845150642322E11	3.02473957896524E11
-2.783708674801928E11	2.5389533854626004E11
-3.1881541801649524E11	1.9748309389768335E11
-3.493796242575179E11	1.3493183492490144E11
-3.691212578387936E11	6.818228487273358E10
-3.775173712177131E11	-6.814683633234248E8
-3.7447969739613293E11	-6.954338910558192E10
-3.6033647612424023E11	-1.363623899748203E11
-3.357861863802018E11	-1.9926344434840527E11
-3.018321095424619E11	-2.5660571739350272E11
-2.597077474673566E11	-3.070252137029113E11
-2.1080210157290588E11	-3.494535037879503E11
-1.5659145507144528E11	-3.8311669897024384E11
-9.858149797963667E10	-4.075200750165171E11
-3.826136831389256E10	-4.224237940138999E11
2.2930659389159836E10	-4.2781426287322394E11
8.363124037057434E10	-4.238745871472712E11
1.4256768291590625E11	-4.1095648952500446E11
1.985673195167401E11	-3.8955510497083295E11
2.505623906947089E11	-3.602872730535621E11
2.9759208173713556E11	-3.2387349725053644E11
3.3880303078513806E11	-2.811233809949524E11
3.734493721913959E11	-2.3292412638878232E11
4.008931352358214E11	-1.8023156256128198E11
4.2060565723602875E11	-1.2406309349070886E11
4.3217049927755444E11	-6.54919108811396E10
4.3528825016921686E11	-5.641756724153697E9
4.2978346112384E11	5.431853614207991E10
4.156138115534321E11	1.1318161193976274E11
3.92881465112911E11	1.6971026045588068E11
3.618463632386821E11	2.2264928103679416E11
3.2294083361548486E11	2.7074172171132217E11
2.767844977219588E11	3.1275076566186005E11
2.2419794680757028E11	3.474884115054692E11
1.6621293145605188E11	3.7385175400698914E11
1.0407611117273718E11	3.9086711266994293E11
3.924290481869926E10	3.977412527902041E11
-2.6642318353359047E10	3.939173492675876E11
-9.178316610726581E10	3.7913153225022974E11
-1.5428737642429498E11	3.5346393544351154E11
-2.1224194884120145E11	3.173765773491279E11
-2.6380366631115588E11	2.717300056020867E11
-3.072976992068315E11	2.177719760053123E11
-3.413138264121472E11	1.5709474136381494E11
-3.647884771090468E11	9.15623407563704E10
-3.77062000490002E11	2.3214686959596733E10
-3.779042072825818E11	-4.584066996603339E10
-3.675066457647872E11	-1.135363852808073E11
-3.464453954460598E11	-1.779410451126912E11
-3.156221448954063E11	-2.3733439530544983E11
-2.761930424894237E11	-2.902580873722642E11
-2.2949451202717618E11	-3.355422147920734E11
-1.769733367118777E11	-3.7231093442425287E11
-1.2012572440603189E11	-3.999721222828694E11
-6.0447619032410324E10	-4.1819638703313745E11
6.034210357087958E8	-4.268902540758069E11
6.1635749782941284E10	-4.2616728528956305E11
1.2134228459483597E11	-4.1631979154583093E11
1.7851223044799982E11	-3.9779287169124176E11
2.3203774911405005E11	-3.711616905453897E11
2.809172519293558E11	-3.3711229522277045E11
3.242567428161776E11	-2.9642590265638336E11
3.61270331289749E11	-2.4996632151047794E11
3.9128082876945306E11	-1.9866999895468665E11
4.137211371763992E11	-1.4353814236485928E11
4.2813693562949E11	-8.56302577238241E10
4.341910472494133E11	-2.6058386028004433E10
4.3166974167429443E11	3.4018727704368664E10
4.204910259490572E11	9.34023829373147E10
4.00714859550495E11	1.5086258808001917E11
3.725551178386543E11	2.0514964199937317E11
3.3639280674192566E11	2.5500965486994272E11
2.9278968969912134E11	2.992050236510238E11
2.425010284345181E11	3.365408049436074E11
1.864855651945439E11	3.6589771983897504E11
1.2591022839606253E11	3.862721247472215E11
6.2146581474115845E10	3.9682257332869135E11
-3.244308426500535E9	3.9692137107228485E11
-6.8541788889328964E10	3.8620798377675696E11
-1.31912733273429E11	3.646393709245884E11
-1.9147654340469495E11	3.325308337702954E11
-2.4538603582160416E11	2.9058006364862976E11
-2.91919002350342E11	2.3986757208992603E11
-3.2957203402254834E11	1.8182883289424683E11
-3.5714614933356055E11	1.1819723395099553E11
-3.7381368394435645E11	5.0921690096915146E10
-3.7915816114664154E11	-1.7932769453928963E10
-3.731829654983186E11	-8.629026687961581E10
-3.5628970132583563E11	-1.5216361412452112E11
-3.292316096654912E11	-2.137384162565104E11
-2.93050156605593E11	-2.6943560394229538E11
-2.4900368428430826E11	-3.1795037302765356E11
-1.9849617235439954E11	-3.5826906264757294E11
-1.430120923907798E11	-3.8966775476727576E11
-8.406087470515059E10	-4.116974653680505E11
-2.313245154618846E10	-4.2416085980766797E11
3.833630343704564E10	-4.2708468665561884E11
9.89854549704565E10	-4.206911693320847E11
1.5754792447908286E11	-4.053706129835284E11
2.128592820408167E11	-3.816566019805636E11
2.6386317068364526E11	-3.502044275045196E11
3.0961390493659076E11	-3.1177295665463635E11
3.4927749441881433E11	-2.6720974617521323E11
3.8213215240965454E11	-2.1743901984935934E11
4.075691062760179E11	-1.634520238669828E11
4.2509433166603784E11	-1.0629917558039906E11
4.3433165447370026E11	-4.708332829217307E10
4.3502758959250214E11	1.3046564176773226E10
4.2705811989376373E11	7.290214694077795E10
4.104374643923893E11	1.3126359871846667E11
3.853287291491186E11	1.868897662705487E11
3.520561185455295E11	2.3853154148109106E11
3.1111800572764844E11	2.8494955559684247E11
2.631997525532384E11	3.249373154367839E11
2.0918471457729385E11	3.5735075666918353E11
1.501612370952965E11	3.8114480432907556E11
8.742283889672711E10	3.954169014686901E11
2.245834720055511E10	3.994564694812157E11
-4.307138038147218E10	3.927977894736208E11
-1.07373067802454E11	3.7527215488715424E11
-1.685785005794553E11	3.47053460846579E11
-2.2481915115406805E11	3.0869010663216815E11
-2.7431415863733328E11	2.611159538031226E11
-3.1546452745033936E11	2.0563453043721304E11
-3.469436583404093E11	1.438737501801286E11
-3.6777339933987933E11	7.77128882055902E10
-3.773760342704561E11	9.188462328215664E9
-3.755960173958466E11	-5.961071263444845E10
-3.6269016022429913E11	-1.2664745646408128E11
-3.392898867557926E11	-1.900282575167564E11
-3.063428272442429E11	-2.480755393244149E11
-2.6504262270372333E11	-2.9937634628804193E11
-2.1675564373420743E11	-3.428076134036003E11
-1.6295166884090692E11	-3.775410756078406E11
-1.0514326397709032E11	-4.030325216570663E11
-4.4836298678413345E10	-4.1900046501400195E11
1.6507965078401329E10	-4.253988827256441E11
7.75001183039369E10	-4.2238778883670264E11
1.3684088931781311E11	-4.103043873766924E11
1.933324156282564E11	-3.896365799736169E11
2.458844212069643E11	-3.609997531265694E11
2.935170096543235E11	-3.251171820643509E11
3.353615136373731E11	-2.828039914235235E11
3.7066053076854626E11	-2.3495432117276514E11
3.987680741342634E11	-1.825311763337943E11
4.191505553464704E11	-1.2655839911209691E11
4.3138909595585095E11	-6.811409843960607E10
4.351835552549394E11	-8.3247902625094E9
4.303585902770853E11	5.164051410330366E10
4.168718583882263E11	1.1057709712773409E11
3.948243138968231E11	1.672531798379422E11
3.644723871593097E11	2.2042146733430292E11
3.262414920068848E11	2.688347279192734E11
2.80739926082659E11	3.1126659253670575E11
2.2877174389971182E11	3.465387021111305E11
1.713465715728305E11	3.735550450153943E11
1.096836430771043E11	3.913438069908432E11
4.520681632393418E10	3.991061295589544E11
-2.0473069602417156E10	3.962697837896297E11
-8.559186669218605E10	3.825441160354566E11
-1.482841417325144E11	3.579707110646194E11
-2.0665379174290927E11	3.2296263745563403E11
-2.5886044614900482E11	2.783244098087784E11
-3.0321530226460834E11	2.2524579507473935E11
-3.382767611949873E11	1.6526533654791663E11
-3.6293448631514246E11	1.0020389596226483E11
-3.76471089027804E11	3.207368785637421E10
-3.7859377836449384E11	-3.7027262794813774E10
-3.694331357578434E11	-1.0502291959263904E11
-3.495115416297154E11	-1.699574058272842E11
-3.196881909346081E11	-2.3007441668435507E11
-2.81089875850817E11	-2.838728819239874E11
-2.3503681549079214E11	-3.301381901232135E11
-1.8297128897357013E11	-3.679516696595132E11
-1.2639440687701079E11	-3.966829519245423E11
-6.681379596877802E10	-4.1597050397358606E11
-5.702954973591818E9	-4.2569531136983044E11
5.552845526895886E10	-4.2595172681856445E11
1.1555497412282497E11	-4.170184385745295E11
1.731482692959637E11	-3.9933151513259265E11
2.2718451819850488E11	-3.734605766699944E11
2.766480204784118E11	-3.400884846891087E11
3.2063254500987335E11	-2.9999462180419495E11
3.583415911748524E11	-2.5404146419835217E11
3.890885274802346E11	-2.031639659499393E11
4.122973731098142E11	-1.483611962904768E11
4.275048018371398E11	-9.068961795696901E10
4.343637785431898E11	-3.125729834549859E10
4.326491739548069E11	2.8781694851955658E10
4.222655397774923E11	8.823353036329926E10
4.032570779702112E11	1.4587240886133075E11
3.758196286959139E11	2.0045095011824173E11
3.403142653098497E11	2.5071433348433524E11
2.9728169745377844E11	2.9541938953078033E11
2.4745621466715283E11	3.3335985691987354E11
1.9177729617690515E11	3.6339879955765283E11
1.3139630822404224E11	3.845087374581336E11
6.7675075163410065E10	3.9581924021466516E11
2.1726797275647717E9	3.9667046943281415E11
-6.338316060130257E10	3.866693727347465E11
-1.2714303627625056E11	3.65743339159379E11
-1.8720209677299637E11	3.341843366675875E11
-2.4168365848024023E11	2.926754614757229E11
-2.888345810167858E11	2.4229241155204495E11
-3.271232028611176E11	1.8447496349722287E11
-3.5532829938211633E11	1.2096767382756308E11
-3.7260772291870184E11	5.37341475166491E10
-3.785381725104341E11	-1.5145931220134222E10
-3.7312219564088824E11	-8.358497761975513E10
-3.567639330100911E11	-1.495886781532125E11
-3.302197152461997E11	-2.1134030792653122E11
-2.9453233353343353E11	-2.6726230251320914E11
-2.5095827208539777E11	-3.16053516940487E11
-2.008960362889653E11	-3.567041879603183E11
-1.4582135325736945E11	-3.884927869271626E11
-8.723254903853108E10	-4.109699399157367E11
-2.6607290410350574E10	-4.2393440732817426E11
3.4629718424990395E10	-4.2740532116478815E11
9.512945832477235E10	-4.215937874810735E11
1.536335657637664E11	-4.068760036004348E11
2.0898341183363184E11	-3.837691527980193E11
2.601250413532439E11	-3.529106334788711E11
3.061114963195365E11	-3.1504073152947833E11
3.4610379003601373E11	-2.7098855636357382E11
3.793714984060825E11	-2.216608357525465E11
4.052937556925438E11	-1.6803300926528625E11
4.2336130036477576E11	-1.1114204453809079E11
4.3318002388453894E11	-5.2080329946116165E10
4.344763523709082E11	8.010088323345052E9
4.271046935721636E11	6.794371875001148E10
4.110569997304E11	1.264991589992825E11
3.8647433142231696E11	1.8242896671305777E11
3.536600929038961E11	2.344729479315245E11
3.1309422440676556E11	2.8137602528839594E11
2.6544721446782098E11	3.2191186763291833E11
2.1159227245322745E11	3.549133099503907E11
1.526133094368543E11	3.7931016235575977E11
8.98057336796281E10	3.94174392775498E11
2.466668132463368E10	3.987715597906651E11
-4.112887576731409E10	3.926157851985245E11
-1.0576914640315474E11	3.755237849272019E11
-1.673651758127165E11	3.476617299782916E11
-2.2402812922136353E11	3.095774846596509E11
-2.739599219317458E11	2.622106670754601E11
-3.155494886190369E11	2.068747645074163E11
-3.4746430529565955E11	1.4520898108270297E11
-3.6872600130474524E11	7.910226495753777E10
-3.787604861630073E11	1.0596819770073698E10
-3.774169716249025E11	-5.821803919317197E10
-3.649552991713659E11	-1.253095497272326E11
-3.4200590155220404E11	-1.8879200854978436E11
-3.095101700895495E11	-2.4699674807304193E11
-2.6865031993641772E11	-2.9851841527093335E11
-2.2077728816117288E11	-3.422382220079487E11
-1.6734332791016663E11	-3.7732758635802325E11
-1.09843543043105E11	-4.0323693244711237E11
-4.976828249003326E10	-4.196746835137305E11
1.1433399296962584E10	-4.2658096600524756E11
7.238021139089565E10	-4.24099506591594E11
1.3177668973768793E11	-4.125501764574852E11
1.8842471000322256E11	-3.924038067206302E11
2.4123019024133673E11	-3.642600936845964E11
2.892065737183342E11	-3.288288042147142E11
3.314764350391944E11	-2.8691419472095496E11
3.672722715741038E11	-2.3940227623120428E11
3.959373421664737E11	-1.8725042782793198E11
4.1692723814580786E11	-1.3147883213836967E11
4.29812677329063E11	-7.316320142310635E10
4.3428384238793243E11	-1.342819197254402E10
4.3015649191726556E11	4.655913684872475E10
4.17379914849107E11	1.0559660672644714E11
3.9604673449714136E11	1.624558629549664E11
3.6640438730053125E11	2.158939791519631E11
3.288678291648172E11	2.646688115496784E11
2.840326062204077E11	3.0755922682351324E11
2.326870092517134E11	3.433913035222178E11
1.7582144067602585E11	3.710713338589066E11
1.1463247151830612E11	3.896259798315891E11
5.051850750821088E10	3.982491301312337E11
-1.4936337914615545E10	3.963537942414599E11
-7.999345214357713E10	3.836256657137661E11
-1.4280850166718546E11	3.600732555819856E11
-2.0149836518487085E11	3.2606798017242084E11
-2.5422401537568747E11	2.823666646925E11
-2.9928377766195575E11	2.301094854464518E11
-3.3520816531666473E11	1.7078876385530112E11
-3.608453712233769E11	1.0618803187429317E11
-3.754266104553914E11	3.8295698295850296E10
-3.786030362134902E11	-3.079770864957895E10
-3.7045038534058295E11	-9.900699202038167E10
-3.5144279040164154E11	-1.643524574593291E11
-3.224017716498613E11	-2.250430751855483E11
-2.844291068242189E11	-2.795367342393575E11
-2.388328287607445E11	-3.265760442426747E11
-1.870545577405444E11	-3.652017133154055E11
-1.3060402175997206E11	-3.947477374145213E11
-7.100408937693205E10	-4.148236053595307E11
-9.747470079199646E9	-4.2528859930141754E11
5.1735348730853836E10	-4.262224744340577E11
1.1209835739908806E11	-4.1789567846942615E11
1.7009436386526395E11	-4.007412933318961E11
2.2458334846234583E11	-3.753299610483868E11
