Phobos X	Phobos Y
3.6094275195161444E11	-8.076380397130032E10
3.788906784455026E11	-2.2405364638498962E10
3.849793150145156E11	3.665076191806957E10
3.796744251651755E11	9.461526289735765E10
3.6352273187352765E11	1.4986687382759418E11
3.3713998060402765E11	2.00887647397754E11
3.012195491737338E11	2.462084490529401E11
2.565591686495286E11	2.843628866442022E11
2.0410706317765756E11	3.138493415706863E11
1.450321775969756E11	3.3310336786610657E11
8.082629915535648E10	3.4048758547533813E11
1.3448223773692219E10	3.343151381974199E11
-5.448120944490506E10	3.1293925058145026E11
-1.1943822866636244E11	2.749685674727384E11
-1.76761917518911E11	2.1970347700770422E11
-2.2059660782997067E11	1.4790072816767502E11
-2.4438229587233124E11	6.28514779279652E10
-2.423756913916014E11	-2.868830975644201E10
-2.1214698257261673E11	-1.1684293169938493E11
-1.565572607318882E11	-1.911395873590059E11
-8.316562595267552E10	-2.4403169394598282E11
-1.2725256192613235E9	-2.7273257433393774E11
8.094300719921327E10	-2.7846854028632776E11
1.576366330387959E11	-2.6461872297907196E11
2.251876553951442E11	-2.351946308807701E11
2.816100412551539E11	-1.9403330039170593E11
3.2597862589146326E11	-1.445031890201957E11
3.5801310066865173E11	-8.946844423234653E10
3.7781175536620184E11	-3.1354341084894634E10
3.8569249475267084E11	2.7760513134274593E10
3.8210363453686505E11	8.60544807512234E10
3.6757909994382935E11	1.4188453791806232E11
3.427228073865468E11	1.9372008075703116E11
3.082142364520259E11	2.4008718290517157E11
2.648321800446173E11	2.795215124051466E11
2.1349747256909683E11	3.105292421733066E11
1.5533875637599567E11	3.3155768729889624E11
9.178856958360347E10	3.409818000335913E11
2.4719584657145443E10	3.3712069339730133E11
-4.33695044606202E10	3.1831330296930304E11
-1.0911968015859448E11	2.831074130514147E11
-1.68069748713116E11	2.306512726379964E11
-2.145505650001718E11	1.613978841859413E11
-2.4204998581915417E11	7.814503098672043E10
-2.4453854967108072E11	-1.2947611955796656E10
-2.1886441996645547E11	-1.0239926234210153E11
-1.6697980705322113E11	-1.795804742004944E11
-9.584891792340462E10	-2.362605321738657E11
-1.473031770743557E10	-2.688685266107558E11
6.787383189645169E10	-2.7810481395975305E11
1.4571932881742328E11	-2.6713064963978635E11
2.14861904688571E11	-2.3993577282027704E11
2.7309697716455746E11	-2.0042075668553732E11
3.193646834525156E11	-1.5203923698097156E11
3.533056710466678E11	-9.773468055790343E10
3.749729499079488E11	-3.999704174180009E10
3.84658415368318E11	1.9045964523280926E10
3.8279457406676654E11	7.753744559479707E10
3.699040629330427E11	1.3381071459138188E11
3.465801899242664E11	1.863210435963911E11
3.1348959655569794E11	2.3358830003849393E11
2.7139338243952792E11	2.7414850577440027E11
2.2118688598399506E11	3.0651339764486487E11
1.639617092950953E11	3.291392792420989E11
1.010968035683826E11	3.404104553991572E11
3.438813145789157E10	3.386499039616755E11
-3.3773177149510498E10	3.221835387156817E11
-1.0017270995063808E11	2.8950777568794794E11
-1.605268552137356E11	2.396441186483254E11
-2.093420671349734E11	1.7279072740207233E11
-2.4018097211442975E11	9.131977063175229E10
-2.4681671520774597E11	8.428024597896748E8
-2.254992477364541E11	-8.959055149229681E10
-1.7733502143990808E11	-1.693246342271313E11
-1.0863654266858656E11	-2.2957369512351422E11
-2.8505554430734272E10	-2.6602173117578802E11
5.431771150575268E10	-2.788060862943411E11
1.3322094576310962E11	-2.7081357865574023E11
2.039340941566055E11	-2.4596856834757535E11
2.640193170854684E11	-2.0821000763328305E11
3.1226646973281415E11	-1.6106529562671576E11
3.4822501021099805E11	-1.0755395666756155E11
3.7189483033181366E11	-5.023152045836927E10
3.835378651143408E11	8.722606062671844E9
3.835699289811649E11	6.741347329192594E10
3.7250355189354645E11	1.24148690169705E11
3.509237745445008E11	1.7736897448732712E11
3.194870945635423E11	2.255898505969032E11
2.7893908936249866E11	2.673524468631315E11
2.3015025729292584E11	3.0118218436569763E11
1.741729922909262E11	3.255561191846664E11
1.1232581967130336E11	3.3888325126519525E11
4.631386465004027E10	3.3950859572668536E11
-2.160425739237061E10	3.2576390104824536E11
-8.839871457753539E10	2.9610886917424915E11
-1.500218415917008E11	2.4943899577839917E11
-2.012300805258012E11	1.8566751960008807E11
-2.3573282425303232E11	1.0665719571989151E11
-2.4712790421987103E11	1.7322780196249672E10
-2.309718768009728E11	-7.388830483985495E10
-1.8730329247918552E11	-1.563711002219528E11
-1.2155760644368793E11	-2.2067960765197534E11
-4.260036741972195E10	-2.6153902009235132E11
4.051890394173589E10	-2.7835221857100867E11
1.2069682183863438E11	-2.7366504399717346E11
1.9323739628148322E11	-2.513459666600115E11
2.554109287056573E11	-2.154117978862315E11
3.058308433337083E11	-1.6950518847686624E11
3.43948097958909E11	-1.1675459107986943E11
3.697109149189854E11	-5.98037123503619E10
3.833555969898187E11	-8.976814361398561E8
3.8528551892715924E11	5.802257783017793E10
3.760062911501134E11	1.1523484003189883E11
3.560969069923975E11	1.691627296927453E11
3.2620548683733136E11	2.1831456134343118E11
2.870642021054875E11	2.6123182901257587E11
2.395223048379562E11	2.9644592221698553E11
1.845997074130608E11	3.224434015709705E11
1.2356681848689772E11	3.376433780256631E11
5.805929624184771E10	3.4039647927353284E11
-9.761885432206852E9	3.2902601216272375E11
-7.699876852453146E10	3.019515079736446E11
-1.3976867762192245E11	2.5796577438250403E11
-1.9300227598637936E11	1.967705496762048E11
-2.3051746157865683E11	1.198615481363797E11
-2.4580804531257013E11	3.164320895301498E10
-2.3396027443748077E11	-5.9918155812464966E10
-1.942258194753172E11	-1.443436689927654E11
-1.3131003030285378E11	-2.117769589596267E11
-5.378459322323668E10	-2.5622915491751178E11
2.915071178121971E10	-2.764850195582832E11
1.1004651079841356E11	-2.7475144940434714E11
1.8387126049368854E11	-2.5479097394183115E11
2.4764617372683078E11	-2.2063965131002698E11
2.998214232905133E11	-1.760062850183685E11
3.3974746517010236E11	-1.2409266971841414E11
3.673125280216951E11	-6.760726861453983E10
3.827173295227119E11	-8.8469570579458E9
3.863435794467135E11	5.020857694810672E10
3.7868248968661426E11	1.0780983320912863E11
3.603015016914452E11	1.623629850391271E11
3.3183680183835175E11	2.1236729324991888E11
2.940054639625977E11	2.5636244212062918E11
2.4763556899601126E11	2.928842201733621E11
1.937162264646567E11	3.204285431314703E11
1.3347267192452357E11	3.374267226147333E11
6.847460907569728E10	3.422402769596949E11
7.880819261821841E8	3.331936613966799E11
-6.682152159127586E10	3.086810433239112E11
-1.3064554892357181E11	2.6741229076739423E11
-1.8581374079925784E11	2.0889859172368497E11
-2.263004413621195E11	1.342781240099466E11
-2.4556183932141394E11	4.741825056158694E10
-2.3826163160196658E11	-4.4280616539421265E10
-2.0283257036030847E11	-1.3058101858514134E11
-1.431311813711203E11	-2.0127383380672952E11
-6.731816618929524E10	-2.496078594309443E11
1.5295331432381678E10	-2.7365204558532404E11
9.68868239134018E10	-2.7520061151220233E11
1.7204332242654395E11	-2.5787976855539444E11
2.3750000159374112E11	-2.257429333284711E11
2.915213581224229E11	-1.8257456536074976E11
3.3334609979852814E11	-1.3166120266405775E11
3.627978364678327E11	-7.57857080406249E10
3.800405146037426E11	-1.7303770732949596E10
3.8543457039923804E11	4.176125024203817E10
3.7945772026191846E11	9.962920002583313E10
3.6266678597345233E11	1.5468634948254977E11
3.356868377904732E11	2.0542086331014093E11
2.9922062967773065E11	2.5036855082812067E11
2.5407606842838278E11	2.880671607310735E11
2.012131484043036E11	3.170188945791526E11
1.4181506055813074E11	3.356634801540763E11
7.739126682160866E10	3.42369131258755E11
9.922760676140635E9	3.3545786872562585E11
-5.794198732943519E10	3.132981510245171E11
-1.2264629718009602E11	2.7452537996773816E11
-1.7949442207891605E11	2.1848624081591583E11
-2.2260495422114905E11	1.4601328261706018E11
-2.4542555655081027E11	6.050746746892312E10
-2.4228954034152664E11	-3.1150910301209976E10
-2.1092930367597995E11	-1.1900652751967914E11
-1.544048018802001E11	-1.9261916453475296E11
-8.041423562894829E10	-2.4458497129889752E11
1.7136185428559313E9	-2.722902470407072E11
8.385307519117078E10	-2.7709158417773157E11
1.6024066142811127E11	-2.6243799371684787E11
2.2733036453292963E11	-2.323663403752404E11
2.8319412323801825E11	-1.907148396266233E11
3.2694872976259106E11	-1.408427073339542E11
3.5834375661034155E11	-8.560160823509041E10
3.774992193267375E11	-2.740436505769265E10
3.847496710092132E11	3.1681584590700592E10
3.805571912544448E11	8.984416132300883E10
3.65468080896413E11	1.4544842849891757E11
3.400983168446085E11	1.969707607272073E11
3.051398505004747E11	2.4294363522785977E11
2.613848013963968E11	2.819092817299035E11
2.097683829109849E11	3.123816390160784E11
1.514346719739543E11	3.328183921198559E11
8.783234125809273E10	3.416091646899894E11
2.0849903691644413E10	3.370940627073877E11
-4.700055108804263E10	3.176414991822949E11
-1.123531711418439E11	2.8183895027696533E11
-1.7075334697130167E11	2.2888435809699594E11
-2.1656104650764795E11	1.5928518552262854E11
-2.4332230966951944E11	7.588405417795921E10
-2.4508797299167914E11	-1.514647918421429E10
-2.1878030280554282E11	-1.0435781606817107E11
-1.6638753005692926E11	-1.8117945655305707E11
-9.487199512375568E10	-2.3743014500320248E11
-1.3480381047716372E10	-2.6956581573751022E11
6.929000890043275E10	-2.7830429417451953E11
1.4719577656422604E11	-2.6682678156370236E11
2.1629650313635104E11	-2.3914599984253915E11
2.7439703939553748E11	-1.9918467062360825E11
3.204515477107888E11	-1.5041486292327045E11
3.54117352979012E11	-9.57937755791384E10
3.754652068574766E11	-3.782057271233273E10
3.8480487427680725E11	2.13717159843346E10
3.825863534296427E11	7.99240901944277E10
3.693491419811412E11	1.361704794386871E11
3.4570279123112E11	1.885692214945637E11
3.123296217653931E11	2.356455743409028E11
2.7000582169546262E11	2.7594335210016583E11
2.1964112589989032E11	3.0798480162197235E11
1.6234058657305615E11	3.302399071743501E11
9.949497386860597E10	3.41110357097007E11
3.29092598213226E10	3.389408605915528E11
-3.50211283962898E10	3.220837765917946E11
-1.0108503143412057E11	2.890661715336752E11
-1.6101312047402103E11	2.3894199639352414E11
-2.0933964766610873E11	1.7193808665277853E11
-2.3966623467099222E11	9.044260124405377E10
-2.4580537732491537E11	6.361923995738457E7
-2.2403152662436343E11	-9.016628132088266E10
-1.754593164353231E11	-1.6960383560335892E11
-1.0641200234915823E11	-2.294638841608496E11
-2.6016592375170696E10	-2.654354037194182E11
5.695867933764604E10	-2.7767962236928107E11
1.3588635604249684E11	-2.6912132591669113E11
2.0649789057540518E11	-2.4372391650025113E11
2.6636887686897665E11	-2.054582876559016E11
3.143083062295074E11	-1.5787452393953577E11
3.498860729076487E11	-1.0400654381706187E11
3.731214740818088E11	-4.641788376164293E10
3.8429394386051904E11	1.270858559014415E10
3.838347708086323E11	7.147751020139627E10
3.7227030936838763E11	1.2819808846575287E11
3.501984511575761E11	1.8131375740599655E11
3.1828822432371564E11	2.2934323403815732E11
2.772980503973689E11	2.7083096111052988E11
2.281122830353783E11	3.0430579545029944E11
1.7179891915323553E11	3.282487010979836E11
1.0969459474120306E11	3.410739492409471E11
4.352588892421573E10	3.411348791282887E11
-2.4423226230270935E10	3.2677735388107275E11
-9.1094169518799E10	2.9648525752873114E11
-1.5241039874062207E11	2.491943853854507E11
-2.031085229567007E11	1.848810469100439E11
-2.369056366766633E11	1.0549555518549664E11
-2.4746031146545865E11	1.6049071185610888E10
-2.3045458364042084E11	-7.494934281442554E10
-1.8608150167891537E11	-1.5691881078469638E11
-1.1988514580325546E11	-2.2052417132327518E11
-4.0751249611303894E10	-2.6062564945884726E11
4.231451098908835E10	-2.767249590924609E11
1.2227060287427777E11	-2.7141753454052335E11
1.944745663637261E11	-2.485878045539918E11
2.5623599875830496E11	-2.1225221559185434E11
3.061957503608904E11	-1.6604706197733524E11
3.438240166204917E11	-1.130932024132219E11
3.690829959161103E11	-5.602736735494742E10
3.8221972629254474E11	2.9111040257142515E9
3.83646413339452E11	6.178584184974445E10
3.7387652909424286E11	1.1887809185626021E11
3.534966686762528E11	1.7261406570599146E11
3.2316284334733124E11	2.215040236760305E11
2.83615918469547E11	2.6409105527938324E11
2.357151592022541E11	2.989081792003814E11
1.8049237327034122E11	3.244441597601504E11
1.1923231781087491E11	3.391217309486078E11
5.35880477820816E10	3.4129796207882587E11
-1.4258674574186693E10	3.293075780187205E11
-8.138622809503987E10	3.01589747511641E11
-1.438881250949822E11	2.5696969755189005E11
-1.966781636978097E11	1.9519952281130377E11
-2.3357833953151245E11	1.1784476610335338E11
-2.4812735069908438E11	2.938843220184992E10
-2.3550831655700058E11	-6.214769273595457E10
-1.950987259363355E11	-1.462936344394964E11
-1.3170114787771536E11	-2.1327416230415018E11
-5.391476468270413E10	-2.572091279707477E11
2.90904202974818E10	-2.76968049324177E11
1.0991482689539354E11	-2.748023444485959E11
1.8357195888042792E11	-2.5448946092817426E11
2.4711617483066916E11	-2.2006562156125717E11
2.990202100617501E11	-1.7523448506810144E11
3.386497186470983E11	-1.2319180479927777E11
3.6590350159686334E11	-6.664074526904053E10
3.809902273703806E11	-7.874066930740735E9
3.84298233183894E11	5.113145030544157E10
3.763249145475428E11	1.0862821961890504E11
3.5764418428513635E11	1.630235971565076E11
3.288996042191871E11	2.1281758948184378E11
2.908170594272169E11	2.5655056447489087E11
2.44235411348263E11	2.927595138742936E11
1.9015698087967917E11	3.1994289414312286E11
1.2982280265081796E11	3.3653716997947754E11
6.482062755378226E10	3.40913607749741E11
-2.764610780830463E9	3.314137266591128E11
-7.015119162975555E10	3.064593799005356E11
-1.3362337401956367E11	2.6480157893390665E11
-1.8832424908494678E11	2.0600513906598172E11
-2.282760041208261E11	1.312629318059552E11
-2.4702345802349948E11	4.446991380843347E10
-2.3933593115638678E11	-4.70107390840601E10
-2.0370360221811816E11	-1.330490450128192E11
-1.439435268194656E11	-2.035483917488196E11
-6.811666601291572E10	-2.517971240879007E11
1.454555789337766E10	-2.758273799335984E11
9.6244920162585E10	-2.773732321852721E11
1.715532856359323E11	-2.6001797829691946E11
2.3717776047302872E11	-2.2779816192235043E11
2.913576025445219E11	-1.8450020916917218E11
3.3331437748321204E11	-1.3342233532450258E11
3.6286275482409064E11	-7.736245935778749E10
3.8016437655422327E11	-1.8691292600331978E10
3.855821834721573E11	4.05544541788657E10
3.795997914258935E11	9.858368527889902E10
3.6278237314688715E11	1.5377438900692752E11
3.357650765975269E11	2.0460920391412433E11
2.992619216722948E11	2.4962135217296738E11
2.5409285712664105E11	2.873492710846162E11
2.0123018277028082E11	3.162996099968469E11
1.4186880976272226E11	3.349210237651351E11
7.752793457071321E10	3.415960222751474E11
1.0193804133306202E10	3.346670708899051E11
-5.74884411869499E10	3.125292645090664E11
-1.2198016351836752E11	2.7384847174664038E11
-1.7862555014631857E11	2.179977859340252E11
-2.2160817529335217E11	1.4581466665595367E11
-2.4445201409186536E11	6.0657993901324715E10
-2.415331534713428E11	-3.069465213482827E10
-2.105355301225622E11	-1.1841306384025812E11
-1.5438011123644092E11	-1.9211463749155872E11
-8.062607979596654E10	-2.4433680103966428E11
1.4515716741069005E9	-2.7234476955267276E11
8.369728911533609E10	-2.77394035671771E11
1.6028375230183774E11	-2.628853753878184E11
2.276051738321801E11	-2.3285020960697943E11
2.836913598030231E11	-1.911436812025164E11
3.2763443410008E11	-1.411495260884832E11
3.5917231504315704E11	-8.57438948239957E10
3.784219100030695E11	-2.736095560706605E10
3.85719806000373E11	3.1914521649293194E10
3.8153303785461707E11	9.025707653030501E10
3.664143748450573E11	1.460219189231529E11
3.409869032910979E11	1.9767867173159158E11
3.0594989254993994E11	2.4375580378532858E11
2.6210288682648242E11	2.827939800379677E11
2.1038866756005804E11	3.133077051507749E11
1.5195903291643372E11	3.3375714180193005E11
8.827044783806905E10	3.4253632402495264E11
2.1218946214118706E10	3.379920412276305E11
-4.667702759628325E10	3.1850227843830945E11
-1.1204835138324748E11	2.826676504484776E11
-1.7044359805671964E11	2.2970265442990747E11
-2.162369511912932E11	1.601314806838611E11
-2.430026265093944E11	7.680464365452118E10
-2.4482678685609033E11	-1.4119990548492603E10
-2.1865116768112552E11	-1.0323648776122496E11
-1.6644389385534113E11	-1.8002325344224872E11
-9.511618131130933E10	-2.3631772197897095E11
-1.3869615102006313E10	-2.685551085992769E11
6.881459918518764E10	-2.774166231425873E11
1.4668531268879092E11	-2.6605460174882288E11
2.15785063061845E11	-2.3846760870288403E11
2.7390227097679404E11	-1.9857540553863916E11
3.19978894373361E11	-1.4985294949541412E11
3.536644910206994E11	-9.526240575835149E10
3.7502555186296387E11	-3.7308080892039955E10
3.8436997144021783E11	2.187243833812282E10
