Pluto X	Pluto Y
1.613162735172915E12	-4.74013480440075E12
1.6320984653556565E12	-4.737892767631372E12
1.6510067203198137E12	-4.735592175585143E12
1.669897892122444E12	-4.733220849373118E12
1.6887605554478577E12	-4.730790756292569E12
1.7076062096610952E12	-4.728291287058565E12
1.7264227895558853E12	-4.725731908283123E12
1.745221606017457E12	-4.723105672245739E12
1.7639920206111206E12	-4.720417087873977E12
1.782742335208534E12	-4.717665432857596E12
1.8014667314609294E12	-4.714848017852302E12
1.8201669412332593E12	-4.71197167165729E12
1.838845032992724E12	-4.709026786281215E12
1.857494467273578E12	-4.706025224261155E12
1.8761245963728313E12	-4.702955550967299E12
1.8947242451240498E12	-4.699827235393512E12
1.9133032551822847E12	-4.696635696929235E12
1.9318549346833042E12	-4.69338004643198E12
1.9503801647534968E12	-4.690067255414881E12
1.9688835865422542E12	-4.686687045738405E12
1.9873558784110918E12	-4.683250210549764E12
2.0058068926751033E12	-4.6797502415961455E12
2.0242297076715908E12	-4.676187307499262E12
2.0426245334906904E12	-4.672568365810071E12
2.0609973517884446E12	-4.66888345198881E12
2.0793385993580364E12	-4.665140878993411E12
2.097655300425835E12	-4.661339414939008E12
2.1159467156763508E12	-4.657473183136215E12
2.1342063369917422E12	-4.653551811316137E12
2.152442612841576E12	-4.649569459444759E12
2.1706510608574375E12	-4.645524464740101E12
2.1888281652197615E12	-4.641425079256844E12
2.2069816879262295E12	-4.63726431980152E12
2.225106299462297E12	-4.633042206828962E12
2.2431993946062705E12	-4.628766036791036E12
2.2612680969419683E12	-4.624429437468679E12
2.279308092926649E12	-4.620031671365597E12
2.2973157403864624E12	-4.615579978727304E12
2.3152975313894053E12	-4.611069993761524E12
2.3332518607993594E12	-4.60649851240737E12
2.3511732567072407E12	-4.60187224793774E12
2.369066073888032E12	-4.59719074830821E12
2.3869327460500444E12	-4.592448463916052E12
2.404767734398826E12	-4.587648866474991E12
2.4225706466601255E12	-4.58279618320186E12
2.4403464070964077E12	-4.577886212127884E12
2.4580936965994253E12	-4.572916668868162E12
2.4758079796991084E12	-4.567892284013661E12
2.49349081366297E12	-4.562814878687579E12
2.5111459031258345E12	-4.557680398899571E12
2.528771515276381E12	-4.5524876573749E12
2.546363979106216E12	-4.547240586082943E12
2.5639241705304595E12	-4.541941065335859E12
2.581455274948962E12	-4.536586261475178E12
2.5989570572724487E12	-4.5311741738258E12
2.6164264519464697E12	-4.525706967113949E12
2.633862311726973E12	-4.520187503420608E12
2.6512666254049233E12	-4.514615412904728E12
2.668641163118999E12	-4.508988328061662E12
2.68598504196084E12	-4.503305520442357E12
2.703296064472006E12	-4.497568781527723E12
2.720573336283176E12	-4.491780174743693E12
2.7378179134764146E12	-4.485939917179647E12
