Mimas X	Mimas Y
7.569593243637756E12	-4.306297795492743E12
1.6937139339181832E13	-7.765494177703924E12
2.630468027549685E13	-1.1224688104120996E13
3.567221919401218E13	-1.4683881161474652E13
4.503975702922926E13	-1.81430737712535E13
5.440729418726291E13	-2.1602266107743094E13
6.377483088157246E13	-2.5061458259918465E13
7.314236723831617E13	-2.8520650279354105E13
8.250990333828736E13	-3.1979842198621652E13
9.187743923635262E13	-3.5439034039609016E13
1.0124497497147967E14	-3.889822581773372E13
1.1061251057234266E14	-4.2357417544265586E13
1.1998004606065473E14	-4.581660922769246E13
1.293475814532544E14	-4.927580087456593E13
1.3871511676346266E14	-5.273499249004952E13
1.480826520020005E14	-5.619418407828448E13
1.5745018717762247E14	-5.965337564264296E13
1.6681772229757275E14	-6.311256718590799E13
1.761852573679104E14	-6.657175871040234E13
1.8555279239375738E14	-7.0030950218085195E13
1.9492032737948094E14	-7.349014171062439E13
2.0428786232883503E14	-7.694933318945108E13
2.136553972450713E14	-8.040852465580253E13
2.2302293213102188E14	-8.386771611075612E13
2.3239046698917184E14	-8.732690755525523E13
2.4175800182171256E14	-9.078609899013089E13
2.5112553663058553E14	-9.424529041611875E13
2.6049307141752016E14	-9.770448183387294E13
2.6986060618406238E14	-1.011636732439785E14
2.7922814093160022E14	-1.0462286464695981E14
2.88595675661385E14	-1.0808205604328938E14
2.979632103745481E14	-1.1154124743339377E14
3.073307450721163E14	-1.1500043881766038E14
3.166982797550243E14	-1.184596301964409E14
3.2606581442412494E14	-1.2191882157005694E14
3.35433349080199E14	-1.2537801293880197E14
3.448008837239616E14	-1.2883720430294555E14
3.5416841835607206E14	-1.3229639566273512E14
3.635359529771375E14	-1.3575558701839884E14
3.729034875877185E14	-1.3921477837014742E14
3.8227102218833506E14	-1.4267396971817597E14
3.916385567794685E14	-1.46133161062665E14
4.010060913615661E14	-1.4959235240378266E14
4.1037362593504494E14	-1.530515437416852E14
4.1974116050029294E14	-1.5651073507651788E14
4.291086950576728E14	-1.5996992640841678E14
4.384762296075242E14	-1.6342911773750906E14
4.4784376415016475E14	-1.6688830906391362E14
4.5721129868589256E14	-1.7034750038774225E14
4.665788332149877E14	-1.7380669170909953E14
4.7594636773771306E14	-1.772658830280842E14
4.853139022543169E14	-1.807250743447887E14
4.946814367650328E14	-1.8418426565930075E14
5.040489712700817E14	-1.876434569717026E14
5.134165057696717E14	-1.911026482820724E14
5.227840402640003E14	-1.9456183959048375E14
5.321515747532535E14	-1.980210308970062E14
5.415191092376085E14	-2.0148022220170606E14
5.508866437172332E14	-2.04939413504646E14
5.6025417819228656E14	-2.083986048058853E14
5.696217126629202E14	-2.1185779610548075E14
5.789892471292784E14	-2.1531698740348584E14
5.883567815914981E14	-2.187761786999519E14
5.977243160497094E14	-2.2223536999492762E14
6.070918505040384E14	-2.256945612884594E14
6.164593849546018E14	-2.2915375258059153E14
6.258269194015139E14	-2.3261294387136653E14
6.351944538448835E14	-2.3607213516082453E14
6.445619882848135E14	-2.395313264490044E14
6.539295227214036E14	-2.429905177359432E14
6.632970571547481E14	-2.4644970902167584E14
6.726645915849386E14	-2.4990890030623666E14
6.820321260120621E14	-2.5336809158965803E14
6.913996604362029E14	-2.568272828719709E14
7.007671948574395E14	-2.6028647415320538E14
7.101347292758492E14	-2.637456654333901E14
7.195022636915075E14	-2.6720485671255256E14
7.288697981044838E14	-2.7066404799071938E14
7.382373325148479E14	-2.741232392679158E14
7.476048669226652E14	-2.7758243054416666E14
7.569724013279982E14	-2.8104162181949538E14
7.663399357309099E14	-2.845008130939247E14
7.757074701314574E14	-2.8796000436747644E14
7.850750045296978E14	-2.9141919564017206E14
7.944425389256859E14	-2.94878386912031E14
8.038100733194749E14	-2.98337578183074E14
8.131776077111146E14	-3.017967694533195E14
8.225451421006544E14	-3.052559607227856E14
8.31912676488143E14	-3.087151519914902E14
8.412802108736255E14	-3.1217434325945094E14
8.506477452571474E14	-3.156335345266826E14
8.60015279638749E14	-3.190927257932032E14
8.693828140184744E14	-3.2255191705902706E14
8.787503483963615E14	-3.2601110832416906E14
8.881178827724516E14	-3.294702995886447E14
8.974854171467809E14	-3.329294908524667E14
9.06852951519386E14	-3.3638868211564944E14
9.162204858903036E14	-3.398478733782058E14
9.255880202595671E14	-3.4330706464014894E14
9.349555546272086E14	-3.4676625590149075E14
9.443230889932624E14	-3.5022544716224356E14
9.536906233577588E14	-3.5368463842241825E14
9.630581577207288E14	-3.571438296820272E14
9.724256920822009E14	-3.606030209410814E14
9.817932264422051E14	-3.640622121995897E14
9.911607608007684E14	-3.675214034575649E14
1.0005282951579188E15	-3.7098059471501494E14
1.0098958295136811E15	-3.744397859719511E14
1.0192633638680814E15	-3.778989772283826E14
1.0286308982211454E15	-3.813581684843183E14
1.0379984325728968E15	-3.848173597397679E14
1.0473659669233601E15	-3.8827655099473894E14
1.0567335012725565E15	-3.9173574224924106E14
1.0661010356205086E15	-3.9519493350328144E14
1.0754685699672389E15	-3.9865412475686944E14
1.0848361043127704E15	-4.021133160100124E14
1.0942036386571185E15	-4.055725072627176E14
1.1035711730003081E15	-4.090316985149929E14
1.1129387073423574E15	-4.1249088976684606E14
1.1223062416832854E15	-4.159500810182831E14
1.1316737760231112E15	-4.1940927226931144E14
1.1410413103618525E15	-4.2286846351993775E14
1.150408844699531E15	-4.2632765477016975E14
1.1597763790361555E15	-4.297868460200117E14
