Mars X	Mars Y
-2.356496602159247E11	-6.041310150993665E10
-1.9681028481712045E11	-1.3221697910302031E11
-1.3308522622338084E11	-1.8702329918255066E11
-5.0994361713159134E10	-2.1557543687665512E11
3.873942163126999E10	-2.107274579148908E11
1.2169481088854192E11	-1.700225012798108E11
1.8235477097736298E11	-9.82348780131047E10
2.087141317510694E11	-7.793691550111029E9
1.9650644874220206E11	8.440957942001028E10
1.5006987023642203E11	1.62341072250272E11
7.964627799470015E10	2.1487424664531546E11
-2.403460899844567E9	2.368826812821896E11
-8.433535645470308E10	2.282505932436075E11
-1.5628574121541626E11	1.9232208043634512E11
-2.105790528495691E11	1.346449317183514E11
-2.4166060708968073E11	6.220086076904169E10
-2.4602241595859967E11	-1.6983056172622305E10
-2.2231495509796048E11	-9.402743014748305E10
-1.7173804395026337E11	-1.594159377866819E11
-9.870865889313913E10	-2.035131536222261E11
-1.1604027823613651E10	-2.1774331216098697E11
7.701980005736877E10	-1.9671355835694943E11
1.5177380575978885E11	-1.4097709907670123E11
1.9808929605609122E11	-5.891391904956287E10
2.0707372406594794E11	3.443739453499991E10
1.7848397955862982E11	1.2191518478024532E11
1.1978481405713963E11	1.8937232337317053E11
4.26043317805157E10	2.284142676591365E11
-4.0733806767248314E10	2.3635578104963348E11
-1.1924950191469711E11	2.1482075734080585E11
-1.8405839759536298E11	1.6826900509222174E11
-2.284521267268637E11	1.0296208173990475E11
-2.477967278779006E11	2.6385815316165432E10
-2.3952660073831387E11	-5.302651834836201E10
-2.0337552907578876E11	-1.2606936149182356E11
-1.418996023912734E11	-1.830781530262611E11
-6.122000530884362E10	-2.146985262965767E11
2.836829004833757E10	-2.134714626808136E11
1.1274058814196054E11	-1.7634020387305533E11
1.7630230426054855E11	-1.072795955125986E11
2.064678841953499E11	-1.803812987343747E10
1.9808693127668845E11	7.470180568514806E10
1.5472005140380914E11	1.545896446565921E11
8.619850939692186E10	2.099133621595548E11
4.820173228708067E9	2.3497506627079236E11
-7.75341770386979E10	2.292312868387833E11
-1.5079121185219943E11	1.9574458149730002E11
-2.0705758198700003E11	1.398832782598261E11
-2.4057030476820718E11	6.85078324236278E10
-2.476138544906476E11	-1.0446686337172739E10
-2.266100604961603E11	-8.817428373903772E10
-1.7848105954239853E11	-1.5520156020689017E11
