Enceladus X	Enceladus Y
2.724078922109338E10	-1.5122805203820613E12
1.462411719611334E11	-1.5475428369817166E12
2.6511759485330606E11	-1.5820737567116536E12
3.838725241093095E11	-1.6159416850771917E12
5.024788563185555E11	-1.6492018631321277E12
6.209143337100316E11	-1.6819082682200298E12
7.391633672836725E11	-1.7141128764372817E12
8.572164109640814E11	-1.7458646376073027E12
9.750688837817775E11	-1.777208806374642E12
1.0927200767184741E12	-1.8081866342668633E12
1.2101721815029246E12	-1.8388353348920156E12
1.327429481267149E12	-1.8691882312010925E12
1.4444977028385007E12	-1.8992750111489385E12
1.5613835134158606E12	-1.9291220381740293E12
1.6780941386000186E12	-1.958752680140785E12
1.7946370785949634E12	-1.9881876337397117E12
1.9110199016675576E12	-2.0174452308574927E12
2.0272500972238518E12	-2.0465417198729968E12
2.1433349741985525E12	-2.0754915191122275E12
2.2592815933870854E12	-2.1043074422773262E12
2.375096724898678E12	-2.1330008971383557E12
2.49078682398573E12	-2.161582059595295E12
2.606358020123655E12	-2.190060025540135E12
2.721816115508394E12	-2.218442943014531E12
2.837166590105195E12	-2.2467381270722925E12
2.9524146111154976E12	-2.274952159549783E12
3.067565045316342E12	-2.303090975736434E12
3.1826224731412754E12	-2.3311599397200947E12
3.297591203684502E12	-2.359163909951991E12
3.4124752900500264E12	-2.3871072963770947E12
3.5272785446339214E12	-2.4149941102874927E12
3.642004554064022E12	-2.4428280078917695E12
3.7566566936155503E12	-2.4706123284611763E12
3.871238140979077E12	-2.4983501277857036E12
3.985751889311128E12	-2.526044207566891E12
4.1002007595310513E12	-2.5536971412887866E12
4.2145874118503228E12	-2.581311297038674E12
4.328914356587749E12	-2.6088888576694795E12
4.443183964206894E12	-2.6364318386102407E12
4.557398474644848E12	-2.663942103735619E12
4.671560006008901E12	-2.691421379444717E12
4.78567056263354E12	-2.7188712672037817E12
4.899732042550474E12	-2.7462932547474043E12
5.013746244412843E12	-2.7736887261010356E12
5.127714873912185E12	-2.801058970564925E12
5.241639549727489E12	-2.828405190782259E12
5.355521809041535E12	-2.855728509999277E12
5.469363112656466E12	-2.883029978608655E12
5.583164849740265E12	-2.910310580056579E12
5.696928342232545E12	-2.937571236184401E12
5.81065484893643E12	-2.964812812066075E12
5.924345569321005E12	-2.9920361203964746E12
6.038001647055789E12	-3.0192419254778486E12
6.151624173298418E12	-3.0464309468456733E12
6.265214189755244E12	-3.073603862572194E12
6.378772691531503E12	-3.100761312280049E12
6.492300629787459E12	-3.1279038998952266E12
6.605798914215031E12	-3.1550321961652754E12
6.719268415348573E12	-3.182146740965253E12
6.832709966722792E12	-3.2092480454125522E12
6.946124366888822E12	-3.23633659380882E12
7.059512381298736E12	-3.263412845424853E12
7.172874744068749E12	-3.2904772361433E12
7.286212159629777E12	-3.3175301799722666E12
7.399525304273798E12	-3.344572070441442E12
7.512814827603196E12	-3.371603281891621E12
7.626081353890116E12	-3.3986241706664575E12
7.7393254833524375E12	-3.4256350762153496E12
7.852547793352225E12	-3.4526363221151665E12
7.96574883952205E12	-3.479628217017656E12
8.078929156824027E12	-3.506611055528828E12
8.192089260546228E12	-3.5335851190258423E12
8.305229647241195E12	-3.560550676416662E12
8.418350795610126E12	-3.5875079848471978E12
8.531453167335991E12	-3.614457290360128E12
8.644537207869834E12	-3.641398828509036E12
8.757603347172661E12	-3.6683328249315776E12
8.870652000416055E12	-3.69525949588487E12
8.983683568644422E12	-3.722179048745887E12
9.096698439400906E12	-3.749091682479649E12
9.209696987319275E12	-3.7759975880774385E12
9.322679574684723E12	-3.8028969489674346E12
9.435646551964455E12	-3.8297899413997915E12
9.5485982583106E12	-3.856676734807936E12
9.661535022036975E12	-3.8835574921477856E12
9.774457161071148E12	-3.910432370216548E12
9.887364983383803E12	-3.9373015199524126E12
1.0000258787395834E13	-3.964165086716698E12
1.0113138862365578E13	-3.9910232105593774E12
1.0226005488756521E13	-4.017876026469273E12
1.0338858938587006E13	-4.0447236646099424E12
1.045169947576302E13	-4.0715662505422485E12
1.0564527356394611E13	-4.0984039054344253E12
1.0677342829097482E13	-4.1252367462604478E12
1.0790146135280115E13	-4.1520648859874985E12
1.0902937509417408E13	-4.1788884337533438E12
1.101571717931154E13	-4.2057074950340347E12
1.1128485366340965E13	-4.2325221718027217E12
1.124124228569771E13	-4.259332562680067E12
1.1353988146614035E13	-4.286138763076777E12
1.146672315257912E13	-4.312940865328755E12
1.157944750154564E13	-4.3397389588254043E12
1.1692161386127543E13	-4.366533130131211E12
1.1804864993788977E13	-4.3933234631013833E12
1.191755850702511E13	-4.420110038991648E12
1.2030242103535043E13	-4.446892936562602E12
1.2142915956387436E13	-4.473672232179014E12
1.2255580234178902E13	-4.500447999904199E12
1.236823510118613E13	-4.527220311589983E12
1.248088071751105E13	-4.553989236962246E12
1.25935172392206E13	-4.580754843702526E12
1.270614481848028E13	-4.607517197525764E12
1.2818763603682602E13	-4.6342763622543955E12
1.2931373739570143E13	-4.661032399889098E12
1.304397536735366E13	-4.687785370676288E12
1.3156568624825676E13	-4.714535333172518E12
1.3269153646469213E13	-4.741282344306062E12
1.3381730563562809E13	-4.768026459435675E12
1.3494299504280773E13	-4.79476773240692E12
1.3606860593790248E13	-4.821506215605808E12
1.3719413954344014E13	-4.848241960010274E12
1.3831959705370031E13	-4.874975015239392E12
1.3944497963557488E13	-4.901705429600508E12
1.4057028842939717E13	-4.928433250134313E12
1.4169552454973838E13	-4.955158522658148E12
1.4282068908617725E13	-4.981881291807408E12
1.4394578310403807E13	-5.008601601075161E12
1.4507080764510527E13	-5.035319492850453E12
1.461957637283089E13	-5.062035008454668E12
1.4732065235038592E13	-5.088748188176682E12
1.4844547448652084E13	-5.11545907130646E12
1.495702310909598E13	-5.142167696167502E12
1.5069492309760441E13	-5.16887410014777E12
1.5181955142058531E13	-5.195578319729572E12
1.5294411695481488E13	-5.222280390518234E12
1.5406862057651969E13	-5.248980347269599E12
1.5519306314375781E13	-5.275678223916616E12
1.5631744549691463E13	-5.302374053594768E12
1.57441768459185E13	-5.329067868666546E12
1.5856603283703705E13	-5.355759700745179E12
1.5969023942065984E13	-5.382449580717199E12
1.608143889843993E13	-5.409137538764346E12
1.619384822871762E13	-5.435823604384631E12
1.6306252007289266E13	-5.462507806412583E12
1.6418650307082322E13	-5.489190173038809E12
1.6531043199599549E13	-5.515870731828829E12
1.6643430754955777E13	-5.542549509741119E12
1.675581304191334E13	-5.569226533144723E12
1.6868190127916654E13	-5.595901827835991E12
1.6980562079125447E13	-5.622575419054973E12
1.7092928960447125E13	-5.649247331501014E12
1.720529083556805E13	-5.675917589347938E12
1.731764776698381E13	-5.702586216258621E12
1.7429999816028746E13	-5.729253235399233E12
1.7542347042904322E13	-5.755918669452708E12
1.7654689506706812E13	-5.782582540632015E12
1.7767027265454125E13	-5.809244870692862E12
1.7879360376111746E13	-5.835905680945991E12
1.7991688894618117E13	-5.862564992269063E12
1.8104012875908926E13	-5.889222825118209E12
1.8216332373940977E13	-5.915879199539101E12
1.8328647441715227E13	-5.942534135177708E12
1.8440958131299246E13	-5.969187651290842E12
1.8553264493848973E13	-5.995839766756026E12
1.866556657962977E13	-6.022490500081487E12
