Charon X	Charon Y
1.6131742424814917E12	-4.740119512410291E12
1.6320862523441035E12	-4.737907795309096E12
1.6510197848624617E12	-4.735577542398145E12
1.6698841067311133E12	-4.73323455954176E12
1.688774873256851E12	-4.730778388831165E12
1.7075919201075542E12	-4.728301436978068E12
1.7264363969940835E12	-4.725724617118491E12
1.7452097778313523E12	-4.72310906592316E12
1.7640010523234788E12	-4.720418056119176E12
1.7827374270082815E12	-4.717659552401718E12
1.801466744278565E12	-4.714858326974385E12
1.820172363047101E12	-4.71195784755572E12
1.8388347809005889E12	-4.709041996923211E12
1.8575080426386462E12	-4.706011250216485E12
1.8761104520123137E12	-4.702965102201918E12
1.8947356823548164E12	-4.699824482713599E12
1.9132978851713381E12	-4.696630344006454E12
1.9318524632722612E12	-4.69339210789069E12
1.9503901412696218E12	-4.690052050485086E12
1.9688695377356423E12	-4.686699806587483E12
1.9873685619606897E12	-4.683245013638169E12
2.0058013438045469E12	-4.679745109726857E12
2.0242253182279211E12	-4.676200499514185E12
2.0426370108969106E12	-4.6725535969470625E12
2.0609836574580737E12	-4.668891376199177E12
2.0793452986708438E12	-4.665144679671491E12
2.0976602906880815E12	-4.661325889781554E12
2.1159333227527212E12	-4.657487070359296E12
2.1342183770594712E12	-4.653547842103356E12
2.1524416823397292E12	-4.649559961847755E12
2.1706399416202913E12	-4.645539505175474E12
2.1888416139243335E12	-4.641417853039565E12
2.2069788303350054E12	-4.637256535804005E12
2.2250955684968E12	-4.633057257673376E12
2.2432125462724995E12	-4.62875956999181E12
2.2612673857299453E12	-4.624419790549967E12
2.2792954227300933E12	-4.620046104480086E12
2.2973262702414404E12	-4.615578548975272E12
2.3153029817371304E12	-4.611056307229282E12
2.333237793043318E12	-4.606508639735785E12
2.351175983940821E12	-4.601880089586753E12
2.36907890198417E12	-4.597176410614E12
2.3869243174356475E12	-4.592446903465801E12
2.404758117523865E12	-4.587663805226372E12
2.422582237379222E12	-4.582792899866345E12
2.440353207657739E12	-4.577871978196557E12
2.458080904837497E12	-4.572922450667566E12
2.475802693022348E12	-4.567905802886814E12
2.493503901093562E12	-4.562808374933247E12
2.511151525951867E12	-4.557666695257828E12
