Moon X	Moon Y
-3.034363260392385E10	1.4515517670293912E11
-1.1956366740852924E11	8.674830000089645E10
-1.4844996693802863E11	-1.4407091899742195E10
-1.029039982944826E11	-1.0933775932359514E11
-8.643271276916456E9	-1.5053448541660693E11
9.090520798818614E10	-1.2111519165713765E11
1.4629288406662576E11	-3.3514769056138702E10
1.3227984367407945E11	7.009708507493869E10
5.117990574858537E10	1.3923834812747464E11
-5.4654575929198074E10	1.3762606729233194E11
-1.33727111637201E11	6.544087386830288E10
-1.4396233205820587E11	-3.916825498670815E10
-8.46145258274782E10	-1.2487932848149121E11
1.6238061975288664E10	-1.4981623595330774E11
1.0841370828765651E11	-1.0469574560796136E11
1.497274305166178E11	-8.478245768215582E9
1.174666425985094E11	9.093287512525201E10
2.657510906427109E10	1.462810999341254E11
-7.828074536007704E10	1.2575712117023314E11
-1.4324798557255576E11	4.238386389072269E10
-1.3624749547144453E11	-6.334926252991407E10
-6.339791726499226E10	-1.3666410323149658E11
3.998672681468074E10	-1.4584482946295428E11
1.2342107972103194E11	-8.489807521715474E10
1.485528548733851E11	1.5860626119389606E10
9.947156458987112E10	1.0981338431231958E11
1.0217515532021507E9	1.4798243493749646E11
-9.961754393134157E10	1.1083267874411429E11
-1.485211860514331E11	1.7040980143370407E10
-1.2501428452238899E11	-8.514101643223512E10
-4.00469678954547E10	-1.457158211346914E11
6.219306596873383E10	-1.3748685540943738E11
1.3574741930763924E11	-6.361337851689496E10
1.4260097349695224E11	4.00303487999373E10
7.946255841455023E10	1.2489360047995549E11
-2.5278267284834118E10	1.4535680486779752E11
-1.170347265909183E11	9.234340791457051E10
-1.502298456842801E11	-8.978496135199373E9
-1.0929099321825194E11	-1.0462144055780736E11
-1.6233228254947935E10	-1.512717172975577E11
8.370418957862872E10	-1.251783041852982E11
1.4387051102138806E11	-4.123320570151226E10
1.3340660353313747E11	6.359634680561668E10
5.685279537311658E10	1.3555220499642688E11
-5.022811289802733E10	1.391172738313393E11
-1.3107925577809718E11	7.025491946509776E10
-1.4734647865959952E11	-3.39294301939132E10
-9.03564214431851E10	-1.2211082015122325E11
8.048355481305441E9	-1.519271380840396E11
1.0342112879771451E11	-1.103107019805029E11
1.4783138940886392E11	-1.6958689951295626E10
1.2112495535866052E11	8.465699225983629E10
3.2118190410952763E10	1.42837004696288E11
-7.2823884993055E10	1.2830032900134665E11
-1.4190291050211862E11	4.652711722986059E10
-1.393163496330708E11	-5.813145747258052E10
-6.963084493089592E10	-1.3608751630013924E11
3.315606277430639E10	-1.4842850613391898E11
1.1967077230887743E11	-9.256769479223737E10
1.48659954451781E11	8.158591183220861E9
1.047864087273764E11	1.0298051153171819E11
7.301469426066588E9	1.4654015294089478E11
-9.367852843844513E10	1.1318840353391939E11
-1.4795768733464636E11	2.229971628953517E10
-1.2759148196094653E11	-8.13395188725774E10
-4.66310906166075E10	-1.4539494797603217E11
5.7409004021772095E10	-1.416068915536128E11
1.327909580012036E11	-7.124788133953947E10
1.4562334565686264E11	3.241980799183312E10
8.521534512862187E10	1.1934488748338261E11
-1.722777419543011E10	1.453855520265838E11
-1.1223799795627696E11	9.562839425878462E10
-1.49098424007131E11	-2.9196844018790274E9
-1.1300274689328676E11	-1.015698427712105E11
-2.1564433540103268E10	-1.5089885595704846E11
7.928621081526422E10	-1.3054076640563983E11
1.4309921159981754E11	-4.786021907010812E10
1.3757902772381326E11	5.5928617783975525E10
6.392902324481765E10	1.3260363214430371E11
-4.2136338173113434E10	1.3982727339614764E11
-1.2684585896253592E11	7.587736253239534E10
-1.467428586356791E11	-2.8441588814192142E10
-9.484202818811938E10	-1.1822789519994771E11
3.496131824238872E9	-1.5290371306798694E11
9.92525276518466E10	-1.1504133335536678E11
1.4912922070492206E11	-2.386177387876498E10
1.2557416203442883E11	7.882301053044989E10
4.071222350544451E10	1.412354736220803E11
-6.611050069028123E10	1.3104786208692696E11
-1.3758856908017578E11	5.321653877828516E10
-1.4081915116297507E11	-5.2302500573948E10
-7.368031829739903E10	-1.3220273101342035E11
2.7669405335508877E10	-1.5015081535561172E11
1.1712316838104053E11	-9.679719320242029E10
1.5010751823000592E11	1.2078160493710008E9
1.1063566823831773E11	9.932613660950044E10
1.5265070772620018E10	1.4586104613538654E11
-8.744440041960312E10	1.185416990149161E11
-1.4532924072303784E11	2.887622677652363E10
-1.3033914018087381E11	-7.432340870382378E10
-5.142281510313441E10	-1.4298267780237067E11
5.155906105768321E10	-1.427836631215081E11
1.3106664234836761E11	-7.656225001550737E10
1.4712336388234836E11	2.6996245479331676E10
9.200329942049698E10	1.1616529203212445E11
-1.063415094412463E10	1.469712440401897E11
-1.0645763104597932E11	1.0164215043522911E11
-1.4917000958845663E11	4.49173650700774E9
-1.1621809815582364E11	-9.518797677426172E10
-2.8303838969438236E10	-1.4920784266821066E11
7.436169292635112E10	-1.3238674720666496E11
1.407163090305527E11	-5.372526210395925E10
1.404993822602728E11	5.1349391300570625E10
6.979750805231839E10	1.2989943677508139E11
-3.5560799106139915E10	1.4328120983646872E11
-1.2330151034410828E11	8.176213719925142E10
-1.4801891992382724E11	-2.021707404961033E10
-9.982622876584105E10	-1.1368525717257458E11
-3.695115027537924E9	-1.5136589578913742E11
9.429565688384506E10	-1.189803312486431E11
1.4712410542308994E11	-2.9105681403010174E10
1.2921950779546492E11	7.349277064658833E10
4.601292731751229E10	1.403391955860373E11
-5.988684477177847E10	1.3443921007698137E11
-1.3628423167090912E11	6.012216914860332E10
-1.4285876413456836E11	-4.537106217014871E10
-8.072817654297737E10	-1.2838357260127742E11
2.1102700893431225E10	-1.5044592583865442E11
1.1142959384840352E11	-1.0171942821718608E11
1.498354985184653E11	-4.612462751570676E9
1.1374809425825175E11	9.405522595161813E10
2.1486421964227802E10	1.4586840834742743E11
-8.311153308474953E10	1.2193235171082635E11
-1.4453905013245898E11	3.6186316556449486E10
-1.3444511954645009E11	-6.914747449454828E10
-5.8529408739035545E10	-1.3991187110974265E11
4.455837218704047E10	-1.4569711327279993E11
1.2646969389854611E11	-8.175003226196523E10
1.4767321676613107E11	1.954818629677076E10
9.584512589569833E10	1.1212065985758658E11
-4.226607362249043E9	1.4641776702349646E11
-1.0312777244463411E11	1.0626529616676692E11
