Voyager 2 X	Voyager 2 Y
4.801145145701375E12	-1.3192864591455027E13
4.816413479387941E12	-1.3226734536765227E13
4.83168025468581E12	-1.3260600202457943E13
4.846945481095483E12	-1.3294461617209475E13
4.862209168031958E12	-1.3328318809413316E13
4.877471324825739E12	-1.3362171807183572E13
4.89273196072386E12	-1.3396020638358693E13
4.907991084890826E12	-1.3429865330505117E13
4.923248706409628E12	-1.3463705910920582E13
4.93850483428271E12	-1.3497542406637621E13
4.953759477432865E12	-1.353137484442691E13
4.969012644704211E12	-1.3565203250800783E13
4.984264344863065E12	-1.3599027652016305E13
4.999514586598855E12	-1.363284807407856E13
5.014763378524966E12	-1.3666664542743791E13
5.030010729179655E12	-1.3700477083522697E13
5.045256647026861E12	-1.3734285721683256E13
5.060501140457086E12	-1.3768090482254021E13
5.075744217788144E12	-1.3801891390026959E13
5.090985887266103E12	-1.383568846956042E13
5.106226157065888E12	-1.3869481745181998E13
5.12146503529226E12	-1.3903271240991398E13
5.13670252998043E12	-1.3937056980863361E13
5.151938649096956E12	-1.3970838988450225E13
5.16717340054039E12	-1.4004617287184818E13
5.18240679214208E12	-1.4038391900282955E13
5.197638831666902E12	-1.407216285074632E13
5.212869526813914E12	-1.4105930161364764E13
5.22809888521714E12	-1.4139693854719111E13
5.243326914446289E12	-1.4173453953183592E13
5.258553622007353E12	-1.4207210478928188E13
5.273779015343389E12	-1.4240963453921264E13
5.289003101835183E12	-1.4274712899931885E13
5.30422588880189E12	-1.4308458838532156E13
5.319447383501743E12	-1.4342201291099646E13
5.334667593132713E12	-1.4375940278819443E13
5.349886524833122E12	-1.4409675822686768E13
5.365104185682339E12	-1.444340794350887E13
5.380320582701427E12	-1.4477136661907416E13
5.395535722853713E12	-1.4510861998320629E13
5.410749613045512E12	-1.4544583973005402E13
5.42596226012669E12	-1.4578302606039266E13
5.441173670891316E12	-1.4612017917322783E13
5.456383852078211E12	-1.4645729926581203E13
5.471592810371592E12	-1.467943865336675E13
5.486800552401661E12	-1.4713144117060588E13
5.50200708474524E12	-1.4746846336874562E13
5.517212413926232E12	-1.4780545331853367E13
5.532416546416285E12	-1.481424112087635E13
5.547619488635376E12	-1.4847933722659412E13
5.562821246952278E12	-1.4881623155756836E13
5.578021827685241E12	-1.4915309438563127E13
5.593221237102385E12	-1.4948992589314959E13
5.608419481422367E12	-1.4982672626092635E13
5.623616566814802E12	-1.50163495668222E13
5.63881249940088E12	-1.5050023429276938E13
5.654007285253746E12	-1.508369423107921E13
5.669200930399116E12	-1.5117361989702166E13
5.684393440815769E12	-1.5151026722471232E13
5.699584822435927E12	-1.5184688446565883E13
5.714775081145826E12	-1.5218347179021295E13
5.729964222786166E12	-1.5252002936729912E13
5.745152253152557E12	-1.5285655736443014E13
5.760339177995992E12	-1.5319305594772273E13
5.7755250030232705E12	-1.535295252819124E13
5.790709733897485E12	-1.5386596553037021E13
5.805893376238436E12	-1.5420237685511588E13
5.821075935623046E12	-1.5453875941683324E13
5.836257417585797E12	-1.5487511337488518E13
5.851437827619139E12	-1.5521143888732744E13
5.866617171173952E12	-1.555477361109232E13
5.881795453659869E12	-1.5588400520115594E13
5.896972680445778E12	-1.5622024631224531E13
5.912148856860146E12	-1.5655645959715805E13
5.927323988191401E12	-1.5689264520762328E13
5.942498079688413E12	-1.572288032941456E13
5.957671136560772E12	-1.5756493400601727E13
5.97284316397924E12	-1.5790103749133096E13
5.988014167076111E12	-1.5823711389699373E13
6.003184150945531E12	-1.5857316336873822E13
6.018353120643965E12	-1.5890918605113582E13
6.03352108119045E12	-1.5924518208760777E13
6.048688037567068E12	-1.5958115162043879E13
6.063853994719186E12	-1.5991709479078754E13
6.079018957555921E12	-1.6025301173869828E13
6.094182930950382E12	-1.6058890260311414E13
6.109345919740108E12	-1.6092476752188629E13
6.124507928727377E12	-1.6126060663178652E13
6.139668962679522E12	-1.6159642006851799E13
6.154829026329288E12	-1.6193220796672678E13
6.169988124375187E12	-1.6226797046001117E13
6.185146261481762E12	-1.6260370768093355E13
6.200303442280001E12	-1.6293941976103121E13
6.215459671367563E12	-1.6327510683082549E13
6.230614953309188E12	-1.6361076901983344E13
6.245769292636993E12	-1.6394640645657668E13
6.260922693850691E12	-1.6428201926859293E13
6.276075161418045E12	-1.6461760758244451E13
6.291226699775082E12	-1.6495317152372855E13
6.306377313326404E12	-1.6528871121708723E13
6.321527006445529E12	-1.6562422678621633E13
6.336675783475158E12	-1.6595971835387586E13
6.351823648727467E12	-1.6629518604189818E13
6.366970606484396E12	-1.6663062997119826E13
6.382116660997942E12	-1.6696605026178213E13
6.397261816490454E12	-1.6730144703275578E13
6.412406077154914E12	-1.676368204023345E13
6.427549447155132E12	-1.679721704878519E13
6.442691930626144E12	-1.6830749740576742E13
6.457833531674412E12	-1.686428012716763E13
6.472974254378103E12	-1.689780822003173E13
6.488114102787332E12	-1.6931334030558045E13
6.503253080924451E12	-1.6964857570051678E13
6.51839119278427E12	-1.6998378849734617E13
6.533528442334338E12	-1.7031897880746455E13
6.548664833515158E12	-1.7065414674145238E13
6.563800370240441E12	-1.7098929240908281E13
6.578935056397437E12	-1.7132441591932936E13
6.594068895846967E12	-1.7165951738037285E13
6.609201892423885E12	-1.719945968996116E13
6.624334049937159E12	-1.7232965458366443E13
6.639465372170118E12	-1.7266469053838324E13
6.654595862880784E12	-1.7299970486885658E13
6.669725525801912E12	-1.7333469767941871E13
6.684854364641375E12	-1.7366966907365656E13
6.699982383082286E12	-1.740046191544164E13
6.715109584783194E12	-1.7433954802381121E13
6.730235973378416E12	-1.7467445578322732E13
6.745361552478115E12	-1.750093425333316E13
6.760486325668528E12	-1.75344208374078E13
6.775610296512204E12	-1.7567905340471412E13
6.790733468548267E12	-1.760138777237879E13
6.805855845292476E12	-1.763486814291552E13
6.820977430237467E12	-1.766834646179826E13
6.836098226853021E12	-1.7701822738676027E13
6.851218238586188E12	-1.7735296983130227E13
6.866337468861515E12	-1.7768769204675383E13
6.881455921081196E12	-1.7802239412760047E13
6.896573598625282E12	-1.7835707616767168E13
6.91169050485191E12	-1.7869173826014645E13
6.926806643097438E12	-1.7902638049756082E13
6.941922016676637E12	-1.793610029718114E13
6.957036628882901E12	-1.7969560577416582E13
6.972150482988397E12	-1.80030188995263E13
6.987263582244304E12	-1.8036475272512203E13
7.002375929880928E12	-1.8069929705314496E13
7.017487529107905E12	-1.8103382206812637E13
7.032598383114432E12	-1.81368327858256E13
7.047708495069341E12	-1.8170281451112574E13
7.062817868121351E12	-1.8203728211373234E13
7.077926505399243E12	-1.823717307524854E13
7.093034410011994E12	-1.827061605132105E13
7.108141585048985E12	-1.830405714811568E13
7.123248033580124E12	-1.833749637410004E13
7.138353758656061E12	-1.8370933737685E13
7.153458763308311E12	-1.840436924722507E13
7.168563050549416E12	-1.8437802911019137E13
7.183666623373197E12	-1.847123473731078E13
7.198769484754766E12	-1.8504664734288715E13
7.213871637650808E12	-1.853809291008754E13
7.22897308499968E12	-1.8571519272787766E13
7.244073829721547E12	-1.8604943830416793E13
7.259173874718566E12	-1.863836659094904E13
7.274273222875061E12	-1.8671787562306508E13
7.2893718770575625E12	-1.870520675235929E13
7.304469840115064E12	-1.8738624168925848E13
7.319567114879102E12	-1.877203981977363E13
7.334663704163955E12	-1.8805453712619434E13
7.349759610766692E12	-1.8838865855130055E13
7.364854837467382E12	-1.8872276254922367E13
7.379949387029236E12	-1.8905684919563945E13
7.395043262198664E12	-1.8939091856573457E13
7.410136465705492E12	-1.897249707342116E13
7.425229000263037E12	-1.9005900577529234E13
7.4403208685682295E12	-1.90393023762722E13
7.455412073301829E12	-1.9072702476977273E13
7.470502617128439E12	-1.9106100886924816E13
7.485592502696686E12	-1.9139497613348918E13
7.500681732639371E12	-1.9172892663437457E13
7.515770309573516E12	-1.9206286044332633E13
7.530858236100557E12	-1.9239677763131438E13
7.545945514806394E12	-1.927306782688596E13
7.561032148261608E12	-1.930645624260375E13
7.57611813902152E12	-1.933984301724819E13
7.591203489626267E12	-1.937322815773888E13
7.606288202601004E12	-1.9406611670952016E13
7.621372280455944E12	-1.9439993563720656E13
7.636455725686552E12	-1.9473373842835188E13
7.651538540773595E12	-1.9506752515043824E13
7.666620728183293E12	-1.9540129587052465E13
7.681702290367399E12	-1.9573505065525523E13
7.696783229763326E12	-1.9606878957086047E13
7.711863548794275E12	-1.96402512683163E13
7.726943249869311E12	-1.967362200575757E13
7.742022335383499E12	-1.9706991175910918E13
7.757100807718027E12	-1.9740358785237477E13
7.772178669240283E12	-1.977372484015883E13
7.787255922303919E12	-1.9807089347056906E13
7.8023325692491E12	-1.984045231227492E13
7.817408612402456E12	-1.9873813742117152E13
7.832484054077281E12	-1.9907173642849613E13
7.847558896573573E12	-1.9940532020700094E13
7.862633142178193E12	-1.9973888881858715E13
7.877706793164937E12	-2.000724423247808E13
7.892779851794659E12	-2.004059807867345E13
7.90785232031536E12	-2.0073950426523465E13
7.922924200962276E12	-2.010730128206999E13
7.937995495957954E12	-2.0140650651318516E13
7.953066207512428E12	-2.017399854023862E13
7.968136337823249E12	-2.0207344954764184E13
7.983205889075589E12	-2.024068990079348E13
7.998274863442394E12	-2.027403338418978E13
8.013343263084371E12	-2.0307375410781348E13
8.028411090150204E12	-2.0340715986361883E13
8.043478346776505E12	-2.037405511669074E13
8.058545035088053E12	-2.0407392807493113E13
8.073611157197776E12	-2.0440729064460508E13
8.088676715206885E12	-2.0474063893250742E13
8.10374171120495E12	-2.050739729948841E13
8.118806147269996E12	-2.0540729288765137E13
8.133870025468558E12	-2.0574059866639734E13
8.148933347855808E12	-2.0607389038638492E13
8.163996116475638E12	-2.064071681025543E13
8.17905833336066E12	-2.067404318695261E13
8.194120000532431E12	-2.0707368174160316E13
8.209181120001357E12	-2.0740691777277332E13
8.224241693766945E12	-2.0774014001671215E13
8.239301723817775E12	-2.0807334852678273E13
8.254361212131572E12	-2.0840654335604336E13
8.269420160675357E12	-2.0873972455724367E13
8.28447857140545E12	-2.0907289218283246E13
8.29953644626761E12	-2.0940604628495777E13
8.314593787197031E12	-2.0973918691546676E13
8.329650596118492E12	-2.1007231412591285E13
8.344706874946348E12	-2.1040542796755418E13
8.359762625584677E12	-2.107385284913572E13
8.374817849927329E12	-2.110716157479983E13
8.389872549857986E12	-2.114046897878675E13
8.404926727250215E12	-2.11737750661068E13
8.419980383967596E12	-2.120707984174219E13
8.435033521863746E12	-2.124038331064685E13
8.450086142782345E12	-2.1273685477746934E13
8.465138248557306E12	-2.1306986347940805E13
8.480189841012804E12	-2.1340285926099477E13
8.495240921963271E12	-2.1373584217066703E13
8.510291493213608E12	-2.1406881225658953E13
8.525341556559139E12	-2.144017695666599E13
8.540391113785695E12	-2.147347141485088E13
8.55544016666971E12	-2.150676460495009E13
8.570488716978281E12	-2.1540056531673973E13
8.585536766469196E12	-2.157334719970671E13
8.600584316891103E12	-2.1606636613706535E13
8.615631369983438E12	-2.163992477830596E13
8.630677927476584E12	-2.1673211698112113E13
8.64572399109192E12	-2.1706497377706668E13
8.66076956254188E12	-2.1739781821646047E13
8.675814643529965E12	-2.177306503446182E13
8.6908592357509E12	-2.1806347020660766E13
8.705903340890641E12	-2.1839627784724965E13
8.720946960626464E12	-2.1872907331112156E13
8.73599009662697E12	-2.1906185664255617E13
8.751032750552225E12	-2.1939462788564734E13
8.766074924053733E12	-2.1972738708424996E13
8.781116618774579E12	-2.200601342819799E13
8.796157836349473E12	-2.2039286952221793E13
8.811198578404746E12	-2.207255928481104E13
8.826238846558447E12	-2.2105830430257332E13
8.841278642420414E12	-2.213910039282881E13
8.856317967592328E12	-2.2172369176771105E13
8.871356823667715E12	-2.2205636786306883E13
8.88639521223211E12	-2.223890322563629E13
8.901433134863021E12	-2.2272168498937023E13
8.91647059312997E12	-2.230543261036458E13
8.931507588594541E12	-2.2338695564052277E13
8.946544122810543E12	-2.2371957364111652E13
8.961580197323992E12	-2.24052180146322E13
8.9766158136732E12	-2.2438477519682027E13
8.991650973388611E12	-2.247173588330753E13
9.006685677993227E12	-2.250499310953406E13
9.021719929002312E12	-2.25382492023654E13
9.036753727923633E12	-2.2571504165784695E13
9.051787076257422E12	-2.2604758003753992E13
9.066819975496512E12	-2.2638010720214574E13
9.081852427126299E12	-2.267126231908731E13
9.096884432624873E12	-2.270451280427246E13
9.111915993462928E12	-2.2737762179649875E13
9.126947111103979E12	-2.277101044907943E13
9.141977787004258E12	-2.2804257616401016E13
9.157008022612857E12	-2.283750368543446E13
9.172037819371746E12	-2.2870748659979926E13
9.187067178715834E12	-2.2903992543817992E13
9.202096102072953E12	-2.2937235340709637E13
9.21712459086393E12	-2.2970477054396457E13
9.232152646502748E12	-2.300371768860097E13
9.247180270396367E12	-2.303695724702657E13
9.262207463944979E12	-2.3070195733357742E13
9.277234228541883E12	-2.3103433151259875E13
9.292260565573742E12	-2.3136669504379977E13
9.307286476420355E12	-2.3169904796346234E13
9.322311962454914E12	-2.320313903076853E13
9.337337025043986E12	-2.323637221123832E13
9.352361665547537E12	-2.3269604341328945E13
9.367385885318887E12	-2.330283542459562E13
9.382409685705016E12	-2.333606546457552E13
9.397433068046266E12	-2.336929446478804E13
9.412456033676727E12	-2.34025224287348E13
9.427478583923959E12	-2.3435749359899914E13
