Mercury X	Mercury Y
-5.865088183038707E10	-6.946346196158681E9
4.298037184306656E10	-4.4245817850376205E10
-5.4154069920051414E10	1.1669529359793344E10
3.100379856847714E10	-5.6476483824703186E10
-4.305225115144991E10	2.8890341617578575E10
1.6689877661121683E10	-6.442809337286407E10
-2.5490629831518402E10	4.179164020697108E10
1.2328068891352122E9	-6.7961698121872215E10
-3.349783734161081E9	4.7142365875640366E10
-1.4314228356176197E10	-6.710794797379283E10
1.9408713908275524E10	4.2920117819071045E10
-2.8983279840004383E10	-6.2014389776986824E10
3.809866897473536E10	2.990920517240013E10
-4.183042868436043E10	-5.293622295175382E10
4.963625796263405E10	1.1384551537791178E10
-5.18917132629353E10	-4.025938304335422E10
5.338958372136672E10	-8.864307157483192E9
-5.815589246267798E10	-2.457112600076248E10
5.0344873853937126E10	-2.7952577398476463E10
-5.95641308148867E10	-6.769810028467638E9
4.2050066672835686E10	-4.4124889364963615E10
-5.509160913260138E10	1.1748308152542677E10
3.0054281808313423E10	-5.6451748839488945E10
-4.400259350556934E10	2.8869019454417152E10
1.573298341597326E10	-6.450509255139848E10
-2.6441496687286457E10	4.166621882799546E10
2.7891629818808174E8	-6.814070915714794E10
-4.2908353556177363E9	4.6912775390012054E10
-1.5254957493495022E10	-6.738912650265649E10
1.8486145028630825E10	4.258488683069811E10
-2.9897162254240894E10	-6.239758801191295E10
3.7207920570821144E10	2.9471813403442326E10
-4.2704854782574936E10	-5.341811463612467E10
4.8788667816931435E10	1.0849369851686077E10
-5.2715546475060234E10	-4.0835451241793594E10
5.25984621628491E10	-9.49159818662546E9
-5.8916346611391884E10	-2.5233264650911755E10
4.96198889499889E10	-2.8664737679135292E10
-6.025152721529828E10	-7.511371705748601E9
4.139981693000879E10	-4.491598294908551E10
-5.569390693194902E10	1.0932760358840418E10
2.9490009249382545E10	-5.731192170975591E10
-4.451084186736327E10	2.7987394600788532E10
1.5263614104969694E10	-6.5421468064525635E10
-2.684688259934124E10	4.073160176662676E10
-8.826512825743812E7	-6.910131634835922E10
-4.5894530006255455E9	4.593500012216191E10
-1.5514724096785908E10	-6.838058944761868E10
1.8296649952661804E10	4.157704405160719E10
-3.004678699768336E10	-6.3406742264711105E10
3.7126101123347435E10	2.844767967596637E10
-4.274124812641776E10	-5.443208771416686E10
4.881673768932473E10	9.82529395850082E9
-5.2637251513072945E10	-4.183965674399823E10
5.273421399236571E10	-1.0500341115452688E10
-5.8727306822381485E10	-2.621518009066018E10
4.986045581751269E10	-2.9643747769122185E10
-5.99548543844774E10	-8.459348383252602E9
4.1743184772180084E10	-4.584954865163339E10
-5.529646094003708E10	1.0033022919280987E10
2.99294943709063E10	-5.818857187580794E10
-4.402041825431825E10	2.7147032145879406E10
1.579216586130214E10	-6.6230855351480446E10
-2.627375098144677E10	3.996108455066232E10
5.17705756837214E8	-6.983403582249763E10
-3.944815491458891E9	4.524281289055001E10
-1.4841207881930584E10	-6.903061946924236E10
1.9001379329052837E10	4.096939805830361E10
-2.931549974993168E10	-6.396834898237163E10
3.7880030370266304E10	2.7932994131463715E10
-4.196514577424922E10	-5.489957729394795E10
4.9606483360771904E10	9.409840511661076E9
-5.183183469764535E10	-4.220955616513771E10
5.354891964775142E10	-1.0814871269019196E10
-5.7904721089956474E10	-2.648542605877454E10
5.0687930418393456E10	-2.985884152563253E10
-5.912783808003546E10	-8.630031901032797E9
4.257076654098934E10	-4.596814809534955E10
-5.447548607886566E10	9.958043398501797E9
3.0747395682335907E10	-5.821164691053478E10
-4.321736323295321E10	2.716710922638396E10
1.6587494598708334E10	-6.6161196072849915E10
-2.5499862655851097E10	4.007278475289581E10
1.2796364198043644E9	-6.967881049583928E10
-3.207283693719369E9	4.5439378615067215E10
-1.4122983448599665E10	-6.879469320667589E10
1.9692131816046944E10	4.124476033909258E10
-2.8650037750475204E10	-6.3657746788327484E10
3.851634864776033E10	2.8278726550566345E10
-4.135879768374235E10	-5.45217947225111E10
5.018139127823812E10	9.818717582829762E9
-5.12902262262742E10	-4.1773014806096695E10
5.405627280601296E10	-1.0353764235777344E10
-5.743365181023924E10	-2.5999057168596104E10
5.1122986446456635E10	-2.935353027954643E10
-5.872961528346323E10	-8.102901105855949E9
4.2930307248440865E10	-4.54261895805686E10
-5.415417265605373E10	1.051857762269168E10
3.1026194763639973E10	-5.7642245237581985E10
-4.297636513628589E10	2.774894254673089E10
1.6784472127865238E10	-6.557528271526674E10
-2.5340347458960976E10	4.066491069246782E10
1.3949051439431076E9	-6.908509229874203E10
-3.1292362939324713E9	4.603287614519005E10
-1.408746527478827E10	-6.820373788432606E10
1.9690641664424557E10	4.182967190736808E10
-2.8691785164178696E10	-6.307826963043261E10
3.8435104310491394E10	2.8848964708707592E10
-4.147824832791249E10	-5.396291603961941E10
5.00219317145469E10	1.0363913070167025E10
-5.148490876194335E10	-4.1245661021970535E10
5.382418448382144E10	-9.840304382660473E9
-5.769873889198724E10	-2.5510988199552666E10
5.082364725833099E10	-2.888259388677374E10
-5.9061377763109695E10	-7.662473304062393E9
4.256944047166837E10	-4.500458883208202E10
-5.454734685277089E10	1.0903864319750832E10
3.0611286572203163E10	-5.727765104225458E10
-4.342551153995831E10	2.8073785264531895E10
1.6322401947830784E10	-6.5274728747905396E10
-2.583755249224148E10	4.092483265940601E10
8.933105456660595E8	-6.885712644287175E10
-3.6638719714625554E9	4.62232863555104E10
-1.4621502427914454E10	-6.805194438963789E10
1.9128266640194656E10	4.194747903949934E10
-2.9251262349206882E10	-6.300737349386309E10
3.78549935009382E10	2.8887432354953285E10
-4.2051921135479675E10	-5.397761599706486E10
4.9436579585740204E10	1.0321106277115309E10
-5.206278192984463E10	-4.134666719330096E10
5.324443836936177E10	-9.967528816702875E9
-5.8271522457173164E10	-2.5697785101061947E10
5.0261106998557144E10	-2.9095047858642414E10
-5.961731985646745E10	-7.931781950894866E9
4.203229316873579E10	-4.530259686262375E10
-5.507687160869163E10	1.0553269303609976E10
3.0108671997506134E10	-5.766020259499494E10
-4.391577070275037E10	2.764366641706146E10
1.5866124503326984E10	-6.5738363840380875E10
-2.627792672522171E10	4.04198908799295E10
4.941086544102684E8	-6.939389633691832E10
-4.041383355573344E9	4.565274687588291E10
-1.4955093369469828E10	-6.865527669516294E10
1.8822181879621136E10	4.131754326438145E10
-2.9510237523720512E10	-6.3668091399009056E10
3.763028090893168E10	2.8207375693750565E10
-4.222952178324339E10	-5.46854906328993E10
4.929959091739013E10	9.599265403040796E9
-5.215080078515889E10	-4.20917786991147E10
5.320308249419309E10	-1.0719711256947803E10
-5.8263822789807365E10	-2.6467514816749825E10
5.0317669542412254E10	-2.9866121682184895E10
-5.951245188449321E10	-8.714487742168352E9
4.218990320280539E10	-4.608011907625303E10
-5.487173608344455E10	9.770514723237719E9
3.0369796622841198E10	-5.8429759934074875E10
-4.361183763012075E10	2.6876211098350224E10
1.6228884958778738E10	-6.648638528776917E10
-2.587699429109846E10	3.968276952288309E10
9.554192276099725E8	-7.010789430330756E10
-3.5486143916994057E9	4.496071563873941E10
-1.4401360545738354E10	-6.932229368667792E10
1.94052368523567E10	4.068304233036355E10
-2.8870313284437145E10	-6.427836455272154E10
3.829682990133502E10	2.7640666088675106E10
-4.151017561361604E10	-5.522854526662148E10
5.0043923307737885E10	9.111616967766203E9
-5.136357153600899E10	-4.255641459989336E10
5.401338221560021E10	-1.1118863130013834E10
-5.742303742577474E10	-2.6844898355813435E10
5.1183968255625694E10	-3.0172519260557907E10
-5.862947709913338E10	-8.996984498133963E9
4.309893954736038E10	-4.62898901371017E10
-5.396024143413247E10	9.588865567613413E9
3.1308307854502125E10	-5.854061972689474E10
-4.268344606329344E10	2.6799084464642956E10
1.7185170082673935E10	-6.649493716049055E10
-2.494494688528363E10	3.9716108037132805E10
1.9141051732930226E9	-7.001319068304254E10
-2.6234190791523376E9	4.510608276676653E10
