Jupiter X	Jupiter Y
6.013347365481528E11	4.3443949504522455E11
5.720139658754698E11	4.738586930016273E11
5.403008033337153E11	5.1129898780642725E11
5.0633803165788635E11	5.4661286986511847E11
4.70276011649719E11	5.796643072770276E11
4.322750321069178E11	6.103288624156414E11
3.925008780323226E11	6.384947220122604E11
3.511270998128296E11	6.640624070836129E11
3.0833059495116003E11	6.869457675891166E11
2.6429383882251376E11	7.070712941470238E11
2.1920053408133334E11	7.243790827730332E11
1.7323783968352097E11	7.388217778840515E11
1.2659214055218448E11	7.503655269517211E11
7.94513027340636E10	7.589885863434714E11
3.2000601317994106E10	7.646822882450562E11
-1.557498346204163E10	7.674493459151748E11
-6.3094655621326126E10	7.673048657654957E11
-1.1037945470831004E11	7.6427439829287E11
-1.5725594437333774E11	7.583950174267175E11
-2.0355381596080206E11	7.49713154508628E11
-2.4910936993321548E11	7.382857730551086E11
-2.937630803508534E11	7.241780219800687E11
-3.373628719492339E11	7.074645300228822E11
-3.7976165535575366E11	6.882269117700239E11
-4.2082040447227716E11	6.665551894274564E11
-4.604056858265102E11	6.425451795565851E11
-4.983925459439579E11	6.163000593923365E11
-5.3466204984414343E11	5.879276533335377E11
-5.691039909921661E11	5.575421471808645E11
-6.016144561971742E11	5.2526129084708997E11
-6.3209837079913E11	4.9120825848339154E11
-6.604671115835806E11	4.555087833875809E11
-6.866408960056758E11	4.1829316436159064E11
-7.105464543022408E11	3.796933381698109E11
-7.321192757759673E11	3.398450247951489E11
-7.513013572506707E11	2.988847462031027E11
-7.680433190318445E11	2.5695210452742612E11
-7.823022426705328E11	2.1418675265765125E11
-7.940436635325582E11	1.7073079184152255E11
-8.032395102211747E11	1.2672568998013147E11
-8.098699829864469E11	8.23147839298583E10
-8.139215972146764E11	3.764014313088486E10
-8.153889452043855E11	-7.15483497778842E9
-8.142728377480778E11	-5.192861117965604E10
-8.105819488177368E11	-9.653882258035793E10
-8.043310672248416E11	-1.4084550799109183E11
-7.955426375212107E11	-1.8470833890623746E11
-7.84245134671682E11	-2.2798988550039523E11
-7.704745198824686E11	-2.7055278747631198E11
-7.542727408798934E11	-3.122630874265968E11
-7.356890832260485E11	-3.529873805242839E11
-7.147787592322212E11	-3.925962175872838E11
-6.916041180003214E11	-4.309612099269769E11
-6.662333141724818E11	-4.679584570985489E11
-6.387414194006404E11	-5.0346558193198956E11
-6.092092306201102E11	-5.3736518331339294E11
-5.777243267856305E11	-5.695418693042047E11
-5.443799898082809E11	-5.998858243008237E11
-5.092760997362515E11	-6.282898905616418E11
-4.7251805507910065E11	-6.546531875917936E11
-4.342174983296577E11	-6.788781130889348E11
-3.944913421639916E11	-7.008739144285914E11
-3.534624794627362E11	-7.205536618960455E11
-3.112589583910216E11	-7.37837960796275E11
-2.6801451156134967E11	-7.526520669746852E11
-2.2386761989699002E11	-7.649296648467963E11
-1.789617941370076E11	-7.746098407504181E11
-1.3344475238208295E11	-7.816407183324547E11
-8.746876494699678E10	-7.859764289802786E11
-4.118994386742784E10	-7.875809864551797E11
5.231757711560782E9	-7.864254312075963E11
5.163350540000151E10	-7.824915894659237E11
9.784972982436768E10	-7.75768886911026E11
1.4371277205810297E11	-7.662580086019332E11
1.8905300099850107E11	-7.539679849947126E11
2.336997410251717E11	-7.389201096599685E11
2.774819400481569E11	-7.211447691854849E11
3.20229008072662E11	-7.006848512470725E11
3.617711549972666E11	-6.775924982817032E11
4.0194015549006256E11	-6.519329597854011E11
4.405703834042438E11	-6.237814287916327E11
4.7749987111044086E11	-5.932262258149775E11
5.125709415814703E11	-5.603651235256178E11
