Earth X	Earth Y
-3.0221581060717503E10	1.4481978092562537E11
-1.1974166748029716E11	8.711109082829372E10
-1.482282113782548E11	-1.470220110613359E10
-1.0317397129780283E11	-1.0903884048352524E11
-8.327363017869199E9	-1.5072260496983698E11
9.055618565125278E10	-1.2091291025161624E11
1.4664391513767548E11	-3.3606552149980297E10
1.3189253492476013E11	7.01817506062734E10
5.15543120885722E10	1.3926995609691583E11
-5.505252747791173E10	1.376019502984645E11
-1.3339238950108546E11	6.559604224432537E10
-1.4432641402959924E11	-3.932062406137123E10
-8.433023943274022E10	-1.24637501603884E11
1.593735276276926E10	-1.500622948868205E11
1.0859731216227646E11	-1.043590563984113E11
1.4951309954354233E11	-8.807689324865404E9
1.1753791036816841E11	9.130434977101042E10
2.6485623041510494E10	1.4590814058689392E11
-7.831763961172716E10	1.2614315297162395E11
-1.4323810228367294E11	4.200063188428897E10
-1.36415648520587E11	-6.299708215999869E10
-6.325685073444668E10	-1.370215950225882E11
3.9730325813312584E10	-1.455540760817373E11
1.2366060277329826E11	-8.51815714006031E10
1.4820997745576215E11	1.6060442126139496E10
9.978457702973347E10	1.0960548853851582E11
6.353769310163862E8	1.480640030639114E11
-9.925396250468727E10	1.1075637131838991E11
-1.48917712391168E11	1.7014387114911425E10
-1.2465270590079941E11	-8.51131691547212E10
-4.041816752290917E10	-1.4587174508030276E11
6.253432874870392E10	-1.373390894250905E11
1.3543792024765575E11	-6.3868341984975426E10
1.42856311296962E11	4.028872212937653E10
7.923855684817798E10	1.2455594745326987E11
-2.5098696177592617E10	1.4567058392194678E11
-1.1714462096143526E11	9.195401024388437E10
-1.5017554666528568E11	-8.613047227639519E9
-1.0928957584707019E11	-1.0502588460090605E11
-1.630172239669161E10	-1.509212891908686E11
8.383316383877032E10	-1.255619604994665E11
1.437020931885582E11	-4.091099569365847E10
1.3363943515564215E11	6.326912083189993E10
5.656976730642335E10	1.3578708620012003E11
-4.990834996673646E10	1.3887044925101556E11
-1.3140949365266704E11	7.039538885086588E10
-1.469697999151422E11	-3.4062348577676117E10
-9.072776529927858E10	-1.2208122864697311E11
8.447558844109047E9	-1.519513151490906E11
1.0306671404511745E11	-1.1042042593975342E11
1.4821701627927527E11	-1.6852995442231888E10
1.2081442795520459E11	8.44573236269027E10
3.2448618936839367E10	1.4304755259145215E11
-7.305594896591623E10	1.2799700330582614E11
-1.4164283574823654E11	4.682524671218994E10
-1.3943576713432742E11	-5.84867217792024E10
-6.949010749583232E10	-1.3572610659616447E11
3.3140981121164577E10	-1.488093121356238E11
1.1970386976469904E11	-9.218713615582217E10
1.487832316508003E11	7.790092548215751E9
1.0469460087882187E11	1.0335629941454234E11
7.522845596004577E9	1.4622672328045303E11
-9.388445772807652E10	1.1350179166578247E11
-1.476455032278966E11	2.2059393001644913E10
-1.2787558159538287E11	-8.109086703512242E10
-4.625586553661685E10	-1.4551897732669522E11
5.705389632355149E10	-1.414784027770149E11
1.3318599635361702E11	-7.126366522638556E10
1.4525872343098456E11	3.2430884328074196E10
8.56018481300477E10	1.1945695659619475E11
-1.7588073089469254E10	1.452898388895695E11
-1.11905216670289E11	9.584864839438507E10
-1.4939023283105783E11	-3.140535363598856E9
-1.1274388140261539E11	-1.0126231734334593E11
-2.177830211500659E10	-1.511872456526434E11
7.943292365167981E10	-1.3016494604855272E11
1.4299519120999478E11	-4.821396655354411E10
1.3761400174891083E11	5.6330013534941734E10
6.396170471930538E10	1.3224578542727437E11
-4.222589856168255E10	1.4022316307427975E11
-1.2672179695099268E11	7.553764029705673E10
-1.4694498264105835E11	-2.8092130402513363E10
-9.459349014852226E10	-1.1850158512050899E11
3.2019634926330776E9	-1.5262508410251978E11
9.956791114530081E10	-1.1521409116404543E11
1.4876409784410187E11	-2.3692875448663876E10
1.2593463410153731E11	7.874685761004723E10
4.031716400938182E10	1.412958251699672E11
-6.574606492719673E10	1.3111520229424239E11
-1.3798452527173413E11	5.31527533082972E10
-1.4049353303390338E11	-5.213995668521591E10
-7.402922000350146E10	-1.3238417466146211E11
2.793229499846246E10	-1.4988002232627304E11
1.1683817715022507E11	-9.707015343520502E10
1.502556155424006E11	1.5535438374790676E9
1.1046051609072083E11	9.897465724060915E10
1.5316015306596714E10	1.462346739593976E11
-8.751074992276736E10	1.1816281662725418E11
-1.4541206934528506E11	2.925585189671828E10
-1.3028867377495486E11	-7.471039919062567E10
-5.161596508235792E10	-1.4265212102956894E11
5.173724575930878E10	-1.4311977979795413E11
1.3078189089432237E11	-7.629612081882558E10
1.473839857861078E11	2.6725736584668472E10
9.164020411556435E10	1.1631968860985417E11
-1.0293227677581537E10	1.4680318399547552E11
-1.0684565396851317E11	1.0168916103088406E11
-1.4880630352198917E11	4.448064952075325E9
-1.1661005214506836E11	-9.526502471735509E10
-2.7938178731934956E10	-1.491472550142794E11
7.401499902586205E10	-1.325847718825673E11
1.4103175497452615E11	-5.352976555562272E10
1.402204648156222E11	5.106135634874277E10
7.003092554113887E10	1.3017278117587129E11
-3.573652463896378E10	1.4291597137882544E11
-1.2315688122415427E11	8.210285557687172E10
-1.480822956254996E11	-2.0615047543008606E10
-9.982298146704117E10	-1.1332241430974141E11
-3.637476909053809E9	-1.5176724263324744E11
9.419860212109981E10	-1.1863594148774362E11
1.473046228841705E11	-2.946637774265766E10
1.2900061281464606E11	7.378949469209737E10
4.6286773875333984E10	1.40042998737887E11
-6.0189169835539474E10	1.3463282303120808E11
-1.3593099976600127E11	5.992767717323955E10
-1.4320685021167072E11	-4.526444722588014E10
-8.033693574660779E10	-1.2846609013450716E11
2.0732066463374786E10	-1.5048146218132687E11
1.1183066809987717E11	-1.0168197950818878E11
1.495024777469399E11	-4.760389183490483E9
1.1410978903247536E11	9.421875544743437E10
2.120212986195936E10	1.4562340305095947E11
-8.280837539665706E10	1.2218681176268156E11
-1.4471354463701724E11	3.585237344120443E10
-1.342410392722599E11	-6.88085392657316E10
-5.860377001977044E10	-1.4027725790365146E11
4.464340796408697E10	-1.4532152564163074E11
1.2652336677148589E11	-8.213137352468617E10
1.476477211275331E11	1.9935244836827675E10
9.602435264890698E10	1.1178242111229117E11
-4.385958741242775E9	1.4676685042977695E11
-1.0286265404197336E11	1.0598553306261969E11
-1.491764231934612E11	1.0616790266686495E10
-1.2138666259217899E11	-9.057432601890187E10
-3.5117113428282646E10	-1.483996750455123E11
6.752463346161629E10	-1.3638294757590224E11
1.3794648203611417E11	-6.0440670801530685E10
1.4183243097887482E11	4.396192526005713E10
7.53369886032335E10	1.2602524018964395E11
-2.9649630927948544E10	1.434883764518612E11
-1.1970757223559541E11	8.66133540922638E10
-1.4916448788854037E11	-1.498012216544072E10
-1.0497884124000444E11	-1.0986139965233377E11
-1.0466300976017029E10	-1.5253451928481494E11
8.87863316897065E10	-1.237729636559257E11
1.458067394178877E11	-3.7080586213704315E10
1.3219657873152576E11	6.6771648634598465E10
5.266116465298323E10	1.3663342786104758E11
-5.384642367849664E10	1.3601937928926027E11
-1.3284709556446915E11	6.479475925846542E10
-1.447459709247179E11	-4.005509894727052E10
-8.551890017375153E10	-1.2601003147708551E11
1.4615247681108032E10	-1.5245604624513278E11
1.0781378056095227E11	-1.076892691097342E11
1.497926892410404E11	-1.2561809116181215E10
1.1892323021049547E11	8.784476372440176E10
2.8560518321961792E10	1.4337841643173984E11
-7.633900175240254E10	1.2469366373921768E11
-1.4201037433030032E11	4.1246853524218925E10
-1.3615997548369948E11	-6.38196650510858E10
-6.363103275575606E10	-1.3854908029262964E11
3.937574065935296E10	-1.4809138636895157E11
1.2400142591189095E11	-8.850589826433595E10
1.4965958672496188E11	1.2503446585259644E10
1.0228273777884947E11	1.0658154551657585E11
3.644933420194498E9	1.460909826726139E11
-9.653922574024806E10	1.0988574946029579E11
-1.4706975211934262E11	1.6702532772559107E10
-1.2376359846294753E11	-8.560608303012349E10
-4.003331133889451E10	-1.4714547589515988E11
6.306749388302398E10	-1.395494831870595E11
1.3677434321950108E11	-6.67290303997249E10
1.4528214060354056E11	3.7416904640214836E10
8.260539527583035E10	1.2240006715627309E11
-2.1458955608558567E10	1.446659735265935E11
-1.1399082344648184E11	9.199738578421515E10
-1.480165821546174E11	-8.149305211095868E9
-1.080512568841271E11	-1.0487262002759357E11
-1.549141414908526E10	-1.5161013075684665E11
8.492828200660603E10	-1.2713286925065848E11
1.4565419536106525E11	-4.299966172057231E10
1.3666045343658101E11	6.138367860193417E10
6.035063455762492E10	1.3476473516581667E11
-4.6085078023545235E10	1.390550289490351E11
-1.282799041836391E11	7.150295241517656E10
-1.4491132231200275E11	-3.2684134492854435E10
-8.955279361713507E10	-1.2117701269728929E11
9.296037038647438E9	-1.519211984288659E11
1.0431258894219162E11	-1.112397618798804E11
1.5035404714121558E11	-1.8029154208445797E10
1.2396221165832355E11	8.363577318970091E10
3.615580197934134E10	1.4321619978446088E11
-6.95235318818501E10	1.293430791021783E11
-1.390042005835986E11	4.895820984885146E10
-1.3790185786342096E11	-5.629181411603477E10
-6.879261519052257E10	-1.341606327028044E11
3.3660275465653214E10	-1.4817224126325345E11
1.207022912380855E11	-9.234552504698013E10
1.5071145543677216E11	7.412906739840614E9
1.07515284347716E11	1.0345991830099855E11
1.0723709448308813E10	1.473894341463697E11
-9.108943529598978E10	1.1574597396655272E11
-1.4586354211961487E11	2.4913746887143864E10
-1.2720783374777997E11	-7.841231098719864E10
-4.631459464252476E10	-1.435992990585171E11
5.695192631642738E10	-1.4055478397677756E11
1.3367107143852765E11	-7.106109167119418E10
1.4670246478537772E11	3.2511440638671597E10
8.783464692088553E10	1.2015892650775221E11
-1.5160344476235691E10	1.470575807542983E11
-1.1009002031422194E11	9.859373166523593E10
-1.486538636547977E11	-1.8871956480056033E7
-1.1308645304645122E11	-9.851351999944812E10
-2.268714203092316E10	-1.4933473910861313E11
7.861777890601222E10	-1.293255514639372E11
1.4290454774785925E11	-4.8026124217410255E10
1.3847795089724796E11	5.652160729956232E10
6.553475016857944E10	1.3316824989946495E11
-4.065613699041506E10	1.4219843802919354E11
-1.2589518006021156E11	7.836127605311957E10
-1.4725331089794583E11	-2.5122167762906227E10
-9.587925925598982E10	-1.1608695961141087E11
1.5084565181752532E9	-1.5123840682320044E11
9.816296411022989E10	-1.1481596812087784E11
1.4820243190862936E11	-2.3864311006459618E10
1.2633738026343323E11	7.874135243495224E10
4.132296927388343E10	1.420836957576936E11
-6.490677600326919E10	1.3293956834334006E11
-1.3798399867124393E11	5.564259605630371E10
-1.4162010042942297E11	-4.969605779500818E10
-7.597807452756316E10	-1.3068122637624014E11
2.5759125652704975E10	-1.4925718649220715E11
1.1516098275295636E11	-9.740134033961586E10
1.4951357057246222E11	7.898412605811276E8
1.107053066469805E11	9.852224303194604E10
1.6033826021197235E10	1.466648937340055E11
-8.708096148510864E10	1.1958969896345248E11
-1.459170120730476E11	3.1176059088844013E10
-1.3183729998263477E11	-7.302365584115419E10
-5.383137682939355E10	-1.4184514831596347E11
4.9524615068387985E10	-1.433874358872442E11
1.2922566401035718E11	-7.743993963382985E10
1.4685997852238632E11	2.5333361097923534E10
9.206373908339954E10	1.1538144340069135E11
-9.521766228151812E9	1.4684921810222443E11
-1.0649873210110797E11	1.0265281580229053E11
-1.494392573381273E11	5.776007457091616E9
-1.181957544370581E11	-9.434812960362494E10
-3.002667191004744E10	-1.4917282462702847E11
7.214757028699353E10	-1.3368044279087288E11
1.3997162111533743E11	-5.535440010454444E10
1.4027601555013052E11	4.917573631175115E10
7.094379156102258E10	1.2893636893296748E11
-3.460762134644757E10	1.4272936695554047E11
-1.2260393857503732E11	8.277059851219872E10
-1.4850429030550836E11	-1.972244841222548E10
-1.0111930265811342E11	-1.129658778938494E11
-5.238243817798194E9	-1.5238123606129297E11
9.298500720723976E10	-1.2025494104709906E11
1.4704467572774435E11	-3.1624329838328724E10
1.298544410968322E11	7.177075304842564E10
4.7901299716163605E10	1.3886826512363434E11
-5.854299629232942E10	1.3454370073517793E11
-1.3499194630451875E11	6.064255892416573E10
-1.4326553274843207E11	-4.448467907241854E10
-8.116886974233128E10	-1.2830270063567569E11
1.9769553635561047E10	-1.5131422762338135E11
1.1139966470912825E11	-1.0338438330246101E11
1.5010601624644257E11	-6.824651298223838E9
1.1575910057800778E11	9.252545080879181E10
2.3467490297283504E10	1.449033083755254E11
-8.073165709419548E10	1.2257630443763751E11
-1.4345427879717587E11	3.692823611077908E10
-1.3400835752814006E11	-6.780561254298381E10
-5.902208976453669E10	-1.399763336203371E11
4.420952583293593E10	-1.4600188010311783E11
1.267578292256441E11	-8.355666517672145E10
1.4892669403624158E11	1.832904690493734E10
9.827560652772319E10	1.1076122524770183E11
-1.7415288118644803E9	1.4681813864961197E11
-1.006140019613155E11	1.0713099908670844E11
-1.4788116262409207E11	1.228329138955673E10
-1.2110160475737354E11	-8.910635591896693E10
-3.5390061688768135E10	-1.4773066358714987E11
6.7356762971247215E10	-1.3664342289567862E11
1.38532986330527E11	-6.1345674730525894E10
1.434435636080089E11	4.3082994034613884E10
7.779401666296603E10	1.2587802307356776E11
-2.703857880155693E10	1.4449420876008057E11
-1.1768762565289223E11	8.8616646094941E10
-1.4822693131070407E11	-1.2611466571608593E10
-1.0501439613873448E11	-1.0786813348374202E11
-1.0981140938089363E10	-1.5142183811601114E11
8.852292977916727E10	-1.2357047749370763E11
1.4634149278290802E11	-3.740021791548172E10
1.3373391714488036E11	6.664912549870396E10
5.4855081214869804E10	1.373514551670069E11
-5.170345450947524E10	1.3789515765812958E11
-1.3149673373629965E11	6.751271486416513E10
-1.4452470088836813E11	-3.715798633628644E10
-8.622297591301566E10	-1.2368319798572339E11
1.3569342196958921E10	-1.5106856577781567E11
1.0713439301514845E11	-1.0720833426180092E11
1.4996689069934198E11	-1.2468641957297852E10
1.2004653047608008E11	8.824841444627449E10
3.01670556975825E10	1.4472862810064563E11
-7.498729072647472E10	1.2713050695461404E11
-1.4161461663334357E11	4.436448770464516E10
-1.3689087832036028E11	-6.076888573475677E10
-6.520053737035619E10	-1.362222111550188E11
3.763702522934572E10	-1.4677572719776416E11
1.2273000661053479E11	-8.804521921405652E10
1.4930933507811E11	1.268254251991057E10
1.027876536322503E11	1.0719101689556796E11
4.485425037541332E9	1.4769248496196204E11
-9.61670109912094E10	1.1247195273315436E11
-1.4773033617421902E11	1.9777994944640312E10
-1.2553856072067735E11	-8.282919100110164E10
-4.249804046043495E10	-1.4522915972302728E11
6.059062066264663E10	-1.387168992061023E11
1.349218241294311E11	-6.6676896507794685E10
1.4439929883098053E11	3.728927906436871E10
8.250935323386217E10	1.2284692092270712E11
-2.138256607889591E10	1.460973556718353E11
-1.1453764034916362E11	9.431253235642593E10
-1.4963033688788168E11	-5.579555051667392E9
-1.1070573442226862E11	-1.0278101752338237E11
-1.864783328689508E10	-1.5051929212792322E11
8.193642402747957E10	-1.2711950377210678E11
1.434566378317443E11	-4.368966123939494E10
1.3545627231560837E11	6.066360988926316E10
5.988557926574548E10	1.347229820163337E11
-4.654637941395556E10	1.400029248897161E11
-1.2945813555148947E11	7.320730068767497E10
-1.4718487759169507E11	-3.093618508552891E10
-9.271644356748294E10	-1.2007960800743925E11
5.8163186530208E9	-1.5192012805908218E11
1.0122101849267638E11	-1.1226141806378369E11
1.4817329271295535E11	-1.964377270166175E10
1.228065866413941E11	8.21711558966192E10
3.564194028198761E10	1.425102769629874E11
-7.016380444745021E10	1.2963338090669861E11
-1.4044301197348178E11	4.9838100651343315E10
-1.4039546366313095E11	-5.553216280198827E10
-7.201013405943817E10	-1.3421254961588268E11
3.0326987813943913E10	-1.493307652189676E11
1.1796826613749023E11	-9.447123811159909E10
1.4899411659183142E11	4.871324093393216E9
1.068479993167957E11	1.0123837229331812E11
1.0564274137249544E10	1.460550209852924E11
