Neptune X	Neptune Y
4.451825911314383E12	3.699030988642281E11
4.450034098598239E12	3.895153982390661E11
4.448156353475354E12	4.0912015135240314E11
4.446192731118593E12	4.287169822849778E11
4.444143281346552E12	4.483055275964172E11
4.442008042750986E12	4.6788542313768994E11
4.439787046505192E12	4.874562980206769E11
4.437480322423069E12	5.070177749544017E11
4.435087903026743E12	5.265694731585003E11
4.432609824944174E12	5.461110110652924E11
4.430046128619265E12	5.656420078366171E11
4.427396857443062E12	5.8516208386349E11
4.424662056982496E12	6.04670860761731E11
4.421841774577707E12	6.241679612859309E11
4.41893605938467E12	6.43653009372893E11
4.415944962883578E12	6.631256302960378E11
4.412868539784249E12	6.82585450662303E11
4.409706848981531E12	7.020320977216694E11
4.406459953650015E12	7.214651973561875E11
4.403127918982145E12	7.408843706619656E11
4.399710806462209E12	7.602892307909524E11
4.3962086664368647E12	7.796793843443676E11
4.392621536314948E12	7.990544422264045E11
4.3889494549082637E12	8.184140378917721E11
4.385192492462495E12	8.377578350374432E11
4.3813507669674404E12	8.570854994342673E11
4.3774244035782544E12	8.763966431284402E11
4.3734134525529595E12	8.956908137940093E11
4.3693178849355156E12	9.14967592456718E11
4.3651377431138115E12	9.342266916493334E11
4.3608732341368184E12	9.534678356946149E11
4.3565245049202217E12	9.726905526000151E11
4.3520914618072803E12	9.918943417127389E11
4.347574136477529E12	1.0110789850340841E12
4.3429728481040933E12	1.0302442025082666E12
4.338287594766202E12	1.0493893785088784E12
4.33351825604984E12	1.0685142288555139E12
4.3286652202072856E12	1.0876185724422501E12
4.323728461418017E12	1.106701724479427E12
4.31870789941659E12	1.1257635149045217E12
4.313603987753572E12	1.1448036110952234E12
4.308416439880847E12	1.1638213868500415E12
4.3031456245076826E12	1.182816848554634E12
4.2977915231476826E12	1.2017892277578604E12
4.292354206559271E12	1.2207385197247065E12
4.2868339060719497E12	1.2396640410194558E12
4.281230539288366E12	1.2585657034888462E12
4.2755444013817866E12	1.2774428645550735E12
4.2697754464211533E12	1.296295457627414E12
4.263923843346102E12	1.315122768281179E12
4.25798977419658E12	1.333924819006339E12
4.2519731164744004E12	1.3527008610447268E12
4.245874339206892E12	1.3714508119965496E12
4.23969319217023E12	1.3901742301513262E12
4.233429983492964E12	1.408870583944877E12
4.2270849198481353E12	1.4275398033867375E12
4.2206578431292695E12	1.446181348070069E12
4.214149045573494E12	1.4647947625388435E12
4.207558755160806E12	1.483379894283772E12
4.2008869091351196E12	1.501936353854447E12
4.194133602638308E12	1.520463633011178E12
4.18729909270474E12	1.5389614003979297E12
4.1803835428064854E12	1.5574293957553604E12
4.173387013991995E12	1.5758672725636716E12
4.1663095864945063E12	1.5942746223120452E12
4.159151399391418E12	1.6126510520538594E12
4.1519126156785444E12	1.6309962050190796E12
4.144593390150399E12	1.6493097406140417E12
4.137193864107748E12	1.6675913159736733E12
4.1297141729263877E12	1.6858405813178694E12
4.1221544530412407E12	1.7040571827903704E12
4.11451484506424E12	1.7222407660315222E12
4.106795494601858E12	1.7403909779334385E12
4.098996552195006E12	1.7585074661500474E12
4.0911181718003926E12	1.7765898762067126E12
4.0831605054336206E12	1.7946378470630828E12
4.075123693319358E12	1.8126510103492502E12
4.0670078592993286E12	1.8306290039354858E12
4.0588131346938003E12	1.8485715007569404E12
4.050539710883364E12	1.8664782114297617E12
4.0421878326787783E12	1.884348802106255E12
4.033757649634852E12	1.902182819072206E12
4.0252491670375054E12	1.9199798607244854E12
4.0166625821604204E12	1.9377397568445466E12
4.0079982695523022E12	1.9554621547947969E12
3.9992561752952993E12	1.9731464797781333E12
3.990436455342119E12	1.9907926513673853E12
3.9815395346753E12	2.0084002212625635E12
