Halley's Comet X	Halley's Comet Y
-2.9455064490831167E12	4.0905440560929033E12
-2.9425813975345176E12	4.0920454926246094E12
-2.939621406249089E12	4.093498339200031E12
-2.936626496507002E12	4.094902559349911E12
-2.9335966888436753E12	4.096258115455026E12
-2.930532003056547E12	4.097564968745852E12
-2.927432458211809E12	4.098823079304184E12
-2.924298072649526E12	4.100032406065042E12
-2.921128863987991E12	4.1011929068186113E12
-2.9179248491269287E12	4.1023045382124146E12
-2.9146860442498896E12	4.10336725575297E12
-2.911412464826323E12	4.1043810138084404E12
-2.9081041256109834E12	4.105345765611113E12
-2.9047610406422812E12	4.1062614632578994E12
-2.9013832232404326E12	4.1071280577108633E12
-2.897970686004031E12	4.1079454987969956E12
-2.894523440806081E12	4.108713735207125E12
-2.8910414987884434E12	4.1094327144937944E12
-2.8875248703556587E12	4.110102383066757E12
-2.8839735651695957E12	4.110722686187946E12
-2.880387592143018E12	4.1112935679659707E12
-2.876766959432543E12	4.111814971348441E12
-2.8731116744322446E12	4.1122868381130317E12
-2.8694217437672817E12	4.1127091088573574E12
-2.8656971732887397E12	4.1130817229881753E12
-2.8619379680682593E12	4.113404618710549E12
-2.8581441323925024E12	4.1136777330149634E12
-2.85431566975939E12	4.1139010016638853E12
-2.8504525828749556E12	4.114074359178798E12
-2.8465548736504043E12	4.114197738826667E12
-2.842622543199815E12	4.1142710726063438E12
-2.838655591837926E12	4.1142942912342188E12
-2.834654019079658E12	4.1142673241297583E12
-2.8306178236400474E12	4.1141900994026304E12
-2.8265470034335596E12	4.1140625438391606E12
-2.822441555574302E12	4.113884582888544E12
-2.8183014763766816E12	4.113656140649625E12
-2.8141267613565977E12	4.1133771398579307E12
-2.809917405232719E12	4.1130475018737593E12
-2.805673401926853E12	4.11266714666986E12
-2.8013947445652617E12	4.112235992818353E12
-2.7970814254806836E12	4.1117539574793975E12
-2.792733436213417E12	4.111220956389918E12
-2.78835076751251E12	4.1106369038521895E12
-2.7839334093365723E12	4.110001712722615E12
-2.779481350854917E12	4.1093152943999497E12
-2.7749945804492764E12	4.1085775588148706E12
-2.770473085713955E12	4.107788414419779E12
-2.7659168534559644E12	4.1069477681770767E12
-2.761325869695885E12	4.106055525548285E12
-2.756700119668111E12	4.105111590483321E12
-2.752039587821112E12	4.104115865409919E12
-2.747344257816776E12	4.103068251223118E12
-2.7426141125293447E12	4.101968647273439E12
-2.737849134045542E12	4.100816951355574E12
-2.7330493036635576E12	4.09961305969796E12
-2.728214601891294E12	4.098356866951192E12
-2.723345008444785E12	4.097048266176064E12
-2.718440502246311E12	4.095687148831479E12
-2.71350106142297E12	4.094273404762376E12
-2.7085266633042407E12	4.092806922188312E12
-2.703517284418428E12	4.0912875876904165E12
-2.698472900490066E12	4.0897152861978574E12
-2.6933934864369033E12	4.0880899009750522E12
-2.6882790163662627E12	4.086411313608222E12
-2.6831294635709287E12	4.0846794039917417E12
-2.677944800524306E12	4.0828940503132505E12
-2.672724998876384E12	4.0810551290383823E12
-2.667470029449334E12	4.0791625148965757E12
-2.6621798622314463E12	4.077216080865539E12
-2.6568544663713613E12	4.075215698154592E12
-2.651493810172043E12	4.0731612361879863E12
-2.6460978610847065E12	4.0710525625875005E12
-2.6406665857023413E12	4.0688895431554033E12
-2.6351999497516455E12	4.0666720418561143E12
-2.629697918085598E12	4.0643999207961025E12
-2.624160454676383E12	4.0620730402047876E12
-2.6185875226069136E12	4.059691258414602E12
-2.6129790840621216E12	4.057254431839961E12
-2.6073351003196626E12	4.0547624149553745E12
-2.601655531740703E12	4.0522150602721577E12
-2.5959403377613145E12	4.0496122183155806E12
-2.5901894768821743E12	4.046953737601514E12
-2.584402906657921E12	4.0442394646104883E12
-2.578580583687602E12	4.0414692437617446E12
-2.572722463604334E12	4.0386429173867397E12
-2.5668285010651685E12	4.0357603257018745E12
-2.5608986497400786E12	4.032821306780491E12
-2.554932862300813E12	4.0298256965225776E12
-2.548931090411434E12	4.026773328624319E12
-2.5428932847181006E12	4.0236640345480825E12
-2.536819394838345E12	4.020497643490304E12
-2.5307093693512666E12	4.017273982348625E12
-2.5245631557879146E12	4.0139928756881577E12
-2.5183807006228833E12	4.0106541457074805E12
-2.512161949265606E12	4.0072576122050366E12
-2.5059068460511865E12	4.0038030925433423E12
-2.4996153342332246E12	4.000290401612599E12
-2.493287355977259E12	3.996719351795094E12
-2.486922852354347E12	3.993089752929149E12
-2.4805217633352104E12	3.989401412273069E12
-2.4740840277843E12	3.985654134468224E12
-2.46760958345586E12	3.9818477215020796E12
-2.461098366990225E12	3.9779819726732456E12
-2.454550313909059E12	3.9740566845557993E12
-2.447965358611433E12	3.9700716509632344E12
-2.4413434343701514E12	3.9660266629133804E12
-2.4346844733281274E12	3.9619215085936143E12
