Time-step	Difference in E
60.0	4.982360606229298E31
90.0	6.495351947948761E31
135.0	8.58421388201418E31
202.5	1.1563555891922565E32
303.75	1.628937695074774E32
455.625	2.1863333763221104E32
683.4375	2.9760033490494955E32
1025.15625	4.073175544792079E32
1537.734375	5.601180428164833E32
2306.6015625	7.484320282706028E32
3459.90234375	1.0107644746936638E33
5189.853515625	1.306659906849966E33
7784.7802734375	1.687969244231032E33
11677.17041015625	2.1469775790988112E33
17515.755615234375	2.6897493374889815E33
26273.633422851562	3.3506408531579007E33
39410.450134277344	2.3582420504509845E34
59115.675201416016	5.155793045432969E33
88673.51280212402	6.765282898124599E33
133010.26920318604	8.830998746728199E33
199515.40380477905	1.1089828645970504E34
299273.1057071686	1.5420373022079263E34
448909.65856075287	2.3561754827351244E34
673364.4878411293	3.422433590387267E34
1010046.731761694	5.618361557384735E34
1515070.097642541	9.864860024537743E34
2272605.1464638114	1.8594226132395917E35
3408907.719695717	3.7082750045756286E35
5113361.579543576	7.728602653477275E35
7670042.3693153635	1.661692692356975E36
1.1505063553973045E7	3.642408822199804E36
1.7257595330959566E7	8.077575384463629E36
2.588639299643935E7	1.8030433128673476E37
