Time-step	Difference in E
30.0	3.440857669816076E31
45.0	4.1868667144297675E31
67.5	5.374446489320151E31
101.25	7.014860152560416E31
151.875	9.427567286650736E31
227.8125	1.280382518776921E32
341.71875	1.7316198465469325E32
512.578125	2.3767893254481123E32
768.8671875	3.264311737014637E32
1153.30078125	4.4588113098478716E32
1729.951171875	6.061452215867299E32
2594.9267578125	8.138815658137391E32
3892.39013671875	1.079826844057327E33
5838.585205078125	1.409610607336717E33
8757.877807617188	1.8680366498418156E33
13136.816711425781	2.3017314243070703E33
19705.225067138672	2.871204468678354E33
29557.837600708008	3.558703020361182E33
44336.75640106201	4.4116183856451633E33
66505.13460159302	5.515767832611195E33
99757.70190238953	8.644973417327324E33
149636.5528535843	9.220366643642613E33
224454.82928037643	1.212043656660536E34
336682.24392056465	1.7116562861387251E34
505023.365880847	2.8622631249993277E34
757535.0488212705	3.930830502969094E34
1136302.5732319057	6.570961639228645E34
1704453.8598478585	1.1787412086732827E35
2556680.789771788	2.2607847892864688E35
3835021.1846576817	4.5725194998731804E35
5752531.776986523	9.627254785486382E35
8628797.665479783	2.0837123494677507E36
1.2943196498219674E7	4.5863555185543393E36
1.941479474732951E7	1.0194352665808109E37
2.9122192120994266E7	2.2783084102491166E37
