Time-step	Difference in E
10000.0	1.9599311575762133E33
15000.0	2.4729239737232923E33
22500.0	3.083483120377696E33
33750.0	3.8229903754507524E33
50625.0	4.745324267657346E33
75937.5	5.984807043718549E33
113906.25	1.5349043856981356E35
170859.375	9.933977000909246E33
256289.0625	1.345749008405079E34
384433.59375	1.962296410934558E34
576650.390625	2.9089909270873145E34
864975.5859375	4.630036769224543E34
1297463.37890625	7.865728785542711E34
1946195.068359375	1.4492558309847908E35
2919292.6025390625	2.832059735986113E35
4378938.903808594	5.812259384541189E35
6568408.355712891	1.2365884307731337E36
9852612.533569336	2.693502871759083E36
1.4778918800354004E7	5.95088456010034E36
2.2168378200531006E7	1.3256045237416257E37
