Time-step	Difference in L
60.0	1.8414450369161547E38
90.0	2.7483091387677192E38
135.0	4.102535706035202E38
202.5	6.119154790140174E38
303.75	9.109285488073454E38
455.625	1.3565857507466437E39
683.4375	2.015970703235049E39
1025.15625	2.986995356122295E39
1537.734375	4.4127069180253864E39
2306.6015625	6.503264968263122E39
3459.90234375	9.546237543394991E39
5189.853515625	1.3951537757922756E40
7784.7802734375	2.0316234777170575E40
11677.17041015625	2.9494712050552665E40
17515.755615234375	4.268305047262861E40
26273.633422851562	6.174601656173896E40
39410.450134277344	8.867340551593828E40
59115.675201416016	1.2904159313604554E41
88673.51280212402	1.869931638082638E41
133010.26920318604	2.7040568292595573E41
199515.40380477905	3.918725477575527E41
299273.1057071686	5.6732409209017776E41
448909.65856075287	8.157001273978895E41
673364.4878411293	1.1606277893495044E42
1010046.731761694	1.6416763275079082E42
1515070.097642541	2.291179197237549E42
2272605.1464638114	3.160101226370269E42
3408907.719695717	4.315394676823756E42
5113361.579543576	5.83121847330938E42
7670042.3693153635	7.933317821582895E42
1.1505063553973045E7	1.0872991200342569E43
1.7257595330959566E7	1.5413732723362826E43
2.588639299643935E7	2.287631897633228E43
