Time-step	Difference in L
100.0	3.0496050449831195E38
150.0	4.5524694568691074E38
225.0	6.7840151263393414E38
337.5	1.0114577395681486E39
506.25	1.5033631175156316E39
759.375	2.233486990501457E39
1139.0625	3.307597676609087E39
1708.59375	4.884523123631427E39
2562.890625	7.187088000151811E39
3844.3359375	1.0537954227366194E40
5766.50390625	1.5387276482356485E40
8649.755859375	2.238617140530093E40
12974.6337890625	3.247097420843337E40
19461.95068359375	4.699561247050818E40
29192.926025390625	6.794501668469063E40
43789.38903808594	9.821155695527137E40
65684.0835571289	1.4212142630631567E41
98526.12533569336	2.0602710237354404E41
147789.18800354004	2.9793582595535627E41
221683.78200531006	4.3121337925438014E41
332525.6730079651	6.233548790541395E41
498788.50951194763	8.951030199312712E41
748182.7642679214	1.2723875607786977E42
1122274.1464018822	1.795259184285481E42
1683411.2196028233	2.4942311706185296E42
2525116.829404235	3.427477300917105E42
3787675.2441063523	4.677018072952858E42
5681512.8661595285	6.313176194700059E42
8522269.299239293	8.608699917556751E42
1.278340394885894E7	1.1825557419112458E43
1.917510592328841E7	1.6952840510566189E43
2.8762658884932615E7	2.530645472181593E43
