Time-step	Difference in L
10000.0	2.5582276122357086E40
15000.0	3.7061643663029014E40
22500.0	5.362782044675631E40
33750.0	7.751892897701798E40
50625.0	1.1211988070071737E41
75937.5	1.623324436422171E41
113906.25	2.2973969350316393E41
170859.375	3.4007375975651952E41
256289.0625	4.923616566257655E41
384433.59375	7.088140191447834E41
576650.390625	1.0155999699759866E42
864975.5859375	1.4431566513615976E42
1297463.37890625	2.018255242414385E42
1946195.068359375	2.8046089306830044E42
2919292.6025390625	3.846720030533038E42
4378938.903808594	5.219468708769849E42
6568408.355712891	7.062035030758342E42
9852612.533569336	9.640390273566885E42
1.4778918800354004E7	1.3423963888789398E43
2.2168378200531006E7	1.9541853457422952E43
