Time-step	Difference in E
100.0	1.5644869961028215E27
150.0	5.258345375687967E27
225.0	1.7623858247946342E28
337.5	5.897377897096481E28
506.25	1.9972040748045546E29
759.375	6.49099148940701E29
1139.0625	1.5220461987979119E30
1708.59375	3.137211268376679E30
2562.890625	5.702393260536157E30
3844.3359375	1.3574834533470532E31
5766.50390625	3.580149099326672E31
8649.755859375	3.000387242396429E31
12974.6337890625	2.2491961312506993E31
19461.95068359375	2.67160224180304E31
29192.926025390625	1.0684415689376306E32
43789.38903808594	7.15258202045678E31
65684.0835571289	5.983240717177894E31
98526.12533569336	6.532201742127286E31
147789.18800354004	1.324858611354613E32
221683.78200531006	2.0935563916313286E32
332525.6730079651	3.019250160415267E33
498788.50951194763	6.552307727067001E32
748182.7642679214	8.690570695448016E32
1122274.1464018822	1.3445337410487893E33
1683411.2196028233	3.426902244340038E33
2525116.829404235	6.105359232111574E33
3787675.2441063523	7.373775139088431E33
5681512.8661595285	8.533446937080452E33
8522269.299239293	8.24907662535197E33
1.278340394885894E7	8.083293356111156E33
1.917510592328841E7	1.1731937390684486E34
2.8762658884932615E7	1.804815063322882E34
