Time-step	Difference in L
3600.0	2.6937502537887466E35
5400.0	3.54754660589335E35
8100.0	4.611586246947443E35
12150.0	5.8048164844094755E35
18225.0	4.0758807451252975E36
27337.5	1.5225631366809743E36
41006.25	2.780352162910681E36
61509.375	5.109125928806579E36
92264.0625	3.8134888183249256E37
138396.09375	3.6031081853122358E37
207594.140625	8.900337454923686E37
311391.2109375	1.9014479955093294E38
467086.81640625	4.691436846681613E38
700630.224609375	9.97028391431624E38
1050945.3369140625	2.3429739336740448E39
1576418.0053710938	3.211137787458101E39
2364627.0080566406	5.1127693121234236E39
3546940.512084961	2.3861973331285104E39
5320410.768127441	2.4383070847135995E40
7980616.152191162	7.90998025305527E40
1.1970924228286743E7	1.0709494868701254E41
1.7956386342430115E7	3.3286880537344475E41
2.6934579513645172E7	1.0275455070477238E42
