Time-step	Difference in L
60.0	1.3234319745964936E31
90.0	2.9749129315580094E31
135.0	9.371600978697677E31
202.5	3.2131234690600526E32
303.75	1.0767481848038633E33
455.625	3.58876693908171E33
683.4375	1.226398343482618E34
1025.15625	3.234484059291702E34
1537.734375	7.764619033339747E34
2306.6015625	1.5385219640236823E35
3459.90234375	2.554462555987821E35
5189.853515625	3.383789047857757E35
7784.7802734375	5.296358125213169E35
11677.17041015625	4.548987091838512E35
17515.755615234375	8.516437773020008E35
26273.633422851562	1.3600625430152886E36
39410.450134277344	2.4711263194498445E36
59115.675201416016	6.889612464578284E36
88673.51280212402	1.0640969722168616E37
133010.26920318604	3.19529545424492E37
199515.40380477905	8.2296147910133585E37
299273.1057071686	1.805801201493984E38
448909.65856075287	4.11085184076197E38
673364.4878411293	9.799525189115104E38
1010046.731761694	2.183927639604709E39
1515070.097642541	3.101225061046019E39
2272605.1464638114	2.7023077710232726E39
3408907.719695717	1.0753954656865755E39
5113361.579543576	4.765601561499604E40
7670042.3693153635	6.804720508000286E39
1.1505063553973045E7	9.594269061851922E40
1.7257595330959566E7	2.96325900924079E41
2.588639299643935E7	8.942430365553355E41
