Time-step	Difference in L
10000.0	5.769359483773164E35
15000.0	7.430938981624055E35
22500.0	1.073473471191475E36
33750.0	1.6321610588909535E36
50625.0	1.7511938529240948E36
75937.5	2.5870306145741194E36
113906.25	1.9616217439373835E37
170859.375	6.110937916166945E37
256289.0625	3.6135378150287885E38
384433.59375	2.995962324231821E38
576650.390625	6.921982040561214E38
864975.5859375	1.4941265628587078E39
1297463.37890625	3.5416884242106575E39
1946195.068359375	3.3882577364827703E39
2919292.6025390625	2.8186481096102215E39
4378938.903808594	1.1349860061913288E40
6568408.355712891	4.4872430105479194E39
9852612.533569336	5.896234854867658E40
1.4778918800354004E7	1.9214471537297666E41
2.2168378200531006E7	5.880888851977603E41
