Time-step	Difference in E
500.0	1.9277784378613614E29
750.0	6.382895684238747E29
1125.0	1.476273426726969E30
1687.5	3.0948793189997616E30
2531.25	6.091530460651517E30
3796.875	1.0005518979113682E31
5695.3125	5.946722326458538E32
8542.96875	1.659761639974079E31
12814.453125	2.1227581413232877E31
19221.6796875	2.5642145521205084E31
28832.51953125	1.697180316774731E32
43248.779296875	3.816750116216287E31
64873.1689453125	1.064454546329393E32
97309.75341796875	7.633212458870966E33
145964.63012695312	9.847744575031968E31
218946.9451904297	2.124204665731558E32
328420.41778564453	1.7248044881432683E33
492630.6266784668	5.987146551104321E32
738945.9400177002	8.940106577970163E32
1108418.9100265503	1.305114413290588E33
1662628.3650398254	3.2729434188386144E33
2493942.547559738	6.597851248707473E33
3740913.8213396072	7.031617534982764E33
5611370.732009411	9.675560587383653E33
8417056.098014116	1.0836480796807554E34
1.2625584147021174E7	7.974091350816242E33
1.893837622053176E7	1.1552932258483098E34
2.8407564330797642E7	1.8380849085964178E34
