Time-step	Difference in L
60.0	3.5709922359736797E30
90.0	1.2810317403373087E29
135.0	3.4888279139616286E29
202.5	4.09270640320905E29
303.75	1.7043030255939412E30
455.625	3.225436329440232E29
683.4375	7.724816995134778E29
1025.15625	4.1614842895785734E29
1537.734375	2.6285469634665485E29
2306.6015625	3.367409728854375E29
3459.90234375	4.855888163015809E29
5189.853515625	1.7366115068110443E29
7784.7802734375	1.193261448925565E29
11677.17041015625	3.5121520827703216E28
17515.755615234375	1.4416886742614103E29
26273.633422851562	5.438599194724038E27
39410.450134277344	8.917734166485127E28
59115.675201416016	9.90903450321022E27
88673.51280212402	5.450149868471204E28
133010.26920318604	3.4697621029658768E28
199515.40380477905	1.9897653911863037E28
299273.1057071686	5.039387521780888E27
448909.65856075287	3.964476475615903E28
673364.4878411293	4.95659350153977E27
1010046.731761694	2.971469115231923E28
1515070.097642541	1.4858957165800088E28
2272605.1464638114	2.477100792716584E28
3408907.719695717	4.969258663457049E27
5113361.579543576	1.0703271835772073E28
7670042.3693153635	4.5145844034895995E28
1.1505063553973045E7	6.180505530959711E27
1.7257595330959566E7	1.0421779183651528E29
2.588639299643935E7	1.3923528714028567E29
