Time-step	Difference in L
500.0	2.7752321118056774E29
750.0	9.2215024614248E29
1125.0	3.8247454859490826E29
1687.5	1.538037943456421E29
2531.25	1.6359995362640587E28
3796.875	3.5171545943033274E29
5695.3125	7.454238344785001E28
8542.96875	2.575538064742297E29
12814.453125	6.95125051476616E28
19221.6796875	1.7334899181607894E29
28832.51953125	4.471256831547151E28
43248.779296875	2.4784416761669722E28
64873.1689453125	1.0398892059002129E29
97309.75341796875	8.918728446901173E28
145964.63012695312	6.935162190134413E28
218946.9451904297	1.9828940302348766E28
328420.41778564453	3.469082707503067E28
492630.6266784668	6.932663905762058E28
738945.9400177002	2.4765086402092238E28
1108418.9100265503	3.4665775001680217E28
1662628.3650398254	9.910242682630767E27
2493942.547559738	1.4858554284777127E28
3740913.8213396072	1.9840295950281987E28
5611370.732009411	1.0166299933990236E28
8417056.098014116	3.0274042319541164E28
1.2625584147021174E7	1.4876341652112102E29
1.893837622053176E7	8.92156719966516E28
2.8407564330797642E7	5.8091655906113184E28
