Time-step	Difference in E
500.0	2.759374659009917E25
750.0	-8.284395870014812E24
1125.0	1.671407829635416E25
1687.5	-2.9130382507532064E26
2531.25	1.0428560546120071E26
3796.875	3.7180702107972354E27
5695.3125	1.2843854618070486E28
8542.96875	4.67326156374008E28
12814.453125	1.9552138726491455E29
19221.6796875	7.356945551690124E29
28832.51953125	1.6859139689543818E31
43248.779296875	1.4699784286968934E31
64873.1689453125	4.64626061612448E31
97309.75341796875	9.203210985631377E31
145964.63012695312	1.8017439104647407E32
218946.9451904297	1.0834263696539723E33
328420.41778564453	1.017317756456433E34
492630.6266784668	1.620802365532259E33
738945.9400177002	3.6113482891876686E33
1108418.9100265503	1.023558550178715E34
1662628.3650398254	1.8434927219746467E34
2493942.547559738	4.126927163816911E34
3740913.8213396072	9.703334831639824E34
5611370.732009411	2.1121951209677052E35
8417056.098014116	4.768046078901501E35
1.2625584147021174E7	1.0704467993571985E36
1.893837622053176E7	2.399947425541768E36
2.8407564330797642E7	5.387304012000333E36
