Time-step	Difference in L
1000.0	4.173849207292011E28
1500.0	7.333218736297577E29
2250.0	5.595886518168817E29
3375.0	1.3904232441239045E29
5062.5	1.1406873951685736E29
7593.75	4.0214373687181325E28
11390.625	1.8831626025258706E29
17085.9375	8.918593365520419E28
25628.90625	8.919720938654903E28
38443.359375	1.783053750770302E29
57665.0390625	1.010576373427639E28
86497.55859375	1.0028535109725676E28
129746.337890625	5.946705590574515E28
194619.5068359375	3.470669912739727E28
291929.26025390625	6.438925857973309E28
437893.8903808594	3.964536874663724E28
656840.8355712891	2.4759405241238894E28
985261.2533569336	1.486298537539521E28
1477891.8800354004	4.961572956516408E27
2216837.8200531006	4.995691076861064E27
3325256.730079651	1.982758171633022E28
4987885.095119476	7.511389911915906E26
7481827.6426792145	2.4798421850151876E28
1.1222741464018822E7	1.1919563766868966E29
1.6834112196028233E7	1.4371089494020203E29
2.525116829404235E7	4.012823217363757E29
