Time-step	Difference in E
60.0	-1.2248638064943142E22
90.0	1.0112505101207576E23
135.0	3.4949201322050116E23
202.5	1.2883574995960225E24
303.75	5.654775608819368E24
455.625	2.2039026121135602E25
683.4375	1.3870475803903686E25
1025.15625	1.1209835497873892E26
1537.734375	1.672588052321252E26
2306.6015625	9.473696936479185E26
3459.90234375	1.8078312788348573E27
5189.853515625	6.763252487485711E27
7784.7802734375	2.9999583791126245E28
11677.17041015625	1.2405567796609286E29
17515.755615234375	1.2914041221575948E29
26273.633422851562	3.503842150973729E31
39410.450134277344	6.155091213707397E31
59115.675201416016	4.0216835609285745E31
88673.51280212402	7.9736113269073735E31
133010.26920318604	1.5759606453299598E32
199515.40380477905	2.9537174992783145E32
299273.1057071686	6.3153466353796155E32
448909.65856075287	1.3525543618017848E33
673364.4878411293	3.00764264769923E33
1010046.731761694	8.133852832835257E33
1515070.097642541	1.6463817113165997E34
2272605.1464638114	3.422691977408254E34
3408907.719695717	8.0950114443093295E34
5113361.579543576	1.747705972666399E35
7670042.3693153635	4.00855090604591E35
1.1505063553973045E7	8.895962413421765E35
1.7257595330959566E7	1.9943211732341324E36
2.588639299643935E7	4.475333878370842E36
