Time-step	Difference in E
3600.0	-7.993259393801728E26
5400.0	1.200286272270312E28
8100.0	4.217611818206476E28
12150.0	1.1074861494211345E29
18225.0	6.2218815814909186E29
27337.5	1.7643876203887387E31
41006.25	1.7204991377500118E31
61509.375	3.9724343140417224E31
92264.0625	7.720683021837346E31
138396.09375	1.576619812607924E32
207594.140625	3.1801205479747345E32
311391.2109375	6.817388447060709E32
467086.81640625	1.46073514057757E33
700630.224609375	3.2520173300936084E33
1050945.3369140625	7.781065033915297E33
1576418.0053710938	1.6743954667741484E34
2364627.0080566406	3.702626667797871E34
3546940.512084961	8.727158150937781E34
5320410.768127441	1.8928522359001087E35
7980616.152191162	4.293637141728142E35
1.1970924228286743E7	9.627681023248273E35
1.7956386342430115E7	2.1584035070833493E36
2.6934579513645172E7	4.8443525086918166E36
