Time-step	Difference in E
100.0	-2.1560119868061347E27
150.0	1.0814294324019868E28
225.0	-1.055835685493708E28
337.5	1.4095788726345064E28
506.25	3.3193848591961905E31
759.375	3.06251863995817E30
1139.0625	4.592010945159182E32
1708.59375	1.8126236991501278E33
2562.890625	2.7773840451305126E33
3844.3359375	2.2844762385402016E32
5766.50390625	6.798274738721892E32
8649.755859375	1.6192342066371682E34
12974.6337890625	2.6636618284193775E33
19461.95068359375	7.366071789441E33
29192.926025390625	4.40647769723039E34
43789.38903808594	1.8110673540990135E35
65684.0835571289	3.710776648370339E32
98526.12533569336	4.900577699916384E33
147789.18800354004	4.180715217702039E35
221683.78200531006	2.301510293906454E37
332525.6730079651	3.279713888867624E33
498788.50951194763	1.3492998393789428E34
748182.7642679214	7.594614908682774E34
1122274.1464018822	2.8743621654334354E35
1683411.2196028233	2.5962904366936714E36
2525116.829404235	3.17928233376431E35
3787675.2441063523	1.6471302005727636E37
5681512.8661595285	7.325037779299449E35
8522269.299239293	1.63506241900413E36
1.278340394885894E7	3.6686349946173875E36
1.917510592328841E7	8.241297192788573E36
2.8762658884932615E7	1.85306363470446E37
