Time-step	Difference in L
100.0	5.140256193866071E31
150.0	1.7268844272209474E32
225.0	5.912553069509309E32
337.5	2.009540908926262E33
506.25	7.107906402490201E33
759.375	2.803409827047314E34
1139.0625	6.492196167123014E35
1708.59375	6.425395339469356E35
2562.890625	6.832172872374253E35
3844.3359375	1.1223902851002893E36
5766.50390625	1.2436716073015273E36
8649.755859375	2.3596381389456147E36
12974.6337890625	3.1110822957924094E36
19461.95068359375	3.540683631587281E36
29192.926025390625	7.94208829262483E36
43789.38903808594	1.0082849192985298E37
65684.0835571289	1.0078877337333305E37
98526.12533569336	2.6494212980176674E37
147789.18800354004	1.348339584959823E38
221683.78200531006	7.847418748868776E39
332525.6730079651	1.13491906296065E39
498788.50951194763	2.0530685689693063E39
748182.7642679214	1.9696514230729848E40
1122274.1464018822	2.073409159834521E40
1683411.2196028233	9.37914918569061E40
2525116.829404235	4.0478086313677364E40
3787675.2441063523	2.4169202845254185E40
5681512.8661595285	1.2882325564184465E40
8522269.299239293	2.391300206467491E40
1.278340394885894E7	6.300855312959824E40
1.917510592328841E7	1.6678910358677268E41
2.8762658884932615E7	3.4079835030157782E41
