Time-step	Difference in L
500.0	6.84930326513213E33
750.0	2.678717648819316E34
1125.0	6.1681446811832766E35
1687.5	6.418957187168706E35
2531.25	7.473963688123176E35
3796.875	1.1206929466156685E36
5695.3125	9.617773412301237E35
8542.96875	2.5634144568080545E36
12814.453125	2.2465614170046073E36
19221.6796875	3.666146201174227E35
28832.51953125	4.588228230795023E36
43248.779296875	5.684749187195274E36
64873.1689453125	1.0358718415769618E37
97309.75341796875	2.4189654488383785E37
145964.63012695312	8.75838834152306E37
218946.9451904297	1.1351149386654131E39
328420.41778564453	1.1412455372981039E39
492630.6266784668	1.9988520443036623E39
738945.9400177002	1.938969076602773E40
1108418.9100265503	2.286112145651763E40
1662628.3650398254	4.682672843647481E40
2493942.547559738	4.0115680029987897E40
3740913.8213396072	1.9906789101905692E40
5611370.732009411	1.3114599452825415E40
8417056.098014116	2.424319960675819E40
1.2625584147021174E7	6.01696330486308E40
1.893837622053176E7	1.5953056515328032E41
2.8407564330797642E7	3.6196252039091814E41
