Time-step	Difference in L
10000.0	2.80149984659105E36
15000.0	3.106822282974119E36
22500.0	4.73428034871259E36
33750.0	1.2202190083932394E37
50625.0	6.731157672488809E36
75937.5	1.3197251424948169E37
113906.25	3.869991506963306E37
170859.375	2.6175933005255636E38
256289.0625	1.1978562277117568E39
384433.59375	1.5328903018617822E39
576650.390625	2.868483250189023E39
864975.5859375	2.0149468225750396E40
1297463.37890625	5.600753261652429E40
1946195.068359375	7.3289833633042905E40
2919292.6025390625	3.939914458438485E40
4378938.903808594	1.7938196188975257E40
6568408.355712891	1.5317592623185394E40
9852612.533569336	3.3874298911168555E40
1.4778918800354004E7	9.190770800324236E40
2.2168378200531006E7	2.3010332389104934E41
