Time-step	Difference in E
10000.0	4.953102191492056E32
15000.0	1.6829877189766984E33
22500.0	3.3753809521920766E33
33750.0	8.62285266919784E34
50625.0	7.353861124927933E33
75937.5	6.558284427279605E32
113906.25	6.56118930739618E32
170859.375	3.865544252542653E32
256289.0625	1.7343075993635825E34
384433.59375	1.5834695702284597E34
576650.390625	1.2706285238290818E34
864975.5859375	2.2992295014858497E35
1297463.37890625	2.027594905830625E36
1946195.068359375	1.3297627204867878E36
2919292.6025390625	7.818881961486437E35
4378938.903808594	4.379327120225211E35
6568408.355712891	9.735078902645398E35
9852612.533569336	2.183031892592884E36
1.4778918800354004E7	4.9000175410357797E36
2.2168378200531006E7	1.1011264660607333E37
